railways:blocks/big_buffer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:big_buffer railways:blocks/big_buffer
railways:blocks/black_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_brass_wrapped_locometal railways:blocks/black_brass_wrapped_locometal
railways:blocks/black_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_brass_wrapped_locometal_boiler railways:blocks/black_brass_wrapped_locometal_boiler
railways:blocks/black_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_copper_wrapped_locometal railways:blocks/black_copper_wrapped_locometal
railways:blocks/black_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_copper_wrapped_locometal_boiler railways:blocks/black_copper_wrapped_locometal_boiler
railways:blocks/black_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_flat_riveted_locometal railways:blocks/black_flat_riveted_locometal
railways:blocks/black_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_flat_slashed_locometal railways:blocks/black_flat_slashed_locometal
railways:blocks/black_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_iron_wrapped_locometal railways:blocks/black_iron_wrapped_locometal
railways:blocks/black_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_iron_wrapped_locometal_boiler railways:blocks/black_iron_wrapped_locometal_boiler
railways:blocks/black_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_locometal_boiler railways:blocks/black_locometal_boiler
railways:blocks/black_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_locometal_pillar railways:blocks/black_locometal_pillar
railways:blocks/black_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_locometal_smokebox railways:blocks/black_locometal_smokebox
railways:blocks/black_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_plated_locometal railways:blocks/black_plated_locometal
railways:blocks/black_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_riveted_locometal railways:blocks/black_riveted_locometal
railways:blocks/black_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:black_slashed_locometal railways:blocks/black_slashed_locometal
railways:blocks/blue_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_brass_wrapped_locometal railways:blue_brass_wrapped_locometal
railways:blocks/blue_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/blue_brass_wrapped_locometal_boiler railways:blue_brass_wrapped_locometal_boiler
