rechiseled:blocks/acacia_planks_beams | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams
rechiseled:blocks/acacia_planks_beams_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams_connecting
rechiseled:blocks/acacia_planks_beams_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_beams_slab
rechiseled:blocks/acacia_planks_beams_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_beams_slab_connecting
rechiseled:blocks/acacia_planks_beams_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams_stairs
rechiseled:blocks/acacia_planks_beams_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_beams_stairs_connecting
rechiseled:blocks/acacia_planks_brick_pattern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern
rechiseled:blocks/acacia_planks_brick_pattern_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern_connecting
rechiseled:blocks/acacia_planks_brick_pattern_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern_slab
rechiseled:blocks/acacia_planks_brick_pattern_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern_slab_connecting
rechiseled:blocks/acacia_planks_brick_pattern_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern_stairs
rechiseled:blocks/acacia_planks_brick_pattern_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_pattern_stairs_connecting
rechiseled:blocks/acacia_planks_brick_paving | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_paving
rechiseled:blocks/acacia_planks_brick_paving_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_paving_connecting
rechiseled:blocks/acacia_planks_brick_paving_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_brick_paving_slab
rechiseled:blocks/acacia_planks_brick_paving_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_brick_paving_slab_connecting
rechiseled:blocks/acacia_planks_brick_paving_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_paving_stairs
rechiseled:blocks/acacia_planks_brick_paving_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_brick_paving_stairs_connecting
rechiseled:blocks/acacia_planks_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_bricks
rechiseled:blocks/acacia_planks_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_bricks_connecting
rechiseled:blocks/acacia_planks_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_bricks_slab
rechiseled:blocks/acacia_planks_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_bricks_slab_connecting
rechiseled:blocks/acacia_planks_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_bricks_stairs
rechiseled:blocks/acacia_planks_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_bricks_stairs_connecting
rechiseled:blocks/acacia_planks_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_crate
rechiseled:blocks/acacia_planks_crate_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_crate_connecting
rechiseled:blocks/acacia_planks_crate_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_crate_slab
rechiseled:blocks/acacia_planks_crate_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_crate_slab_connecting
rechiseled:blocks/acacia_planks_crate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_crate_stairs
rechiseled:blocks/acacia_planks_crate_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_crate_stairs_connecting
rechiseled:blocks/acacia_planks_diagonal_stripes | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes
rechiseled:blocks/acacia_planks_diagonal_stripes_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes_connecting
rechiseled:blocks/acacia_planks_diagonal_stripes_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes_slab
rechiseled:blocks/acacia_planks_diagonal_stripes_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes_slab_connecting
rechiseled:blocks/acacia_planks_diagonal_stripes_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes_stairs
rechiseled:blocks/acacia_planks_diagonal_stripes_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_stripes_stairs_connecting
rechiseled:blocks/acacia_planks_diagonal_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles
rechiseled:blocks/acacia_planks_diagonal_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles_connecting
rechiseled:blocks/acacia_planks_diagonal_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles_slab
rechiseled:blocks/acacia_planks_diagonal_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles_slab_connecting
rechiseled:blocks/acacia_planks_diagonal_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles_stairs
rechiseled:blocks/acacia_planks_diagonal_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_diagonal_tiles_stairs_connecting
rechiseled:blocks/acacia_planks_dotted | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_dotted
rechiseled:blocks/acacia_planks_dotted_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_dotted_connecting
rechiseled:blocks/acacia_planks_dotted_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_dotted_slab
rechiseled:blocks/acacia_planks_dotted_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_dotted_slab_connecting
rechiseled:blocks/acacia_planks_dotted_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_dotted_stairs
rechiseled:blocks/acacia_planks_dotted_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_dotted_stairs_connecting
rechiseled:blocks/acacia_planks_flooring | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_flooring
rechiseled:blocks/acacia_planks_flooring_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_flooring_connecting
rechiseled:blocks/acacia_planks_flooring_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_flooring_slab
rechiseled:blocks/acacia_planks_flooring_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_flooring_slab_connecting
rechiseled:blocks/acacia_planks_flooring_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_flooring_stairs
rechiseled:blocks/acacia_planks_flooring_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_flooring_stairs_connecting
rechiseled:blocks/acacia_planks_large_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_large_tiles
rechiseled:blocks/acacia_planks_large_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_large_tiles_connecting
rechiseled:blocks/acacia_planks_large_tiles_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_large_tiles_slab
rechiseled:blocks/acacia_planks_large_tiles_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_large_tiles_slab_connecting
rechiseled:blocks/acacia_planks_large_tiles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_large_tiles_stairs
rechiseled:blocks/acacia_planks_large_tiles_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_large_tiles_stairs_connecting
rechiseled:blocks/acacia_planks_mosaic | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_mosaic
rechiseled:blocks/acacia_planks_mosaic_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_mosaic_slab
rechiseled:blocks/acacia_planks_mosaic_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_mosaic_stairs
rechiseled:blocks/acacia_planks_pattern | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_pattern
rechiseled:blocks/acacia_planks_pattern_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_pattern_connecting
rechiseled:blocks/acacia_planks_pattern_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_pattern_slab
rechiseled:blocks/acacia_planks_pattern_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_pattern_slab_connecting
rechiseled:blocks/acacia_planks_pattern_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_pattern_stairs
rechiseled:blocks/acacia_planks_pattern_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_pattern_stairs_connecting
rechiseled:blocks/acacia_planks_rotated_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks
rechiseled:blocks/acacia_planks_rotated_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks_connecting
rechiseled:blocks/acacia_planks_rotated_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks_slab
rechiseled:blocks/acacia_planks_rotated_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks_slab_connecting
rechiseled:blocks/acacia_planks_rotated_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks_stairs
rechiseled:blocks/acacia_planks_rotated_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_rotated_bricks_stairs_connecting
rechiseled:blocks/acacia_planks_small_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_bricks
rechiseled:blocks/acacia_planks_small_bricks_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_bricks_connecting
rechiseled:blocks/acacia_planks_small_bricks_slab | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_small_bricks_slab
rechiseled:blocks/acacia_planks_small_bricks_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseled:acacia_planks_small_bricks_slab_connecting
rechiseled:blocks/acacia_planks_small_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_bricks_stairs
rechiseled:blocks/acacia_planks_small_bricks_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_bricks_stairs_connecting
rechiseled:blocks/acacia_planks_small_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_tiles
rechiseled:blocks/acacia_planks_small_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseled:acacia_planks_small_tiles_connecting
