rechiseledcreate:blocks/acacia_window_covered | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_covered
rechiseledcreate:blocks/acacia_window_covered_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_covered_connecting
rechiseledcreate:blocks/acacia_window_diagonal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_diagonal
rechiseledcreate:blocks/acacia_window_diagonal_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_diagonal_connecting
rechiseledcreate:blocks/acacia_window_large | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_large
rechiseledcreate:blocks/acacia_window_large_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_large_connecting
rechiseledcreate:blocks/acacia_window_panes | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_panes
rechiseledcreate:blocks/acacia_window_panes_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_panes_connecting
rechiseledcreate:blocks/acacia_window_rounded | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_rounded
rechiseledcreate:blocks/acacia_window_rounded_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_rounded_connecting
rechiseledcreate:blocks/acacia_window_slim | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_slim
rechiseledcreate:blocks/acacia_window_slim_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_slim_connecting
rechiseledcreate:blocks/acacia_window_swirling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_swirling
rechiseledcreate:blocks/acacia_window_swirling_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_swirling_connecting
rechiseledcreate:blocks/acacia_window_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_tiles
rechiseledcreate:blocks/acacia_window_tiles_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:acacia_window_tiles_connecting
rechiseledcreate:blocks/andesite_cut_polished_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:andesite_cut_polished_connecting
rechiseledcreate:blocks/andesite_cut_polished_slab_connecting | ? | minecraft:block_state_property minecraft:item minecraft:set_count minecraft:survives_explosion rechiseledcreate:andesite_cut_polished_slab_connecting
rechiseledcreate:blocks/andesite_cut_polished_stairs_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:andesite_cut_polished_stairs_connecting
rechiseledcreate:blocks/andesite_cut_small_brick_connecting | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rechiseledcreate:andesite_cut_small_brick_connecting
