rottencreatures:blocks/burned_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:burned_head
rottencreatures:blocks/burned_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:burned_head
rottencreatures:blocks/dead_beard_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:dead_beard_head
rottencreatures:blocks/dead_beard_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:dead_beard_head
rottencreatures:blocks/frostbitten_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:frostbitten_head
rottencreatures:blocks/frostbitten_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:frostbitten_head
rottencreatures:blocks/glacial_hunter_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:glacial_hunter_head
rottencreatures:blocks/glacial_hunter_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:glacial_hunter_head
rottencreatures:blocks/immortal_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:immortal_head
rottencreatures:blocks/immortal_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:immortal_head
rottencreatures:blocks/mummy_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:mummy_head
rottencreatures:blocks/mummy_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:mummy_head
rottencreatures:blocks/swampy_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:swampy_head
rottencreatures:blocks/swampy_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:swampy_head
rottencreatures:blocks/tnt_barrel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:tnt_barrel
rottencreatures:blocks/undead_miner_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:undead_miner_head
rottencreatures:blocks/undead_miner_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:undead_miner_head
rottencreatures:blocks/zap_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:zap_head
rottencreatures:blocks/zap_wall_head | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion rottencreatures:zap_head
rottencreatures:entities/burned | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:magma_block minecraft:magma_cream minecraft:random_chance minecraft:set_count minecraft:uniform rottencreatures:magma_rotten_flesh
rottencreatures:entities/burned_obsidian | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:obsidian minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/dead_beard | minecraft:entity | minecraft:book minecraft:clock minecraft:compass minecraft:diamond minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:experience_bottle minecraft:feather minecraft:gold_nugget minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:killed_by_player minecraft:lapis_lazuli minecraft:looting minecraft:map minecraft:paper minecraft:random_chance minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/frostbitten | minecraft:entity | minecraft:carrot minecraft:enchanted_count_increase minecraft:entity minecraft:iron_ingot minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:potato minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:snowball minecraft:uniform rottencreatures:frozen_rotten_flesh
rottencreatures:entities/glacial_hunter | minecraft:entity | minecraft:cod minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:leather minecraft:looting minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/hunter_wolf | minecraft:entity | minecraft:entity
rottencreatures:entities/immortal | minecraft:entity | minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/mummy | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:gold_nugget minecraft:item minecraft:killed_by_player minecraft:looting minecraft:paper minecraft:random_chance minecraft:raw_gold minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/primed_tnt_barrel | minecraft:entity | minecraft:entity
rottencreatures:entities/scarab | minecraft:entity | minecraft:entity
rottencreatures:entities/skeleton_lackey | minecraft:entity | minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform
rottencreatures:entities/swampy | minecraft:entity | minecraft:brown_dye minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:poisonous_potato minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/treasure_chest | minecraft:entity | minecraft:diamond minecraft:emerald minecraft:enchanted_count_increase minecraft:entity minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:totem_of_undying minecraft:uniform
rottencreatures:entities/undead_diamond_miner | minecraft:entity | minecraft:coal minecraft:cobblestone minecraft:diamond minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/undead_gold_miner | minecraft:entity | minecraft:cobblestone minecraft:enchanted_count_increase minecraft:entity minecraft:gold_ingot minecraft:item minecraft:killed_by_player minecraft:looting minecraft:raw_gold minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/undead_iron_miner | minecraft:entity | minecraft:coal minecraft:cobblestone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:raw_gold minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/undead_stone_miner | minecraft:entity | minecraft:coal minecraft:cobblestone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:raw_iron minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/zap | minecraft:entity | minecraft:any_of minecraft:carrot minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:iron_ingot minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:potato minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
rottencreatures:entities/zombie_lackey | minecraft:entity | minecraft:copper_ingot minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:rotten_flesh minecraft:set_count minecraft:uniform
