s_a_b:blocks/b | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:b s_a_b:blocks/b
s_a_b:blocks/bb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:bb s_a_b:blocks/bb
s_a_b:blocks/blackdoublesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blackdoublesteelblock s_a_b:blocks/blackdoublesteelblock
s_a_b:blocks/blackhardsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blackhardsteelblock s_a_b:blocks/blackhardsteelblock
s_a_b:blocks/blacklightsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blacklightsteelblock s_a_b:blocks/blacklightsteelblock
s_a_b:blocks/blacksteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blacksteelblock s_a_b:blocks/blacksteelblock
s_a_b:blocks/bluedoublesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/bluedoublesteelblock s_a_b:bluedoublesteelblock
s_a_b:blocks/bluehardsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/bluehardsteelblock s_a_b:bluehardsteelblock
s_a_b:blocks/bluelightsteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/bluelightsteelblock s_a_b:bluelightsteelblock
s_a_b:blocks/bluesteelblock | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/bluesteelblock s_a_b:bluesteelblock
s_a_b:blocks/brass_0 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_0 s_a_b:brass_0
s_a_b:blocks/brass_1 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_1 s_a_b:brass_1
s_a_b:blocks/brass_2 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_2 s_a_b:brass_2
s_a_b:blocks/brass_3 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_3 s_a_b:brass_3
s_a_b:blocks/brass_4 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_4 s_a_b:brass_4
s_a_b:blocks/brass_5 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_5 s_a_b:brass_5
s_a_b:blocks/brass_6 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_6 s_a_b:brass_6
s_a_b:blocks/brass_7 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_7 s_a_b:brass_7
s_a_b:blocks/brass_8 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_8 s_a_b:brass_8
s_a_b:blocks/brass_9 | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brass_9 s_a_b:brass_9
s_a_b:blocks/brassa | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brassa s_a_b:brassa
s_a_b:blocks/brassae | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brassae s_a_b:brassae
s_a_b:blocks/brassb | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion s_a_b:blocks/brassb s_a_b:brassb
