snowyspirit:blocks/candy_cane_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:candy_cane_block
snowyspirit:blocks/ginger | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item snowyspirit:ginger snowyspirit:ginger_flower
snowyspirit:blocks/ginger_crate | minecraft:block | minecraft:block minecraft:survives_explosion moonlight:optional_item snowyspirit:ginger_crate
snowyspirit:blocks/gingerbread | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:gingerbread
snowyspirit:blocks/gingerbread_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion snowyspirit:gingerbread_door
snowyspirit:blocks/gingerbread_frosted | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:gingerbread_frosted
snowyspirit:blocks/gingerbread_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:gingerbread_slab
snowyspirit:blocks/gingerbread_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:gingerbread_stairs
snowyspirit:blocks/gingerbread_trapdoor | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:gingerbread_trapdoor
snowyspirit:blocks/glow_lights_black | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_black
snowyspirit:blocks/glow_lights_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_blue
snowyspirit:blocks/glow_lights_brown | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_brown
snowyspirit:blocks/glow_lights_cyan | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_cyan
snowyspirit:blocks/glow_lights_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_gray
snowyspirit:blocks/glow_lights_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_green
snowyspirit:blocks/glow_lights_light_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_light_blue
snowyspirit:blocks/glow_lights_light_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_light_gray
snowyspirit:blocks/glow_lights_lime | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_lime
snowyspirit:blocks/glow_lights_magenta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_magenta
snowyspirit:blocks/glow_lights_orange | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_orange
snowyspirit:blocks/glow_lights_pink | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_pink
snowyspirit:blocks/glow_lights_prismatic | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_prismatic
snowyspirit:blocks/glow_lights_purple | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_purple
snowyspirit:blocks/glow_lights_red | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion snowyspirit:glow_lights_red
