spawn:archaeology/ant_mount_common | minecraft:archaeology | minecraft:archaeology minecraft:beetroot_seeds minecraft:bone_meal minecraft:brown_dye minecraft:brown_mushroom minecraft:clay minecraft:coal minecraft:dead_bush minecraft:emerald minecraft:gold_nugget minecraft:item minecraft:leather minecraft:oak_hanging_sign minecraft:potato minecraft:red_mushroom minecraft:string minecraft:wheat_seeds spawn:archaeology/ant_mount_common spawn:fallen_leaves
spawn:archaeology/ant_mount_epic | minecraft:archaeology | minecraft:archaeology minecraft:item spawn:ant_pupa spawn:archaeology/ant_mount_epic spawn:crown_pottery_sherd spawn:music_disc_rot spawn:spade_pottery_sherd
spawn:archaeology/ant_mount_rare | minecraft:archaeology | minecraft:archaeology minecraft:bone minecraft:emerald minecraft:golden_shovel minecraft:item minecraft:leather minecraft:melon_seeds minecraft:plenty_pottery_sherd minecraft:pumpkin_seeds minecraft:raw_copper minecraft:raw_iron minecraft:shelter_pottery_sherd minecraft:string spawn:ant_pupa spawn:archaeology/ant_mount_rare
spawn:archaeology/anthill | minecraft:archaeology | minecraft:archaeology minecraft:brown_mushroom minecraft:clay minecraft:item minecraft:leather minecraft:red_mushroom minecraft:string spawn:ant_pupa spawn:archaeology/anthill spawn:fallen_leaves
spawn:archaeology/coastal_crab_sand | minecraft:archaeology | minecraft:archaeology minecraft:item minecraft:set_count minecraft:uniform spawn:archaeology/coastal_crab_sand spawn:barnacle spawn:coastal_crab_claw spawn:shell_fragments
spawn:archaeology/item_in_a_bottle_beach | minecraft:archaeology | minecraft:archaeology minecraft:cocoa_beans minecraft:experience_bottle minecraft:exploration_map minecraft:glass_bottle minecraft:gold_nugget minecraft:gunpowder minecraft:iron_nugget minecraft:item minecraft:map minecraft:paper minecraft:redstone minecraft:sand minecraft:set_count minecraft:set_custom_data minecraft:set_name minecraft:sugar minecraft:uniform minecraft:wheat_seeds spawn:archaeology/item_in_a_bottle_beach spawn:barnacle spawn:captured_octopus spawn:dates spawn:dodo_island spawn:octopus spawn:shell_fragments spawn:sunflower_seeds
spawn:archaeology/item_in_a_bottle_dodo_island | minecraft:archaeology | minecraft:archaeology minecraft:item spawn:archaeology/item_in_a_bottle_dodo_island spawn:music_disc_dally
spawn:archaeology/item_in_a_bottle_ocean | minecraft:archaeology | minecraft:archaeology minecraft:bamboo_raft minecraft:black_banner minecraft:cocoa_beans minecraft:experience_bottle minecraft:exploration_map minecraft:gunpowder minecraft:honey_bottle minecraft:item minecraft:jungle_boat minecraft:map minecraft:nautilus_shell minecraft:paper minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:redstone minecraft:sand minecraft:set_components minecraft:set_count minecraft:set_name minecraft:skull minecraft:sugar minecraft:turtle_scute minecraft:uniform minecraft:wheat_seeds spawn:archaeology/item_in_a_bottle_ocean spawn:dates spawn:dodo_island spawn:sunflower_seeds spawn:suspicious_stick
spawn:archaeology/sea_cow_common | minecraft:archaeology | minecraft:angler_pottery_sherd minecraft:archaeology minecraft:bone minecraft:coast_armor_trim_smithing_template minecraft:dead_bubble_coral minecraft:dead_bubble_coral_block minecraft:dead_bubble_coral_fan minecraft:dead_fire_coral minecraft:dead_fire_coral_block minecraft:dead_fire_coral_fan minecraft:dead_horn_coral minecraft:dead_horn_coral_block minecraft:dead_horn_coral_fan minecraft:dead_tube_coral minecraft:dead_tube_coral_block minecraft:dead_tube_coral_fan minecraft:ink_sac minecraft:item minecraft:sea_pickle minecraft:set_count minecraft:sheaf_pottery_sherd spawn:archaeology/sea_cow_common spawn:big_sea_pickle spawn:shell_fragments
spawn:archaeology/sea_cow_rare | minecraft:archaeology | minecraft:archaeology minecraft:copper_ingot minecraft:gold_ingot minecraft:item minecraft:nautilus_shell minecraft:set_count minecraft:tide_armor_trim_smithing_template minecraft:turtle_scute minecraft:wet_sponge spawn:archaeology/sea_cow_rare spawn:school_pottery_sherd spawn:shell_pottery_sherd
spawn:blocks/algal_reefstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion spawn:algal_reefstone
