supplementaries:blocks/ash | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count supplementaries:ash
supplementaries:blocks/ash_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:ash_bricks
supplementaries:blocks/ash_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count supplementaries:ash_bricks_slab
supplementaries:blocks/ash_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:ash_bricks_stairs
supplementaries:blocks/ash_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:ash_bricks_wall
supplementaries:blocks/ashen_basalt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion
supplementaries:blocks/awning | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning
supplementaries:blocks/awning_black | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_black
supplementaries:blocks/awning_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_blue
supplementaries:blocks/awning_brown | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_brown
supplementaries:blocks/awning_cyan | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_cyan
supplementaries:blocks/awning_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_gray
supplementaries:blocks/awning_green | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_green
supplementaries:blocks/awning_light_blue | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_light_blue
supplementaries:blocks/awning_light_gray | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_light_gray
supplementaries:blocks/awning_lime | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_lime
supplementaries:blocks/awning_magenta | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_magenta
supplementaries:blocks/awning_orange | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion supplementaries:awning_orange
