kaisyn:archeology/forest_ruins_common | minecraft:archaeology | minecraft:archaeology minecraft:archaeology/trail_ruins_common minecraft:beetroot_seeds minecraft:brick minecraft:coal minecraft:dead_bush minecraft:emerald minecraft:flower_pot minecraft:gold_nugget minecraft:iron_ingot minecraft:item minecraft:lantern minecraft:lead minecraft:string minecraft:wheat minecraft:wheat_seeds minecraft:wooden_hoe minecraft:wooden_shovel
kaisyn:archeology/forest_ruins_rare | minecraft:archaeology | minecraft:archaeology minecraft:archaeology/trail_ruins_rare minecraft:burn_pottery_sherd minecraft:danger_pottery_sherd minecraft:friend_pottery_sherd minecraft:heart_pottery_sherd minecraft:heartbreak_pottery_sherd minecraft:howl_pottery_sherd minecraft:item minecraft:music_disc_relic minecraft:sheaf_pottery_sherd
kaisyn:outpost/common/armory | minecraft:chest | minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:charcoal minecraft:chest minecraft:enchant_with_levels minecraft:iron_axe minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_leggings minecraft:iron_sword minecraft:item minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:raw_iron minecraft:set_count minecraft:shield minecraft:uniform
kaisyn:outpost/common/food | minecraft:chest | minecraft:apple minecraft:baked_potato minecraft:beetroot minecraft:bread minecraft:chest minecraft:cookie minecraft:golden_apple minecraft:item minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:uniform
kaisyn:outpost/exclusives/outpost_beach_barrel | minecraft:chest | minecraft:chest minecraft:cocoa_beans minecraft:cod minecraft:dried_kelp minecraft:item minecraft:salmon minecraft:set_count minecraft:uniform
kaisyn:outpost/exclusives/outpost_mediterranean_barrel | minecraft:chest | minecraft:chest minecraft:glass_bottle minecraft:glow_berries minecraft:item minecraft:set_count minecraft:sugar minecraft:sweet_berries minecraft:uniform
kaisyn:outpost/exclusives/outpost_rustic_barrel | minecraft:chest | minecraft:candle minecraft:chest minecraft:glass_bottle minecraft:honey_block minecraft:honey_bottle minecraft:honeycomb minecraft:item minecraft:poppy minecraft:set_count minecraft:sugar minecraft:uniform
kaisyn:village/exclusives/village_classic_blacksmith | ? | minecraft:apple minecraft:bread minecraft:diamond minecraft:diamond_horse_armor minecraft:gold_ingot minecraft:golden_horse_armor minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_leggings minecraft:iron_pickaxe minecraft:iron_sword minecraft:oak_sapling minecraft:obsidian minecraft:saddle
kaisyn:village/exclusives/village_mediterranean_house | minecraft:chest | minecraft:baked_potato minecraft:bread minecraft:chest minecraft:clay minecraft:cod_bucket minecraft:emerald minecraft:flower_pot minecraft:item minecraft:painting minecraft:set_count minecraft:tropical_fish_bucket minecraft:uniform
kaisyn:village/exclusives/village_piglin_barrel | minecraft:chest | minecraft:arrow minecraft:chest minecraft:chests/bastion_hoglin_stable minecraft:cooked_porkchop minecraft:enchant_randomly minecraft:gold_block minecraft:gold_nugget minecraft:golden_apple minecraft:golden_axe minecraft:golden_carrot minecraft:item minecraft:leather minecraft:porkchop minecraft:saddle minecraft:set_count minecraft:string minecraft:uniform
kaisyn:village/exclusives/village_piglin_house | minecraft:chest | minecraft:arrow minecraft:bone_block minecraft:book minecraft:chain minecraft:chest minecraft:chests/bastion_other minecraft:cooked_porkchop minecraft:crossbow minecraft:enchant_randomly minecraft:gold_block minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:golden_axe minecraft:golden_boots minecraft:golden_carrot minecraft:golden_chestplate minecraft:golden_helmet minecraft:golden_leggings minecraft:golden_sword minecraft:iron_block minecraft:iron_ingot minecraft:iron_nugget minecraft:iron_sword minecraft:item minecraft:piglin_banner_pattern minecraft:set_count minecraft:set_damage minecraft:string minecraft:uniform
kaisyn:village/exclusives/village_wandering_trader_hut | minecraft:chest | minecraft:amethyst_shard minecraft:chest minecraft:emerald minecraft:glow_berries minecraft:golden_apple minecraft:golden_carrot minecraft:item minecraft:painting minecraft:raw_gold minecraft:set_count minecraft:sweet_berries minecraft:uniform
kaisyn:village/village_badlands_house | minecraft:chest | minecraft:book minecraft:cactus minecraft:chest minecraft:clay_ball minecraft:dead_bush minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:gold_ingot minecraft:gold_nugget minecraft:green_dye minecraft:iron_hoe minecraft:item minecraft:potato minecraft:red_terracotta minecraft:set_count minecraft:set_damage minecraft:stick minecraft:uniform minecraft:wheat
kaisyn:village/village_jungle_house | minecraft:chest | minecraft:bamboo minecraft:bread minecraft:bucket minecraft:chest minecraft:cocoa_beans minecraft:emerald minecraft:enchant_with_levels minecraft:fern minecraft:gold_nugget minecraft:iron_hoe minecraft:item minecraft:jungle_sapling minecraft:large_fern minecraft:melon_seeds minecraft:melon_slice minecraft:saddle minecraft:scaffolding minecraft:set_count minecraft:set_damage minecraft:short_grass minecraft:tall_grass minecraft:torch minecraft:uniform minecraft:wheat_seeds
kaisyn:village/village_mushroom_house | minecraft:chest | minecraft:book minecraft:bowl minecraft:brown_mushroom minecraft:brown_mushroom_block minecraft:chest minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:iron_hoe minecraft:item minecraft:mushroom_stem minecraft:mushroom_stew minecraft:red_mushroom minecraft:red_mushroom_block minecraft:set_count minecraft:set_damage minecraft:stick minecraft:uniform
kaisyn:village/village_swamp_house | minecraft:chest | minecraft:beetroot_seeds minecraft:beetroot_soup minecraft:bread minecraft:chest minecraft:clay minecraft:emerald minecraft:item minecraft:lily_pad minecraft:set_count minecraft:slime_ball minecraft:uniform minecraft:water_bucket minecraft:wheat
