tfmg:blocks/accumulator | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:accumulator tfmg:blocks/accumulator
tfmg:blocks/air_intake | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:air_intake tfmg:blocks/air_intake
tfmg:blocks/aluminum_bars | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_bars tfmg:blocks/aluminum_bars
tfmg:blocks/aluminum_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_block tfmg:blocks/aluminum_block
tfmg:blocks/aluminum_cable_hub | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_cable_hub tfmg:blocks/aluminum_cable_hub
tfmg:blocks/aluminum_cogwheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_cogwheel tfmg:blocks/aluminum_cogwheel
tfmg:blocks/aluminum_door | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion tfmg:aluminum_door tfmg:blocks/aluminum_door
tfmg:blocks/aluminum_fluid_tank | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_fluid_tank tfmg:blocks/aluminum_fluid_tank
tfmg:blocks/aluminum_fluid_valve | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_fluid_valve tfmg:blocks/aluminum_fluid_valve
tfmg:blocks/aluminum_flywheel | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_flywheel tfmg:blocks/aluminum_flywheel
tfmg:blocks/aluminum_frame | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_frame tfmg:blocks/aluminum_frame
tfmg:blocks/aluminum_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_ladder tfmg:blocks/aluminum_ladder
tfmg:blocks/aluminum_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_lamp tfmg:blocks/aluminum_lamp
tfmg:blocks/aluminum_mechanical_pump | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_mechanical_pump tfmg:blocks/aluminum_mechanical_pump
tfmg:blocks/aluminum_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_pipe tfmg:blocks/aluminum_pipe
tfmg:blocks/aluminum_scaffolding | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_scaffolding tfmg:blocks/aluminum_scaffolding
tfmg:blocks/aluminum_smart_fluid_pipe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_smart_fluid_pipe tfmg:blocks/aluminum_smart_fluid_pipe
tfmg:blocks/aluminum_truss | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:aluminum_truss tfmg:blocks/aluminum_truss
tfmg:blocks/asphalt | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:asphalt tfmg:blocks/asphalt
tfmg:blocks/asphalt_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:asphalt_slab tfmg:blocks/asphalt_slab
tfmg:blocks/asphalt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:asphalt_stairs tfmg:blocks/asphalt_stairs
tfmg:blocks/asphalt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:asphalt_wall tfmg:blocks/asphalt_wall
tfmg:blocks/bauxite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:bauxite tfmg:blocks/bauxite
tfmg:blocks/bauxite_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:bauxite_pillar tfmg:blocks/bauxite_pillar
tfmg:blocks/black_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_concrete tfmg:blocks/black_concrete
tfmg:blocks/black_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_concrete_slab tfmg:blocks/black_concrete_slab
tfmg:blocks/black_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_concrete_stairs tfmg:blocks/black_concrete_stairs
tfmg:blocks/black_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_concrete_wall tfmg:blocks/black_concrete_wall
tfmg:blocks/black_rebar_concrete | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_rebar_concrete tfmg:blocks/black_rebar_concrete
tfmg:blocks/black_rebar_concrete_slab | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_rebar_concrete_slab tfmg:blocks/black_rebar_concrete_slab
tfmg:blocks/black_rebar_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_rebar_concrete_stairs tfmg:blocks/black_rebar_concrete_stairs
tfmg:blocks/black_rebar_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:black_rebar_concrete_wall tfmg:blocks/black_rebar_concrete_wall
tfmg:blocks/blast_furnace_hatch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blast_furnace_hatch tfmg:blocks/blast_furnace_hatch
tfmg:blocks/blast_furnace_output | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blast_furnace_output tfmg:blocks/blast_furnace_output
tfmg:blocks/blast_furnace_reinforcement | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tfmg:blast_furnace_reinforcement tfmg:blocks/blast_furnace_reinforcement
