minecraft:entities/cod | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:cod minecraft:entities/cod minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance tide:apply_fish_entity_length
minecraft:entities/pufferfish | minecraft:entity | minecraft:bone_meal minecraft:entities/pufferfish minecraft:entity minecraft:item minecraft:pufferfish minecraft:random_chance minecraft:set_count tide:apply_fish_entity_length
minecraft:entities/salmon | minecraft:entity | minecraft:any_of minecraft:bone_meal minecraft:entities/salmon minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:random_chance minecraft:salmon tide:apply_fish_entity_length
minecraft:entities/tropical_fish | minecraft:entity | minecraft:bone_meal minecraft:entities/tropical_fish minecraft:entity minecraft:item minecraft:random_chance minecraft:set_count minecraft:tropical_fish tide:apply_fish_entity_length
tide:blocks/angling_table | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:angling_table
tide:blocks/fish_display | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:fish_display
tide:blocks/jelly_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:jelly_torch
tide:blocks/jelly_wall_torch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:jelly_torch
tide:blocks/obsidian_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:obsidian_crate
tide:blocks/purpur_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:purpur_crate
tide:blocks/wooden_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion tide:wooden_crate
tide:chests/crates/deep | minecraft:chest | minecraft:amethyst_shard minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_nugget minecraft:iron_pickaxe minecraft:item minecraft:lapis_lazuli minecraft:random_chance minecraft:raw_copper minecraft:raw_iron minecraft:redstone minecraft:set_count minecraft:set_damage minecraft:uniform tide:fishy_note
tide:chests/crates/deep_lava | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:copper_ingot minecraft:crying_obsidian minecraft:diamond minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:obsidian minecraft:random_chance minecraft:set_count minecraft:uniform tide:fishy_note
tide:chests/crates/end | minecraft:chest | minecraft:chest minecraft:chorus_fruit minecraft:elytra minecraft:enchant_with_levels minecraft:end_stone minecraft:ender_pearl minecraft:item minecraft:popped_chorus_fruit minecraft:random_chance minecraft:set_count minecraft:shulker_shell minecraft:uniform tide:fishy_note
tide:chests/crates/nether | minecraft:chest | minecraft:blaze_powder minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:gold_block minecraft:gold_ingot minecraft:item minecraft:magma_cream minecraft:nether_brick minecraft:nether_wart minecraft:netherite_scrap minecraft:random_chance minecraft:set_count minecraft:uniform tide:ash_perch tide:fishy_note tide:magma_mackerel tide:randomize_fish_length
tide:chests/crates/surface_freshwater | minecraft:chest | minecraft:book minecraft:chest minecraft:cobblestone minecraft:enchant_with_levels minecraft:iron_nugget minecraft:item minecraft:random_chance minecraft:salmon minecraft:set_count minecraft:stick minecraft:uniform minecraft:wheat minecraft:wheat_seeds tide:cooked_fish tide:fishy_note tide:largemouth_bass tide:randomize_fish_length tide:smallmouth_bass
tide:chests/crates/surface_lava | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:flint minecraft:gold_nugget minecraft:item minecraft:obsidian minecraft:random_chance minecraft:set_count minecraft:uniform tide:fishy_note tide:obsidian_fragment
tide:chests/crates/surface_saltwater | minecraft:chest | minecraft:book minecraft:chest minecraft:emerald minecraft:enchant_with_levels minecraft:fishing_rod minecraft:gold_ingot minecraft:gold_nugget minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:uniform tide:cooked_fish tide:fishy_note tide:ocean_perch tide:randomize_fish_length tide:red_snapper
tide:chests/crates/underground | minecraft:chest | minecraft:andesite minecraft:book minecraft:chest minecraft:cobblestone minecraft:enchant_with_levels minecraft:gold_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:random_chance minecraft:set_count minecraft:set_damage minecraft:stick minecraft:stone_pickaxe minecraft:uniform tide:fishy_note
tide:chests/crates/underground_lava | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:coal minecraft:crying_obsidian minecraft:diamond minecraft:enchant_with_levels minecraft:gold_ingot minecraft:item minecraft:magma_block minecraft:obsidian minecraft:random_chance minecraft:set_count minecraft:uniform tide:fishy_note tide:obsidian_fragment
tide:chests/fishing_boat | minecraft:chest | minecraft:chest minecraft:cooked_cod minecraft:cooked_salmon minecraft:enchant_randomly minecraft:fishing_rod minecraft:iron_nugget minecraft:item minecraft:random_chance minecraft:set_damage minecraft:string minecraft:uniform tide:cooked_fish
tide:entities/abyss_angler | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:abyss_angler tide:apply_fish_entity_length
tide:entities/alpha_fish | minecraft:entity | minecraft:any_of minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player tide:alpha_fish tide:apply_fish_entity_length
