touhou_little_maid:advancement/cake | minecraft:advancement_reward | minecraft:advancement_reward minecraft:cake minecraft:item touhou_little_maid:advancement/cake
touhou_little_maid:advancement/power_point | minecraft:advancement_reward | minecraft:advancement_reward minecraft:item touhou_little_maid:advancement/power_point touhou_little_maid:power_point
touhou_little_maid:blocks/bookshelf | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/bookshelf touhou_little_maid:bookshelf
touhou_little_maid:blocks/computer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/computer touhou_little_maid:computer
touhou_little_maid:blocks/keyboard | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/keyboard touhou_little_maid:keyboard
touhou_little_maid:blocks/maid_bed | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/maid_bed touhou_little_maid:maid_bed
touhou_little_maid:blocks/model_switcher | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/model_switcher touhou_little_maid:model_switcher
touhou_little_maid:blocks/scarecrow | minecraft:block | minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/scarecrow touhou_little_maid:scarecrow
touhou_little_maid:blocks/shrine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/shrine touhou_little_maid:shrine
touhou_little_maid:blocks/snack_cabinet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion touhou_little_maid:blocks/snack_cabinet touhou_little_maid:snack_cabinet
touhou_little_maid:chest/ender_chest_backpack | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/ender_chest_backpack touhou_little_maid:ender_chest_backpack
touhou_little_maid:chest/furnace_or_crafting_table_backpack | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/furnace_or_crafting_table_backpack touhou_little_maid:crafting_table_backpack touhou_little_maid:furnace_backpack
touhou_little_maid:chest/maid_buried_treasure | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/maid_buried_treasure touhou_little_maid:shrine touhou_little_maid:smart_slab_empty
touhou_little_maid:chest/normal_backpack | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/normal_backpack touhou_little_maid:maid_backpack_big touhou_little_maid:maid_backpack_middle touhou_little_maid:maid_backpack_small
touhou_little_maid:chest/normal_bauble | minecraft:chest | minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:uniform touhou_little_maid:chest/normal_bauble touhou_little_maid:drown_protect_bauble touhou_little_maid:explosion_protect_bauble touhou_little_maid:fall_protect_bauble touhou_little_maid:fire_protect_bauble touhou_little_maid:magic_protect_bauble touhou_little_maid:projectile_protect_bauble
touhou_little_maid:chest/power_point | minecraft:chest | minecraft:chest minecraft:empty minecraft:item minecraft:set_count minecraft:uniform touhou_little_maid:chest/power_point touhou_little_maid:power_point
touhou_little_maid:chest/random_board_state | minecraft:chest | minecraft:chest minecraft:item touhou_little_maid:board_state_randomly touhou_little_maid:cchess_board_state touhou_little_maid:chest/random_board_state touhou_little_maid:gomoku_board_state touhou_little_maid:wchess_board_state
touhou_little_maid:chest/rare_bauble | minecraft:chest | minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item minecraft:uniform touhou_little_maid:chest/rare_bauble touhou_little_maid:item_magnet_bauble touhou_little_maid:nimble_fabric
touhou_little_maid:chest/shrine_less | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/shrine_less touhou_little_maid:shrine
touhou_little_maid:chest/shrine_more | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:chest/shrine_more touhou_little_maid:shrine
touhou_little_maid:chest/spawn_bonus | minecraft:chest | minecraft:chest minecraft:item minecraft:set_count minecraft:uniform touhou_little_maid:chest/spawn_bonus touhou_little_maid:maid_backpack_big touhou_little_maid:maid_backpack_middle touhou_little_maid:maid_backpack_small touhou_little_maid:power_point
touhou_little_maid:chest/structure_spawn_maid_gift | minecraft:chest | minecraft:cake minecraft:chest minecraft:item minecraft:set_damage minecraft:uniform touhou_little_maid:camera touhou_little_maid:chest/structure_spawn_maid_gift
touhou_little_maid:chest/tank_backpack | minecraft:chest | minecraft:chest minecraft:empty minecraft:item minecraft:lava touhou_little_maid:chest/tank_backpack touhou_little_maid:set_tank_count touhou_little_maid:tank_backpack
touhou_little_maid:chest/very_rare_bauble | minecraft:chest | minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:item touhou_little_maid:chest/very_rare_bauble touhou_little_maid:ultramarine_orb_elixir
touhou_little_maid:entities/box | minecraft:entity | minecraft:entity minecraft:item minecraft:paper touhou_little_maid:entities/box
touhou_little_maid:fishing/power_point | minecraft:chest | minecraft:chest minecraft:empty minecraft:item touhou_little_maid:fishing/power_point touhou_little_maid:power_point
touhou_little_maid:give_smart_slab | minecraft:advancement_reward | minecraft:advancement_reward minecraft:item touhou_little_maid:give_smart_slab touhou_little_maid:set_init_maid_owner touhou_little_maid:smart_slab_init
touhou_little_maid:grant_patchouli_book | minecraft:advancement_reward | minecraft:advancement_reward minecraft:item minecraft:set_components neoforge:mod_loaded patchouli:guide_book touhou_little_maid:grant_patchouli_book touhou_little_maid:memorizable_gensokyo
