minecraft:archaeology/desert_well | minecraft:archaeology | minecraft:archaeology minecraft:archaeology/desert_well minecraft:arms_up_pottery_sherd minecraft:blindness minecraft:brewer_pottery_sherd minecraft:brick minecraft:emerald minecraft:item minecraft:jump_boost minecraft:night_vision minecraft:poison minecraft:saturation minecraft:set_stew_effect minecraft:stick minecraft:suspicious_stew minecraft:uniform minecraft:weakness trailandtales_delight:mud_stove trailandtales_delight:pottery_cooking_pot
minecraft:blocks/cherry_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:blocks/cherry_leaves minecraft:cherry_leaves minecraft:cherry_sapling minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform trailandtales_delight:cherry_petal
minecraft:blocks/pitcher_crop | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:blocks/pitcher_crop minecraft:explosion_decay minecraft:item minecraft:pitcher_crop minecraft:pitcher_pod minecraft:set_count trailandtales_delight:pitcher_plant
minecraft:gameplay/sniffer_digging | minecraft:gift | minecraft:gameplay/sniffer_digging minecraft:gift minecraft:item minecraft:pitcher_pod minecraft:torchflower_seeds trailandtales_delight:lantern_fruit_seeds
trailandtales_delight:blocks/budding_lantern_fruit | minecraft:block | minecraft:block minecraft:explosion_decay minecraft:item trailandtales_delight:lantern_fruit_seeds
trailandtales_delight:blocks/cooked_sniffer_egg_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/sniffer_eggshell trailandtales_delight:sniffer_eggshell
trailandtales_delight:blocks/curd_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/curd_block trailandtales_delight:curd_block
trailandtales_delight:blocks/lantern_fruit_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/lantern_fruit_crate trailandtales_delight:lantern_fruit_crate
trailandtales_delight:blocks/lantern_fruits | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:random_chance minecraft:set_count minecraft:uniform minecraft:uniform_bonus_count trailandtales_delight:golden_lantern_fruit trailandtales_delight:lantern_fruit trailandtales_delight:lantern_fruit_seeds trailandtales_delight:lantern_fruits
trailandtales_delight:blocks/mud_stove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/mud_stove trailandtales_delight:mud_stove
trailandtales_delight:blocks/pitcher_taro_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/pitcher_taro_crate trailandtales_delight:pitcher_taro_crate
trailandtales_delight:blocks/pottery_cooking_pot | minecraft:block | farmersdelight:copy_meal minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion trailandtales_delight:block/pottery_cooking_pot trailandtales_delight:pottery_cooking_pot
trailandtales_delight:blocks/sniffer_eggshell | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/sniffer_eggshell trailandtales_delight:sniffer_eggshell
trailandtales_delight:blocks/sutffed_sniffer_egg_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion trailandtales_delight:blocks/sniffer_eggshell trailandtales_delight:sniffer_eggshell
