trek:overworld/common/elven_pillar_tall | minecraft:chest | minecraft:apple minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:golden_apple minecraft:gunpowder minecraft:iron_horse_armor minecraft:item minecraft:leather_horse_armor minecraft:melon_slice minecraft:saddle minecraft:set_count minecraft:vine minecraft:wheat
trek:overworld/common/mushroom_house | minecraft:chest | minecraft:apple minecraft:bowl minecraft:brown_mushroom minecraft:chest minecraft:empty minecraft:glow_berries minecraft:item minecraft:potato minecraft:red_mushroom minecraft:set_count minecraft:uniform
trek:overworld/common/ruine_1 | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:item minecraft:set_count minecraft:wheat_seeds
trek:overworld/common/well | minecraft:chest | minecraft:bone minecraft:book minecraft:chest minecraft:empty minecraft:enchant_randomly minecraft:flint minecraft:iron_bars minecraft:iron_nugget minecraft:item minecraft:poisonous_potato minecraft:potion minecraft:sand minecraft:set_count minecraft:set_lore minecraft:set_potion minecraft:string minecraft:water
trek:overworld/medium/all_abandoned | minecraft:chest | minecraft:apple minecraft:chest minecraft:cobweb minecraft:empty minecraft:gunpowder minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:leather_boots minecraft:leather_helmet minecraft:leather_leggings minecraft:map minecraft:set_count minecraft:stone_pickaxe minecraft:wheat_seeds
trek:overworld/medium/bases | minecraft:chest | minecraft:book minecraft:bread minecraft:carrot minecraft:chest minecraft:cooked_cod minecraft:empty minecraft:hay_block minecraft:iron_nugget minecraft:item minecraft:set_count minecraft:wheat
trek:overworld/medium/birch_fort | minecraft:chest | minecraft:apple minecraft:birch_sapling minecraft:chest minecraft:item minecraft:oxeye_daisy minecraft:pink_tulip minecraft:saddle minecraft:set_count
trek:overworld/medium/birch_trade | minecraft:chest | minecraft:aqua_affinity minecraft:book minecraft:chainmail_boots minecraft:chainmail_chestplate minecraft:chainmail_helmet minecraft:chainmail_leggings minecraft:chest minecraft:cooked_cod minecraft:cooked_salmon minecraft:efficiency minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:fortune minecraft:iron_ingot minecraft:item minecraft:kelp minecraft:loyalty minecraft:mushroom_stew minecraft:nautilus_shell minecraft:paper minecraft:pufferfish minecraft:raw_gold minecraft:set_count minecraft:spyglass minecraft:stick minecraft:string
trek:overworld/medium/buried_village | minecraft:chest | minecraft:beetroot minecraft:chest minecraft:cobweb minecraft:empty minecraft:golden_apple minecraft:item minecraft:poison minecraft:potion minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:strength minecraft:string minecraft:water minecraft:water_breathing minecraft:weakness minecraft:wheat_seeds
trek:overworld/medium/camp_1 | minecraft:chest | minecraft:book minecraft:bread minecraft:charcoal minecraft:chest minecraft:cod minecraft:empty minecraft:item minecraft:set_count minecraft:tripwire_hook minecraft:wheat
trek:overworld/medium/camp_4/camp_barrels | minecraft:chest | minecraft:chest minecraft:empty minecraft:feather minecraft:item minecraft:mushroom_stew minecraft:pumpkin_pie minecraft:set_count minecraft:sweet_berries minecraft:tripwire_hook
