stoneholm:andesite_worker | minecraft:chest | create:andesite_alloy create:brass_ingot create:brass_sheet create:cogwheel create:copper_sheet create:electron_tube create:large_cogwheel create:precision_mechanism create:rose_quartz create:shaft minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
stoneholm:armorer | minecraft:chest | minecraft:bread minecraft:bucket minecraft:chest minecraft:diamond_horse_armor minecraft:emerald minecraft:golden_horse_armor minecraft:iron_boots minecraft:iron_chestplate minecraft:iron_helmet minecraft:iron_horse_armor minecraft:iron_ingot minecraft:iron_leggings minecraft:item minecraft:obsidian minecraft:saddle minecraft:set_count minecraft:uniform
stoneholm:bedroom | minecraft:chest | minecraft:apple minecraft:arrow minecraft:bread minecraft:carrot minecraft:chest minecraft:coal minecraft:iron_nugget minecraft:iron_pickaxe minecraft:item minecraft:random_chance minecraft:redstone minecraft:set_count minecraft:set_damage minecraft:shield minecraft:stick minecraft:uniform
stoneholm:brass_worker | minecraft:chest | create:andesite_alloy create:brass_ingot create:brass_sheet create:cogwheel create:copper_sheet create:electron_tube create:large_cogwheel create:precision_mechanism create:rose_quartz create:shaft minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
stoneholm:butcher | minecraft:chest | minecraft:beef minecraft:blindness minecraft:chest minecraft:coal minecraft:emerald minecraft:item minecraft:mutton minecraft:night_vision minecraft:poison minecraft:porkchop minecraft:saturation minecraft:set_count minecraft:set_stew_effect minecraft:speed minecraft:suspicious_stew minecraft:uniform minecraft:weakness minecraft:wheat
stoneholm:cartographer | minecraft:chest | minecraft:chest minecraft:compass minecraft:item minecraft:map minecraft:paper minecraft:set_count minecraft:stick minecraft:uniform
stoneholm:cleric | minecraft:chest | minecraft:chest minecraft:enchanted_golden_apple minecraft:glow_berries minecraft:item minecraft:potion minecraft:redstone minecraft:set_count minecraft:set_nbt minecraft:uniform
stoneholm:copper_room | minecraft:chest | minecraft:chest minecraft:copper_ingot minecraft:dispenser minecraft:dropper minecraft:hopper minecraft:item minecraft:observer minecraft:redstone minecraft:repeater minecraft:set_count minecraft:slime_block minecraft:uniform
stoneholm:copper_worker | minecraft:chest | create:andesite_alloy create:brass_ingot create:brass_sheet create:cogwheel create:copper_sheet create:electron_tube create:large_cogwheel create:precision_mechanism create:rose_quartz create:shaft minecraft:chest minecraft:item minecraft:set_count minecraft:uniform
stoneholm:crypt | minecraft:chest | minecraft:arrow minecraft:bone minecraft:bone_meal minecraft:bow minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:diamond_horse_armor minecraft:diamond_sword minecraft:emerald minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:golden_horse_armor minecraft:iron_axe minecraft:iron_horse_armor minecraft:iron_sword minecraft:item minecraft:music_disc_13 minecraft:music_disc_cat minecraft:name_tag minecraft:set_count minecraft:set_damage minecraft:shield minecraft:uniform
stoneholm:fisherman | minecraft:chest | minecraft:chest minecraft:coal minecraft:cod minecraft:emerald minecraft:item minecraft:salmon minecraft:set_count minecraft:uniform minecraft:water_bucket minecraft:wheat_seeds
stoneholm:fletcher | minecraft:chest | minecraft:arrow minecraft:bow minecraft:chest minecraft:crossbow minecraft:feather minecraft:flint minecraft:item minecraft:set_count minecraft:set_damage minecraft:stick minecraft:uniform
stoneholm:forbidden_knowledge | minecraft:chest | minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:item minecraft:uniform
stoneholm:leatherworker | minecraft:chest | minecraft:bread minecraft:chest minecraft:emerald minecraft:item minecraft:leather minecraft:leather_boots minecraft:leather_chestplate minecraft:leather_helmet minecraft:leather_leggings minecraft:saddle minecraft:set_count minecraft:uniform
stoneholm:library | minecraft:chest | minecraft:book minecraft:chest minecraft:enchant_with_levels minecraft:item minecraft:paper minecraft:set_count minecraft:uniform
stoneholm:llama_stable | minecraft:chest | minecraft:chest minecraft:hay_block minecraft:item minecraft:lead minecraft:set_count minecraft:uniform minecraft:wheat
stoneholm:miner | minecraft:chest | minecraft:andesite minecraft:chest minecraft:coal minecraft:cobblestone minecraft:diamond minecraft:diorite minecraft:granite minecraft:iron_ore minecraft:iron_pickaxe minecraft:item minecraft:lantern minecraft:set_count minecraft:set_damage minecraft:torch minecraft:uniform
stoneholm:nether_room | minecraft:chest | minecraft:blaze_rod minecraft:chest minecraft:item minecraft:nether_wart minecraft:netherrack minecraft:obsidian minecraft:set_count minecraft:soul_sand minecraft:uniform
stoneholm:weaponsmith | minecraft:chest | minecraft:chest minecraft:diamond minecraft:diamond_axe minecraft:diamond_hoe minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:diamond_sword minecraft:gold_ingot minecraft:iron_axe minecraft:iron_hoe minecraft:iron_ingot minecraft:iron_pickaxe minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:obsidian minecraft:set_count minecraft:set_damage minecraft:uniform
