undergroundworlds:blocks/chiseled_temple_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:chiseled_temple_bricks
undergroundworlds:blocks/cracked_pyramid_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:cracked_pyramid_bricks
undergroundworlds:blocks/cracked_temple_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:cracked_temple_bricks
undergroundworlds:blocks/ice_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch undergroundworlds:blocks/ice_brick_slab undergroundworlds:ice_brick_slab
undergroundworlds:blocks/ice_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch undergroundworlds:blocks/ice_brick_stairs undergroundworlds:ice_brick_stairs
undergroundworlds:blocks/ice_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch undergroundworlds:blocks/ice_brick_wall undergroundworlds:ice_brick_wall
undergroundworlds:blocks/ice_bricks | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch undergroundworlds:blocks/ice_bricks undergroundworlds:ice_bricks
undergroundworlds:blocks/ice_chest | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch undergroundworlds:blocks/ice_chest undergroundworlds:ice_chest
undergroundworlds:blocks/icicle | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch undergroundworlds:blocks/icicle undergroundworlds:icicle
undergroundworlds:blocks/jungle_grass | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:mud minecraft:silk_touch minecraft:survives_explosion undergroundworlds:blocks/jungle_grass undergroundworlds:jungle_grass
undergroundworlds:blocks/jungle_vines | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:shears undergroundworlds:jungle_vines
undergroundworlds:blocks/jungle_vines_plant | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:shears undergroundworlds:jungle_vines
undergroundworlds:blocks/mossy_temple_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:mossy_temple_bricks
undergroundworlds:blocks/pyramid_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count undergroundworlds:pyramid_brick_slab
undergroundworlds:blocks/pyramid_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:pyramid_brick_stairs
undergroundworlds:blocks/pyramid_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:pyramid_brick_wall
undergroundworlds:blocks/pyramid_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:pyramid_bricks
undergroundworlds:blocks/temple_brick_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count undergroundworlds:temple_brick_slab
undergroundworlds:blocks/temple_brick_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_brick_stairs
undergroundworlds:blocks/temple_brick_tile_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count undergroundworlds:temple_brick_tile_slab
undergroundworlds:blocks/temple_brick_tile_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_brick_tile_stairs
undergroundworlds:blocks/temple_brick_tile_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_brick_tile_wall
undergroundworlds:blocks/temple_brick_tiles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_brick_tiles
undergroundworlds:blocks/temple_brick_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_brick_wall
undergroundworlds:blocks/temple_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion undergroundworlds:temple_bricks
undergroundworlds:blocks/web_covered_chest | minecraft:block | minecraft:block minecraft:copy_name minecraft:item minecraft:survives_explosion undergroundworlds:web_covered_chest
undergroundworlds:chests/archives_base | minecraft:chest | minecraft:amethyst_shard minecraft:book minecraft:chest minecraft:crying_obsidian minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_with_levels minecraft:exploration_map minecraft:glass_pane minecraft:golden_apple minecraft:item minecraft:lapis_lazuli minecraft:map minecraft:paper minecraft:set_count minecraft:set_name minecraft:uniform minecraft:writable_book undergroundworlds:config undergroundworlds:desert_pyramid undergroundworlds:ice_dungeon undergroundworlds:jungle_temple undergroundworlds:on_desert_maps undergroundworlds:on_jungle_maps undergroundworlds:on_tundra_maps
undergroundworlds:chests/archives_books | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:item minecraft:paper minecraft:set_count minecraft:uniform minecraft:writable_book
undergroundworlds:chests/archives_disc | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:item minecraft:paper minecraft:set_count minecraft:uniform minecraft:writable_book undergroundworlds:music_disc_abbeyence
undergroundworlds:chests/chillager_outpost_lower | minecraft:chest | minecraft:book minecraft:charcoal minecraft:chest minecraft:ice minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:paper minecraft:set_count minecraft:set_damage minecraft:snowball minecraft:spruce_log minecraft:torch minecraft:uniform
undergroundworlds:chests/chillager_outpost_top | minecraft:chest | minecraft:book minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:exploration_map minecraft:ice minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:map minecraft:paper minecraft:set_count minecraft:set_damage minecraft:set_name minecraft:snowball minecraft:uniform undergroundworlds:config undergroundworlds:frost_banner_pattern undergroundworlds:ice_dungeon undergroundworlds:icicle undergroundworlds:on_tundra_maps
undergroundworlds:chests/desert_pyramid | minecraft:chest | minecraft:book minecraft:chest minecraft:diamond minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:set_count minecraft:uniform undergroundworlds:chests/desert_pyramid_fill undergroundworlds:desert_banner_pattern
undergroundworlds:chests/desert_pyramid_dispenser | minecraft:chest | minecraft:chest minecraft:fire_charge minecraft:item minecraft:set_count minecraft:uniform
undergroundworlds:chests/desert_pyramid_fill | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:empty minecraft:gunpowder minecraft:item minecraft:rotten_flesh minecraft:sand minecraft:set_count minecraft:spider_eye minecraft:uniform
undergroundworlds:chests/desert_pyramid_treasure | minecraft:chest | minecraft:chest minecraft:item minecraft:loot_table undergroundworlds:chests/desert_pyramid undergroundworlds:config undergroundworlds:desert_charm
undergroundworlds:chests/ice_dungeon | minecraft:chest | minecraft:chest minecraft:empty minecraft:enchant_with_levels minecraft:ice minecraft:iron_shovel minecraft:iron_sword minecraft:item minecraft:set_count minecraft:set_damage minecraft:snowball minecraft:uniform undergroundworlds:config undergroundworlds:frost_banner_pattern undergroundworlds:frozen_core undergroundworlds:icicle
undergroundworlds:chests/jungle_chest | ? | minecraft:cobweb minecraft:empty minecraft:glow_berries minecraft:gold_nugget minecraft:iron_nugget minecraft:item minecraft:moss_block minecraft:set_count minecraft:vine undergroundworlds:antidote_flask undergroundworlds:config undergroundworlds:jungle_spores
undergroundworlds:chests/jungle_treehouse | minecraft:chest | minecraft:chest minecraft:clock minecraft:compass minecraft:exploration_map minecraft:feather minecraft:item minecraft:map minecraft:paper minecraft:set_count minecraft:set_name minecraft:uniform undergroundworlds:chests/jungle_treehouse undergroundworlds:config undergroundworlds:jungle_temple undergroundworlds:on_jungle_maps
