upgrade_aquatic:blocks/acan_coral | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:acan_coral upgrade_aquatic:blocks/acan_coral
upgrade_aquatic:blocks/acan_coral_block | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:acan_coral_block upgrade_aquatic:blocks/acan_coral_block upgrade_aquatic:dead_acan_coral_block
upgrade_aquatic:blocks/acan_coral_fan | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch upgrade_aquatic:acan_coral_fan upgrade_aquatic:blocks/acan_coral_fan
upgrade_aquatic:blocks/acan_coralstone | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:acan_coralstone upgrade_aquatic:blocks/acan_coralstone upgrade_aquatic:dead_coralstone
upgrade_aquatic:blocks/acan_coralstone_slab | minecraft:block | minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch upgrade_aquatic:acan_coralstone_slab upgrade_aquatic:blocks/acan_coralstone_slab upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:blocks/acan_coralstone_stairs | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:acan_coralstone_stairs upgrade_aquatic:blocks/acan_coralstone_stairs upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:blocks/acan_coralstone_wall | minecraft:block | minecraft:alternatives minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch minecraft:survives_explosion upgrade_aquatic:acan_coralstone_wall upgrade_aquatic:blocks/acan_coralstone_wall upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:blocks/beachgrass | minecraft:block | minecraft:alternatives minecraft:apply_bonus minecraft:beetroot_seeds minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:random_chance minecraft:shears minecraft:uniform_bonus_count upgrade_aquatic:beachgrass upgrade_aquatic:blocks/beachgrass
upgrade_aquatic:blocks/beachgrass_thatch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:beachgrass_thatch upgrade_aquatic:blocks/beachgrass_thatch
upgrade_aquatic:blocks/beachgrass_thatch_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count upgrade_aquatic:beachgrass_thatch_slab upgrade_aquatic:blocks/beachgrass_thatch_slab
upgrade_aquatic:blocks/beachgrass_thatch_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion upgrade_aquatic:beachgrass_thatch_stairs upgrade_aquatic:blocks/beachgrass_thatch_stairs
