valarian_conquest:blocks/armorsmith | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:armorsmith valarian_conquest:blocks/armorsmith
valarian_conquest:blocks/barathian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:barathian valarian_conquest:blocks/barathian
valarian_conquest:blocks/barathian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:barathian_banner valarian_conquest:blocks/barathian_banner
valarian_conquest:blocks/barathian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:barathian_vertical_banner valarian_conquest:blocks/barathian_hanging_banner
valarian_conquest:blocks/barathian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:barathian_vertical_banner valarian_conquest:blocks/barathian_vertical_banner
valarian_conquest:blocks/barber_surgeon | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:barber_surgeon valarian_conquest:blocks/barber_surgeon
valarian_conquest:blocks/black_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:black_wool valarian_conquest:blocks/black_wool
valarian_conquest:blocks/blue_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/blue_wool valarian_conquest:blue_wool
valarian_conquest:blocks/bohemian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/bohemian valarian_conquest:bohemian
valarian_conquest:blocks/bohemian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/bohemian_banner valarian_conquest:bohemian_banner
valarian_conquest:blocks/bohemian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/bohemian_hanging_banner valarian_conquest:bohemian_vertical_banner
valarian_conquest:blocks/bohemian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/bohemian_vertical_banner valarian_conquest:bohemian_vertical_banner
valarian_conquest:blocks/builder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/builder valarian_conquest:builder
valarian_conquest:blocks/burgundian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/burgundian valarian_conquest:burgundian
valarian_conquest:blocks/burgundian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/burgundian_banner valarian_conquest:burgundian_banner
valarian_conquest:blocks/burgundian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/burgundian_hanging_banner valarian_conquest:burgundian_vertical_banner
valarian_conquest:blocks/burgundian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/burgundian_vertical_banner valarian_conquest:burgundian_vertical_banner
valarian_conquest:blocks/burgundy_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/burgundy_wool valarian_conquest:burgundy_wool
valarian_conquest:blocks/caladrian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/caladrian valarian_conquest:caladrian
valarian_conquest:blocks/caladrian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/caladrian_banner valarian_conquest:caladrian_banner
valarian_conquest:blocks/caladrian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/caladrian_hanging_banner valarian_conquest:caladrian_vertical_banner
valarian_conquest:blocks/caladrian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/caladrian_vertical_banner valarian_conquest:caladrian_vertical_banner
valarian_conquest:blocks/dwarven_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/dwarven_banner valarian_conquest:dwarven_banner
valarian_conquest:blocks/dwarven_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/dwarven_hanging_banner valarian_conquest:dwarven_vertical_banner
valarian_conquest:blocks/dwarven_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/dwarven_vertical_banner valarian_conquest:dwarven_vertical_banner
valarian_conquest:blocks/elven_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/elven_banner valarian_conquest:elven_banner
valarian_conquest:blocks/elven_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/elven_hanging_banner valarian_conquest:elven_vertical_banner
valarian_conquest:blocks/elven_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/elven_vertical_banner valarian_conquest:elven_vertical_banner
valarian_conquest:blocks/galician | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/galician valarian_conquest:galician
valarian_conquest:blocks/galician_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/galician_banner valarian_conquest:galician_banner
valarian_conquest:blocks/galician_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/galician_hanging_banner valarian_conquest:galician_vertical_banner
valarian_conquest:blocks/galician_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/galician_vertical_banner valarian_conquest:galician_vertical_banner
valarian_conquest:blocks/gold_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/gold_wool valarian_conquest:gold_wool
valarian_conquest:blocks/gray_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/gray_wool valarian_conquest:gray_wool
valarian_conquest:blocks/green_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/green_wool valarian_conquest:green_wool
valarian_conquest:blocks/hospitaller | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/hospitaller valarian_conquest:hospitaller
valarian_conquest:blocks/hospitaller_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/hospitaller_banner valarian_conquest:hospitaller_banner
valarian_conquest:blocks/hospitaller_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/hospitaller_hanging_banner valarian_conquest:hospitaller_vertical_banner
valarian_conquest:blocks/hospitaller_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/hospitaller_vertical_banner valarian_conquest:hospitaller_vertical_banner
valarian_conquest:blocks/invisible_block | minecraft:block | minecraft:block valarian_conquest:blocks/invisible_block
valarian_conquest:blocks/lancastian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/lancastian valarian_conquest:lancastian
valarian_conquest:blocks/lancastian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/lancastian_banner valarian_conquest:lancastian_banner
valarian_conquest:blocks/lancastian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/lancastian_hanging_banner valarian_conquest:lancastian_vertical_banner
valarian_conquest:blocks/lancastian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/lancastian_vertical_banner valarian_conquest:lancastian_vertical_banner
valarian_conquest:blocks/light_blue_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/light_blue_wool valarian_conquest:light_blue_wool
valarian_conquest:blocks/mercenary_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/mercenary_banner valarian_conquest:mercenary_banner
valarian_conquest:blocks/mercenary_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/mercenary_hanging_banner valarian_conquest:mercenary_vertical_banner
valarian_conquest:blocks/mercenary_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/mercenary_vertical_banner valarian_conquest:mercenary_vertical_banner
valarian_conquest:blocks/numerian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/numerian valarian_conquest:numerian
valarian_conquest:blocks/numerian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/numerian_banner valarian_conquest:numerian_banner
valarian_conquest:blocks/numerian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/numerian_hanging_banner valarian_conquest:numerian_vertical_banner
valarian_conquest:blocks/numerian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/numerian_vertical_banner valarian_conquest:numerian_vertical_banner
valarian_conquest:blocks/orange_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/orange_wool valarian_conquest:orange_wool
valarian_conquest:blocks/orleanian | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/orleanian valarian_conquest:orleanian
valarian_conquest:blocks/orleanian_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/orleanian_banner valarian_conquest:orleanian_banner
valarian_conquest:blocks/orleanian_hanging_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/orleanian_hanging_banner valarian_conquest:orleanian_vertical_banner
valarian_conquest:blocks/orleanian_vertical_banner | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/orleanian_vertical_banner valarian_conquest:orleanian_vertical_banner
valarian_conquest:blocks/red_wool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/red_wool valarian_conquest:red_wool
valarian_conquest:blocks/scribe | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/scribe valarian_conquest:scribe
valarian_conquest:blocks/siege | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion valarian_conquest:blocks/siege valarian_conquest:siege
