woodworks:blocks/acacia_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:acacia_beehive woodworks:blocks/acacia_beehive
woodworks:blocks/acacia_boards | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:acacia_boards woodworks:blocks/acacia_boards
woodworks:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:acacia_bookshelf woodworks:blocks/acacia_bookshelf
woodworks:blocks/acacia_chest | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:acacia_chest woodworks:blocks/acacia_chest
woodworks:blocks/acacia_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:acacia_ladder woodworks:blocks/acacia_ladder
woodworks:blocks/acacia_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:acacia_leaf_pile woodworks:blocks/acacia_leaf_pile
woodworks:blocks/azalea_leaf_pile | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count woodworks:azalea_leaf_pile woodworks:blocks/azalea_leaf_pile
woodworks:blocks/bamboo_beehive | minecraft:block | minecraft:alternatives minecraft:bees minecraft:block minecraft:copy_components minecraft:copy_state minecraft:item minecraft:match_tool minecraft:silk_touch woodworks:bamboo_beehive woodworks:blocks/bamboo_beehive
woodworks:blocks/bamboo_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch woodworks:bamboo_bookshelf woodworks:blocks/bamboo_bookshelf
woodworks:blocks/bamboo_closet | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion woodworks:bamboo_closet woodworks:blocks/bamboo_closet
woodworks:blocks/bamboo_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion woodworks:bamboo_ladder woodworks:blocks/bamboo_ladder
