arphex:ab_block_uncraft | minecraft:crafting_shapeless | arphex:abyssal_crystal arphex:block_of_abyssal_crystal minecraft:crafting_shapeless
arphex:abyss_axe_craft | minecraft:crafting_shaped | arphex:abyssal_axe arphex:abyssal_crystal arphex:bane_of_the_darkness arphex:mantle_of_vitality minecraft:crafting_shaped minecraft:netherite_axe
arphex:abyss_block_recipe | minecraft:crafting_shaped | arphex:abyssal_crystal arphex:block_of_abyssal_crystal minecraft:crafting_shaped
arphex:abyss_dagger | minecraft:crafting_shapeless | arphex:abyssal_crystal arphex:abyssal_dagger arphex:dagger_of_dissolution minecraft:crafting_shapeless
arphex:abyss_stew | minecraft:crafting_shaped | arphex:abyssal_shard arphex:abyssal_stew arphex:cooked_hemolymph minecraft:crafting_shaped minecraft:suspicious_stew
arphex:abyssal_ascendant | minecraft:crafting_shaped | arphex:abyss_ascendant arphex:abyssal_blade arphex:ascendant_staff arphex:scorch_charge arphex:umbral_ingot minecraft:crafting_shaped
arphex:abyssal_blade_recipe | minecraft:crafting_shaped | arphex:abyssal_blade arphex:abyssal_crystal arphex:bane_of_the_darkness arphex:mantle_of_vitality minecraft:crafting_shaped minecraft:netherite_sword
arphex:abyssal_crystal_recipe | minecraft:crafting_shapeless | arphex:abyssal_crystal arphex:abyssal_shard minecraft:crafting_shapeless
arphex:alt_chitin | minecraft:crafting_shapeless | arphex:chitin arphex:necrotic_fang minecraft:crafting_shapeless
arphex:alternative_core | minecraft:crafting_shaped | arphex:block_of_abyssal_crystal arphex:block_of_entropy_matrix arphex:block_of_fire_opal arphex:block_of_time_prism arphex:block_of_void_geode arphex:core_of_eternal_suffering minecraft:crafting_shaped
arphex:annihilator_recipe | minecraft:crafting_shapeless | arphex:abyssal_annihilator arphex:abyssal_crystal arphex:formic_fireblaster minecraft:crafting_shapeless
arphex:antenna_recipe | minecraft:crafting_shapeless | arphex:antenna arphex:arthropod_antenna minecraft:amethyst_shard minecraft:crafting_shapeless minecraft:lightning_rod
arphex:ascend_cube | minecraft:crafting_shaped | arphex:ascended_cube arphex:core_of_eternal_suffering minecraft:crafting_shaped
arphex:ascendant_recipe | minecraft:crafting_shaped | arphex:ascendant_staff arphex:fire_opal minecraft:crafting_shaped minecraft:end_rod
arphex:atomiser | minecraft:crafting_shaped | arphex:abyss_atomiser arphex:abyssal_axe arphex:abyssal_blade arphex:abyssal_dagger arphex:abyssal_pickaxe arphex:hedonic_gem arphex:scorch_charge minecraft:crafting_shaped
arphex:bane_recipe | minecraft:crafting_shapeless | arphex:bane_of_the_darkness arphex:mangled_spider_flesh minecraft:amethyst_shard minecraft:crafting_shapeless minecraft:diamond_sword minecraft:emerald minecraft:end_crystal
arphex:blastfurnace_infernal | minecraft:blasting | arphex:infernal_ingot arphex:infernal_shard minecraft:blasting
arphex:blastfurnace_spacetime | minecraft:blasting | arphex:spacetime_ingot arphex:spacetime_shard minecraft:blasting
arphex:blastfurnace_spectral | minecraft:blasting | arphex:spectral_ingot arphex:spectral_shard minecraft:blasting
arphex:blastfurnace_umbral | minecraft:blasting | arphex:umbral_ingot arphex:umbral_shard minecraft:blasting
arphex:bloodworm_craft | minecraft:crafting_shapeless | arphex:bloodworm_grub minecraft:crafting_shapeless minecraft:raw_copper
arphex:blossom_darkness | minecraft:crafting_shaped | arphex:bane_blossom arphex:bane_of_the_darkness minecraft:crafting_shaped minecraft:diamond_sword
arphex:bow_craft | minecraft:crafting_shapeless | arphex:black_widow_bow arphex:giant_spinneret arphex:necrotic_fang minecraft:bow minecraft:crafting_shapeless
arphex:bug_repellant_recipe | minecraft:crafting_shapeless | arphex:bug_repellant minecraft:amethyst_cluster minecraft:crafting_shapeless minecraft:glass_bottle minecraft:lapis_lazuli
arphex:bug_spray_recipe | minecraft:crafting_shaped | arphex:bug_repellant arphex:bug_spray minecraft:crafting_shaped minecraft:iron_ingot minecraft:lever
arphex:campfire_hemo | minecraft:campfire_cooking | arphex:cooked_hemolymph arphex:raw_hemolymph minecraft:campfire_cooking
arphex:cannon_recipe | minecraft:crafting_shaped | arphex:chrono_cannon arphex:scorch_charge arphex:time_prism arphex:vengeful_voidseeker arphex:vortex_devastator minecraft:crafting_shaped
arphex:chaos_gauntlet_recipe | minecraft:crafting_shaped | arphex:chaos_gauntlet arphex:void_geode minecraft:crafting_shaped minecraft:netherite_ingot minecraft:redstone_block
arphex:chit_block | minecraft:crafting_shaped | arphex:chitin arphex:chitin_block minecraft:crafting_shaped
arphex:chitin_boots | minecraft:crafting_shaped | arphex:chitin arphex:chitin_armour_boots minecraft:crafting_shaped minecraft:string
arphex:chitin_boots_2 | minecraft:smithing_transform | arphex:chitin arphex:chitin_armour_boots arphex:chitin_armour_tier_2_boots minecraft:smithing_transform
arphex:chitin_boots_3 | minecraft:smithing_transform | arphex:chitin_armour_tier_2_boots arphex:chitin_armour_tier_3_boots minecraft:netherite_ingot minecraft:smithing_transform
