create_dragons_plus:crafting/blaze_upgrade_smithing_template | minecraft:crafting_shaped | create_dragons_plus:blaze_upgrade_smithing_template create_dragons_plus:config_feature create_dragons_plus:item/blaze_upgrade_smithing_template minecraft:blaze_rod minecraft:crafting_shaped minecraft:netherrack
create_dragons_plus:crafting/fluid_hatch | minecraft:crafting_shapeless | c:ingots/copper create:item_drain create_dragons_plus:block/fluid_hatch create_dragons_plus:config_feature create_dragons_plus:fluid_hatch minecraft:crafting_shapeless
create_dragons_plus:crafting/fragile_fluid_tank | minecraft:crafting_shaped | create:copper_sheet create_dragons_plus:config_feature create_dragons_plus:fluid/fragile_fluid_tank create_dragons_plus:fragile_fluid_tank minecraft:barrel minecraft:crafting_shaped minecraft:gold_ingot neoforge:mod_loaded
create_dragons_plus:crafting/levitite_fragile_fluid_tank | minecraft:crafting_shaped | aeronautics:levitite_blend_bucket create_dragons_plus:config_feature create_dragons_plus:fluid/fragile_fluid_tank create_dragons_plus:fragile_fluid_tank create_dragons_plus:levitite_fragile_fluid_tank minecraft:crafting_shaped neoforge:mod_loaded
create_dragons_plus:emptying/dragon_breath | create:emptying | create:emptying create_dragons_plus:config_feature create_dragons_plus:dragon_breath create_dragons_plus:fluid/dragon_breath minecraft:dragon_breath minecraft:glass_bottle
create_dragons_plus:ending/chorus_fruit_from_apple | create_dragons_plus:ending | create_dragons_plus:ending minecraft:apple minecraft:chorus_fruit
create_dragons_plus:ending/end_stone_brick_slab_from_stone_brick_slab | create_dragons_plus:ending | create_dragons_plus:ending minecraft:end_stone_brick_slab minecraft:stone_brick_slab
create_dragons_plus:ending/end_stone_brick_stairs_from_stone_brick_stairs | create_dragons_plus:ending | create_dragons_plus:ending minecraft:end_stone_brick_stairs minecraft:stone_brick_stairs
create_dragons_plus:ending/end_stone_brick_wall_from_stone_brick_wall | create_dragons_plus:ending | create_dragons_plus:ending minecraft:end_stone_brick_wall minecraft:stone_brick_wall
create_dragons_plus:ending/end_stone_bricks_from_stone_bricks | create_dragons_plus:ending | create_dragons_plus:ending minecraft:end_stone_bricks minecraft:stone_bricks
create_dragons_plus:ending/end_stone_from_cobblestone | create_dragons_plus:ending | create_dragons_plus:ending minecraft:cobblestone minecraft:end_stone
create_dragons_plus:ending/phantom_membrane_from_leathers | create_dragons_plus:ending | c:leathers create_dragons_plus:ending minecraft:phantom_membrane
create_dragons_plus:filling/dragon_breath | create:filling | create:filling create_dragons_plus:config_feature create_dragons_plus:dragon_breath create_dragons_plus:fluid/dragon_breath minecraft:dragon_breath minecraft:glass_bottle neoforge:single
create_dragons_plus:freezing/blue_ice_from_packed_ice | create_dragons_plus:freezing | create_dragons_plus:freezing minecraft:blue_ice minecraft:packed_ice
create_dragons_plus:freezing/breeze_rod_from_blaze_rod | create_dragons_plus:freezing | create_dragons_plus:freezing minecraft:blaze_rod minecraft:breeze_rod
create_dragons_plus:freezing/packed_ice_from_ice | create_dragons_plus:freezing | create_dragons_plus:freezing minecraft:ice minecraft:packed_ice
create_dragons_plus:freezing/slime_ball_from_magma_cream | create_dragons_plus:freezing | create_dragons_plus:freezing minecraft:magma_cream minecraft:slime_ball
create_dragons_plus:mixing/black_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:black_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:black_dye neoforge:single
create_dragons_plus:mixing/black_dye_from_item | create:mixing | create:mixing create_dragons_plus:black_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:black_dye minecraft:water neoforge:single
