dndesires:breccia_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:breccia dndesires:stone_types/breccia minecraft:stonecutting
dndesires:breccia_pillar_from_stone_types_breccia_stonecutting | minecraft:stonecutting | dndesires:breccia_pillar dndesires:stone_types/breccia minecraft:stonecutting
dndesires:burner_blasting | minecraft:blasting | dndesires:burner minecraft:blasting
dndesires:burner_smelting | minecraft:smelting | dndesires:burner minecraft:smelting
dndesires:burner_smoking | minecraft:smoking | dndesires:burner minecraft:smoking
dndesires:crafting/black_asphalt | minecraft:crafting_shaped | c:dyes/black dndesires:asphalts dndesires:black_asphalt minecraft:crafting_shaped
dndesires:crafting/black_bore_block | minecraft:crafting_shaped | c:dyes/black dndesires:black_bore_block dndesires:bore_blocks minecraft:crafting_shaped
dndesires:crafting/blue_asphalt | minecraft:crafting_shaped | c:dyes/blue dndesires:asphalts dndesires:blue_asphalt minecraft:crafting_shaped
dndesires:crafting/blue_bore_block | minecraft:crafting_shaped | c:dyes/blue dndesires:blue_bore_block dndesires:bore_blocks minecraft:crafting_shaped
dndesires:crafting/bore_block | minecraft:crafting_shaped | create:andesite_alloy create:andesite_alloy_block dndesires:bore_block minecraft:crafting_shaped minecraft:iron_ingot
dndesires:crafting/brown_asphalt | minecraft:crafting_shaped | c:dyes/brown dndesires:asphalts dndesires:brown_asphalt minecraft:crafting_shaped
dndesires:crafting/brown_bore_block | minecraft:crafting_shaped | c:dyes/brown dndesires:bore_blocks dndesires:brown_bore_block minecraft:crafting_shaped
dndesires:crafting/burner | minecraft:crafting_shaped | c:ingots/zinc dndesires:burner minecraft:crafting_shaped minecraft:netherite_scrap
dndesires:crafting/coal_from_coal_piece | minecraft:crafting_shapeless | dndesires:coal_piece minecraft:coal minecraft:crafting_shapeless
dndesires:crafting/coal_piece_from_coal | minecraft:crafting_shapeless | dndesires:coal_piece minecraft:coal minecraft:crafting_shapeless
dndesires:crafting/cog_crank | minecraft:crafting_shapeless | create:cogwheel create:hand_crank dndesires:cog_crank minecraft:crafting_shapeless
dndesires:crafting/cog_crank_to_large | minecraft:crafting_shapeless | dndesires:cog_crank dndesires:large_cog_crank minecraft:crafting_shapeless minecraft:planks
dndesires:crafting/cyan_asphalt | minecraft:crafting_shaped | c:dyes/cyan dndesires:asphalts dndesires:cyan_asphalt minecraft:crafting_shaped
dndesires:crafting/cyan_bore_block | minecraft:crafting_shaped | c:dyes/cyan dndesires:bore_blocks dndesires:cyan_bore_block minecraft:crafting_shaped
dndesires:crafting/diamond_from_diamond_shard | minecraft:crafting_shaped | dndesires:diamond_shard minecraft:crafting_shaped minecraft:diamond
dndesires:crafting/diamond_shard_from_diamond | minecraft:crafting_shapeless | dndesires:diamond_shard minecraft:crafting_shapeless minecraft:diamond
dndesires:crafting/fan_catalyst/blasting_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:blasting_sail minecraft:crafting_shaped minecraft:lava_bucket
dndesires:crafting/fan_catalyst/dragon_breathing_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:dragon_breathing_sail minecraft:crafting_shaped minecraft:dragon_head
dndesires:crafting/fan_catalyst/freezing_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:freezing_sail minecraft:crafting_shaped minecraft:powder_snow_bucket
dndesires:crafting/fan_catalyst/haunting_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:haunting_sail minecraft:crafting_shaped minecraft:soul_campfire
dndesires:crafting/fan_catalyst/sanding_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:sanding_sail minecraft:crafting_shaped minecraft:sand
dndesires:crafting/fan_catalyst/seething_sail | minecraft:crafting_shaped | create:blaze_cake dndesires:blasting_sail dndesires:burner dndesires:seething_sail minecraft:crafting_shaped
dndesires:crafting/fan_catalyst/smoking_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:smoking_sail minecraft:campfire minecraft:crafting_shaped
dndesires:crafting/fan_catalyst/splashing_sail | minecraft:crafting_shaped | c:storage_blocks/cardboard create:sail_frame dndesires:splashing_sail minecraft:crafting_shaped minecraft:water_bucket
