farmersdelight:acacia_cabinet | minecraft:crafting_shaped | farmersdelight:acacia_cabinet minecraft:acacia_slab minecraft:acacia_trapdoor minecraft:crafting_shaped
farmersdelight:apple_pie | minecraft:crafting_shaped | c:crops/wheat farmersdelight:apple_pie farmersdelight:pie_crust minecraft:apple minecraft:crafting_shaped minecraft:sugar
farmersdelight:apple_pie_from_slices | minecraft:crafting_shaped | farmersdelight:apple_pie farmersdelight:apple_pie_slice minecraft:crafting_shaped
farmersdelight:bacon_and_eggs | minecraft:crafting_shapeless | c:foods/cooked_bacon c:foods/cooked_egg farmersdelight:bacon_and_eggs minecraft:bowl minecraft:crafting_shapeless
farmersdelight:bacon_sandwich | minecraft:crafting_shapeless | c:crops/tomato c:foods/bread c:foods/cooked_bacon c:foods/leafy_green farmersdelight:bacon_sandwich minecraft:crafting_shapeless
farmersdelight:bamboo_basket | minecraft:crafting_shaped | farmersdelight:bamboo_basket farmersdelight:canvas minecraft:bamboo minecraft:crafting_shaped
farmersdelight:bamboo_cabinet | minecraft:crafting_shaped | farmersdelight:bamboo_cabinet minecraft:bamboo_slab minecraft:bamboo_trapdoor minecraft:crafting_shaped
farmersdelight:barbecue_stick | minecraft:crafting_shapeless | c:crops/onion c:crops/tomato c:foods/cooked_meat farmersdelight:barbecue_stick minecraft:crafting_shapeless minecraft:stick
farmersdelight:beef_patty | minecraft:smelting | farmersdelight:beef_patty farmersdelight:minced_beef minecraft:smelting
farmersdelight:beef_patty_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:beef_patty farmersdelight:minced_beef minecraft:campfire_cooking
farmersdelight:beef_patty_from_smoking | minecraft:smoking | farmersdelight:beef_patty farmersdelight:minced_beef minecraft:smoking
farmersdelight:beetroot_crate | minecraft:crafting_shaped | farmersdelight:beetroot_crate farmersdelight:vanilla_crates_enabled minecraft:beetroot minecraft:crafting_shaped
farmersdelight:beetroot_from_crate | minecraft:crafting_shapeless | farmersdelight:beetroot_crate minecraft:beetroot minecraft:crafting_shapeless
farmersdelight:birch_cabinet | minecraft:crafting_shaped | farmersdelight:birch_cabinet minecraft:birch_slab minecraft:birch_trapdoor minecraft:crafting_shaped
farmersdelight:black_canvas_sign | minecraft:crafting_shapeless | c:dyes/black farmersdelight:black_canvas_sign farmersdelight:canvas_signs minecraft:crafting_shapeless
farmersdelight:black_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/black farmersdelight:black_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:blue_canvas_sign | minecraft:crafting_shapeless | c:dyes/blue farmersdelight:blue_canvas_sign farmersdelight:canvas_signs minecraft:crafting_shapeless
farmersdelight:blue_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/blue farmersdelight:blue_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:book_from_canvas | minecraft:crafting_shapeless | farmersdelight:canvas minecraft:book minecraft:crafting_shapeless minecraft:paper
farmersdelight:bread_from_smelting | minecraft:smelting | farmersdelight:wheat_dough minecraft:bread minecraft:smelting
farmersdelight:bread_from_smoking | minecraft:smoking | farmersdelight:wheat_dough minecraft:bread minecraft:smoking
farmersdelight:brown_canvas_sign | minecraft:crafting_shapeless | c:dyes/brown farmersdelight:brown_canvas_sign farmersdelight:canvas_signs minecraft:crafting_shapeless
farmersdelight:brown_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/brown farmersdelight:brown_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:cabbage | minecraft:crafting_shapeless | farmersdelight:cabbage farmersdelight:cabbage_crate minecraft:crafting_shapeless
farmersdelight:cabbage_crate | minecraft:crafting_shaped | farmersdelight:cabbage farmersdelight:cabbage_crate minecraft:crafting_shaped
farmersdelight:cabbage_from_leaves | minecraft:crafting_shapeless | farmersdelight:cabbage farmersdelight:cabbage_leaf minecraft:crafting_shapeless
farmersdelight:cake_from_milk_bottle | minecraft:crafting_shaped | c:crops/wheat c:drinks/milk c:eggs minecraft:cake minecraft:crafting_shaped minecraft:sugar
farmersdelight:cake_from_slices | minecraft:crafting_shapeless | farmersdelight:cake_slice minecraft:cake minecraft:crafting_shapeless
farmersdelight:canvas | minecraft:crafting_shaped | farmersdelight:canvas farmersdelight:straw minecraft:crafting_shaped
farmersdelight:canvas_from_canvas_rug | minecraft:crafting_shapeless | farmersdelight:canvas farmersdelight:canvas_rug minecraft:crafting_shapeless
farmersdelight:canvas_rug | minecraft:crafting_shapeless | farmersdelight:canvas farmersdelight:canvas_rug minecraft:crafting_shapeless
farmersdelight:canvas_sign | minecraft:crafting_shaped | farmersdelight:canvas farmersdelight:canvas_sign minecraft:crafting_shaped minecraft:planks minecraft:stick
farmersdelight:carrot_crate | minecraft:crafting_shaped | farmersdelight:carrot_crate farmersdelight:vanilla_crates_enabled minecraft:carrot minecraft:crafting_shaped
farmersdelight:carrot_from_crate | minecraft:crafting_shapeless | farmersdelight:carrot_crate minecraft:carrot minecraft:crafting_shapeless
farmersdelight:cherry_cabinet | minecraft:crafting_shaped | farmersdelight:cherry_cabinet minecraft:cherry_slab minecraft:cherry_trapdoor minecraft:crafting_shaped
farmersdelight:chicken_sandwich | minecraft:crafting_shapeless | c:crops/carrot c:foods/bread c:foods/cooked_chicken c:foods/leafy_green farmersdelight:chicken_sandwich minecraft:crafting_shapeless
farmersdelight:chocolate_pie | minecraft:crafting_shaped | c:drinks/milk farmersdelight:chocolate_pie farmersdelight:pie_crust minecraft:cocoa_beans minecraft:crafting_shaped minecraft:sugar
