galosphere:allurite_block | minecraft:crafting_shaped | galosphere:allurite_block galosphere:allurite_shard minecraft:crafting_shaped
galosphere:allurite_brick_slab | minecraft:crafting_shaped | galosphere:allurite_brick_slab galosphere:allurite_bricks minecraft:crafting_shaped
galosphere:allurite_brick_slab_from_allurite_block_stonecutting | minecraft:stonecutting | galosphere:allurite_block galosphere:allurite_brick_slab minecraft:stonecutting
galosphere:allurite_brick_slab_from_allurite_bricks_stonecutting | minecraft:stonecutting | galosphere:allurite_brick_slab galosphere:allurite_bricks minecraft:stonecutting
galosphere:allurite_brick_slab_from_smooth_allurite_stonecutting | minecraft:stonecutting | galosphere:allurite_brick_slab galosphere:smooth_allurite minecraft:stonecutting
galosphere:allurite_brick_stairs | minecraft:crafting_shaped | galosphere:allurite_brick_stairs galosphere:allurite_bricks minecraft:crafting_shaped
galosphere:allurite_brick_stairs_from_allurite_block_stonecutting | minecraft:stonecutting | galosphere:allurite_block galosphere:allurite_brick_stairs minecraft:stonecutting
galosphere:allurite_brick_stairs_from_allurite_bricks_stonecutting | minecraft:stonecutting | galosphere:allurite_brick_stairs galosphere:allurite_bricks minecraft:stonecutting
galosphere:allurite_brick_stairs_from_smooth_allurite_stonecutting | minecraft:stonecutting | galosphere:allurite_brick_stairs galosphere:smooth_allurite minecraft:stonecutting
galosphere:allurite_bricks | minecraft:crafting_shaped | galosphere:allurite_bricks galosphere:smooth_allurite minecraft:crafting_shaped
galosphere:allurite_bricks_from_allurite_block_stonecutting | minecraft:stonecutting | galosphere:allurite_block galosphere:allurite_bricks minecraft:stonecutting
galosphere:allurite_bricks_from_smooth_allurite_stonecutting | minecraft:stonecutting | galosphere:allurite_bricks galosphere:smooth_allurite minecraft:stonecutting
galosphere:allurite_lamp | minecraft:crafting_shaped | galosphere:allurite_lamp galosphere:allurite_shard minecraft:crafting_shaped minecraft:glowstone
galosphere:allurite_slab | minecraft:crafting_shaped | galosphere:allurite_block galosphere:allurite_slab minecraft:crafting_shaped
galosphere:allurite_slab_from_allurite_block_stonecutting | minecraft:stonecutting | galosphere:allurite_block galosphere:allurite_slab minecraft:stonecutting
