cataclysm:abyss_eye | minecraft:crafting_shaped | cataclysm:abyss_eye minecraft:crafting_shaped minecraft:crying_obsidian minecraft:ender_eye minecraft:obsidian
cataclysm:abyssal_sacrifice | minecraft:crafting_shapeless | cataclysm:abyssal_sacrifice cataclysm:athame cataclysm:crystallized_coral minecraft:amethyst_block minecraft:crafting_shapeless minecraft:diamond_block minecraft:emerald_block minecraft:gold_block minecraft:heart_of_the_sea minecraft:iron_block minecraft:nautilus_shell
cataclysm:abyssal_sacrifice2 | minecraft:crafting_shapeless | cataclysm:abyssal_sacrifice cataclysm:athame cataclysm:coral_chunk minecraft:amethyst_block minecraft:crafting_shapeless minecraft:diamond_block minecraft:emerald_block minecraft:gold_block minecraft:heart_of_the_sea minecraft:iron_block minecraft:nautilus_shell
cataclysm:amethyst_bless/blessed_amethyst_crab_meat | cataclysm:amethyst_bless | cataclysm:amethyst_bless cataclysm:amethyst_crab_meat cataclysm:blessed_amethyst_crab_meat
cataclysm:ancient_metal_block | minecraft:crafting_shaped | cataclysm:ancient_metal_block cataclysm:ancient_metal_ingot minecraft:crafting_shaped
cataclysm:ancient_metal_ingot | minecraft:crafting_shapeless | cataclysm:ancient_metal_block cataclysm:ancient_metal_ingot minecraft:crafting_shapeless
cataclysm:ancient_metal_ingot_from_nuggets | minecraft:crafting_shaped | cataclysm:ancient_metal_ingot cataclysm:ancient_metal_nugget minecraft:crafting_shaped
cataclysm:ancient_metal_nugget | minecraft:crafting_shapeless | cataclysm:ancient_metal_ingot cataclysm:ancient_metal_nugget minecraft:crafting_shapeless
cataclysm:ancient_metal_nugget_from_smelting | minecraft:smelting | cataclysm:ancient_metal_nugget cataclysm:ancient_spear cataclysm:khopesh minecraft:smelting
cataclysm:ancient_spear | minecraft:crafting_shaped | cataclysm:ancient_metal_ingot cataclysm:ancient_spear minecraft:crafting_shaped
cataclysm:astrape | minecraft:crafting_shaped | cataclysm:astrape cataclysm:essence_of_the_storm cataclysm:lacrima minecraft:crafting_shaped
cataclysm:azure_sea_shield | minecraft:crafting_shaped | cataclysm:azure_sea_shield cataclysm:lacrima minecraft:crafting_shaped minecraft:gold_ingot minecraft:gold_nugget
cataclysm:azure_seastone | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:lacrima minecraft:crafting_shaped minecraft:stone
cataclysm:azure_seastone_brick_slab | minecraft:crafting_shaped | cataclysm:azure_seastone_brick_slab cataclysm:azure_seastone_bricks minecraft:crafting_shaped
cataclysm:azure_seastone_brick_stairs | minecraft:crafting_shaped | cataclysm:azure_seastone_brick_stairs cataclysm:azure_seastone_bricks minecraft:crafting_shaped
cataclysm:azure_seastone_brick_wall | minecraft:crafting_shaped | cataclysm:azure_seastone_brick_wall cataclysm:azure_seastone_bricks minecraft:crafting_shaped
cataclysm:azure_seastone_bricks | minecraft:crafting_shaped | cataclysm:azure_seastone_bricks cataclysm:polished_azure_seastone minecraft:crafting_shaped
cataclysm:azure_seastone_mural_empty | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:azure_seastone_mural_empty minecraft:crafting_shaped
cataclysm:azure_seastone_pillar | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:azure_seastone_pillar minecraft:crafting_shaped
cataclysm:azure_seastone_pillar_wall | minecraft:crafting_shaped | cataclysm:azure_seastone_pillar cataclysm:azure_seastone_pillar_wall minecraft:crafting_shaped
cataclysm:azure_seastone_slab | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:azure_seastone_slab minecraft:crafting_shaped
cataclysm:azure_seastone_stairs | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:azure_seastone_stairs minecraft:crafting_shaped
cataclysm:azure_seastone_tiles | minecraft:crafting_shaped | cataclysm:azure_seastone_bricks cataclysm:azure_seastone_tiles minecraft:crafting_shaped
