minecolonies_tweaks:copyscroll | minecraft:crafting_shaped | c:dusts/redstone c:leathers minecolonies_tweaks:copyscroll minecraft:crafting_shaped minecraft:stick structurize:sceptergold
minecolonies_tweaks:inventoryscroll | minecraft:crafting_shaped | c:chests c:leathers minecolonies_tweaks:inventoryscroll minecraft:crafting_shaped minecraft:stick structurize:sceptergold
minecolonies_tweaks:inventoryscroll/inventoryscroll_black | minecolonies_tweaks:component_merge_shapeless | c:dyes/black minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_black minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_blue | minecolonies_tweaks:component_merge_shapeless | c:dyes/blue minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_blue minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_brown | minecolonies_tweaks:component_merge_shapeless | c:dyes/brown minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_brown minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_cyan | minecolonies_tweaks:component_merge_shapeless | c:dyes/cyan minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_cyan minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_gray | minecolonies_tweaks:component_merge_shapeless | c:dyes/gray minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_gray minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_green | minecolonies_tweaks:component_merge_shapeless | c:dyes/green minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_green minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_light_blue | minecolonies_tweaks:component_merge_shapeless | c:dyes/light_blue minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_light_blue minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_light_gray | minecolonies_tweaks:component_merge_shapeless | c:dyes/light_gray minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_light_gray minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_lime | minecolonies_tweaks:component_merge_shapeless | c:dyes/lime minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_lime minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_magenta | minecolonies_tweaks:component_merge_shapeless | c:dyes/magenta minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_magenta minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_orange | minecolonies_tweaks:component_merge_shapeless | c:dyes/orange minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_orange minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_pink | minecolonies_tweaks:component_merge_shapeless | c:dyes/pink minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_pink minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_purple | minecolonies_tweaks:component_merge_shapeless | c:dyes/purple minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_purple minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_red | minecolonies_tweaks:component_merge_shapeless | c:dyes/red minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_red minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_white | minecolonies_tweaks:component_merge_shapeless | c:dyes/white minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_white minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:inventoryscroll/inventoryscroll_yellow | minecolonies_tweaks:component_merge_shapeless | c:dyes/yellow minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:inventoryscroll_yellow minecolonies_tweaks:inventoryscrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_black | minecolonies_tweaks:component_merge_shapeless | c:dyes/black minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_black minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_blue | minecolonies_tweaks:component_merge_shapeless | c:dyes/blue minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_blue minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_brown | minecolonies_tweaks:component_merge_shapeless | c:dyes/brown minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_brown minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_cyan | minecolonies_tweaks:component_merge_shapeless | c:dyes/cyan minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_cyan minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_gray | minecolonies_tweaks:component_merge_shapeless | c:dyes/gray minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_gray minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_green | minecolonies_tweaks:component_merge_shapeless | c:dyes/green minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_green minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_light_blue | minecolonies_tweaks:component_merge_shapeless | c:dyes/light_blue minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_light_blue minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_light_gray | minecolonies_tweaks:component_merge_shapeless | c:dyes/light_gray minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_light_gray minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_lime | minecolonies_tweaks:component_merge_shapeless | c:dyes/lime minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_lime minecolonies_tweaks:resourcescrolls neoforge:difference
minecolonies_tweaks:recipescroll/resourcescroll_magenta | minecolonies_tweaks:component_merge_shapeless | c:dyes/magenta minecolonies_tweaks:component_merge_shapeless minecolonies_tweaks:resourcescroll_magenta minecolonies_tweaks:resourcescrolls neoforge:difference
