create:crushing/basalt | create:crushing | create:crushing minecraft:basalt northstar:salt
create:crushing/enriched_glowstone_ore | create:crushing | create:crushing minecraft:glowstone_dust northstar:enriched_glowstone_ore
create:crushing/limestone | create:crushing | create:crushing create:limestone northstar:rutile_concentrate
create:crushing/lunar_sapphire_block | create:crushing | create:crushing northstar:lunar_sapphire_block northstar:lunar_sapphire_shard
create:crushing/lunar_sapphire_cluster | create:crushing | create:crushing northstar:lunar_sapphire_cluster northstar:lunar_sapphire_shard
create:crushing/mars_gravel | create:crushing | create:crushing northstar:mars_gravel northstar:mars_sand northstar:salt
create:crushing/mars_stone | create:crushing | create:crushing northstar:mars_gravel northstar:mars_stone
create:crushing/moon_stone | create:crushing | create:crushing northstar:moon_sand northstar:moon_stone
create:crushing/venus_gravel | create:crushing | create:crushing northstar:rutile_concentrate northstar:venus_gravel
create:engraving/raw_glowstone_ore | northstar:engraving | northstar:engraving northstar:enriched_glowstone_ore northstar:raw_glowstone_ore
create:pressing/dough | create:pressing | create:dough create:pressing northstar:flattened_dough
create:pressing/martian_steel | create:pressing | create:pressing northstar:martian_steel northstar:martian_steel_sheet
create:pressing/titanium_ingot | create:pressing | create:pressing northstar:titanium_ingot northstar:titanium_sheet
create:pressing/tungsten_ingot | create:pressing | create:pressing northstar:tungsten_ingot northstar:tungsten_sheet
create:sandpaper_polishing/amethyst_shard | create:sandpaper_polishing | create:sandpaper_polishing minecraft:amethyst_shard northstar:polished_amethyst
create:sandpaper_polishing/diamond | create:sandpaper_polishing | create:sandpaper_polishing minecraft:diamond northstar:polished_diamond
create:sandpaper_polishing/lunar_sapphire_shard | create:sandpaper_polishing | create:sandpaper_polishing northstar:lunar_sapphire_shard northstar:polished_lunar_sapphire
create:splashing/crushed_raw_tungsten | create:splashing | create:splashing minecraft:quartz northstar:crushed_raw_tungsten northstar:tungsten_nugget
northstar:argyre_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:argyre_logs northstar:argyre_planks
northstar:argyre_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:argyre_planks northstar:argyre_slab
northstar:argyre_slab_from_argyre_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:argyre_planks northstar:argyre_slab
northstar:argyre_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:argyre_planks northstar:argyre_stairs
northstar:argyre_stairs_from_argyre_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:argyre_planks northstar:argyre_stairs
northstar:blasting/iron_ingot_from_martian_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:raw_martian_iron_ore
northstar:blasting/mars_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:mars_copper_ore
northstar:blasting/mars_deep_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:mars_deep_copper_ore
northstar:blasting/mars_deep_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:mars_deep_diamond_ore
northstar:blasting/mars_deep_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:mars_deep_gold_ore
northstar:blasting/mars_deep_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:mars_deep_iron_ore
northstar:blasting/mars_deep_quartz_ore | minecraft:blasting | minecraft:blasting minecraft:quartz northstar:mars_deep_quartz_ore
northstar:blasting/mars_deep_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:mars_deep_redstone_ore
northstar:blasting/mars_deep_titanium_ore | minecraft:blasting | minecraft:blasting northstar:mars_deep_titanium_ore northstar:titanium_ingot
northstar:blasting/mars_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:mars_diamond_ore
northstar:blasting/mars_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:mars_gold_ore
northstar:blasting/mars_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:mars_iron_ore
northstar:blasting/mars_quartz_ore | minecraft:blasting | minecraft:blasting minecraft:quartz northstar:mars_quartz_ore
northstar:blasting/mars_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:mars_redstone_ore
northstar:blasting/mars_titanium_ore | minecraft:blasting | minecraft:blasting northstar:mars_titanium_ore northstar:titanium_ingot
northstar:blasting/mercury_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:mercury_copper_ore
northstar:blasting/mercury_deep_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:mercury_deep_copper_ore
