quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:automation/crafting/ender_watcher | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:ender_eye minecraft:obsidian quark:ender_watcher zeta:flag
quark:automation/crafting/feeding_trough | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:planks minecraft:wheat quark:feeding_trough zeta:flag
quark:automation/crafting/gold_button | minecraft:crafting_shapeless | c:ingots/gold minecraft:crafting_shapeless minecraft:wooden_buttons quark:gold_button zeta:flag
quark:automation/crafting/gravisand | minecraft:crafting_shaped | c:ender_pearls c:sands/colorless minecraft:crafting_shaped quark:gravisand zeta:flag
quark:automation/crafting/iron_button | minecraft:crafting_shapeless | c:ingots/iron minecraft:crafting_shapeless minecraft:wooden_buttons quark:iron_button zeta:flag
quark:automation/crafting/iron_rod | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:end_rod neoforge:not quark:iron_rod zeta:flag
quark:automation/crafting/iron_rod_pre_end | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped quark:iron_rod zeta:flag
quark:automation/crafting/nether_brick_fence_gate | minecraft:crafting_shaped | c:bricks/nether minecraft:crafting_shaped minecraft:nether_bricks quark:nether_brick_fence_gate zeta:flag
quark:automation/crafting/obsidian_plate | minecraft:crafting_shaped | c:obsidians minecraft:crafting_shaped quark:obsidian_pressure_plate zeta:flag
quark:automation/crafting/redstone_randomizer | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:prismarine_crystals minecraft:redstone_torch minecraft:stone quark:redstone_randomizer zeta:flag
quark:building/chests/acacia_chest_wood | minecraft:crafting_shaped | minecraft:acacia_logs minecraft:crafting_shaped neoforge:and quark:acacia_chest zeta:flag
quark:building/chests/bamboo_chest_wood | minecraft:crafting_shaped | minecraft:bamboo_blocks minecraft:crafting_shaped neoforge:and quark:bamboo_chest zeta:flag
quark:building/chests/birch_chest_wood | minecraft:crafting_shaped | minecraft:birch_logs minecraft:crafting_shaped neoforge:and quark:birch_chest zeta:flag
quark:building/chests/cherry_chest_wood | minecraft:crafting_shaped | minecraft:cherry_logs minecraft:crafting_shaped neoforge:and quark:cherry_chest zeta:flag
quark:building/chests/crimson_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_stems neoforge:and quark:crimson_chest zeta:flag
quark:building/chests/dark_oak_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_logs neoforge:and quark:dark_oak_chest zeta:flag
quark:building/chests/jungle_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_logs neoforge:and quark:jungle_chest zeta:flag
quark:building/chests/mangrove_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_logs neoforge:and quark:mangrove_chest zeta:flag
quark:building/chests/oak_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_logs neoforge:and quark:oak_chest zeta:flag
quark:building/chests/spruce_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_logs neoforge:and quark:spruce_chest zeta:flag
quark:building/chests/trapped_acacia_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:acacia_chest quark:trapped_acacia_chest zeta:flag
quark:building/chests/trapped_bamboo_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:bamboo_chest quark:trapped_bamboo_chest zeta:flag
quark:building/chests/trapped_birch_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:birch_chest quark:trapped_birch_chest zeta:flag
quark:building/chests/trapped_cherry_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:cherry_chest quark:trapped_cherry_chest zeta:flag
quark:building/chests/trapped_crimson_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:crimson_chest quark:trapped_crimson_chest zeta:flag
quark:building/chests/trapped_dark_oak_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:dark_oak_chest quark:trapped_dark_oak_chest zeta:flag
quark:building/chests/trapped_jungle_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:jungle_chest quark:trapped_jungle_chest zeta:flag
quark:building/chests/trapped_mangrove_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:mangrove_chest quark:trapped_mangrove_chest zeta:flag
