securitycraft:acacia_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:acacia_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_acacia_planks securitycraft:security_sea_boats
securitycraft:alarm | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:note_block securitycraft:alarm securitycraft:reinforced_glass
securitycraft:ancient_debris_mine | minecraft:crafting_shapeless | minecraft:ancient_debris minecraft:crafting_shapeless securitycraft:ancient_debris_mine securitycraft:block_mines securitycraft:mine
securitycraft:bamboo_security_sea_raft | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:bamboo_security_sea_raft securitycraft:keypad_chest securitycraft:reinforced_bamboo_planks securitycraft:security_sea_boats
securitycraft:birch_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:birch_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_birch_planks securitycraft:security_sea_boats
securitycraft:black_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_black_stained_glass_pane
securitycraft:blacklist_module | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:ink_sac minecraft:paper securitycraft:blacklist_module securitycraft:modules
securitycraft:blast_furnace_mine | minecraft:crafting_shapeless | minecraft:blast_furnace minecraft:crafting_shapeless securitycraft:blast_furnace_mine securitycraft:block_mines securitycraft:mine
securitycraft:block_change_detector | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:redstone_torch securitycraft:block_change_detector securitycraft:username_logger
securitycraft:block_pocket_manager | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:block_pocket_manager securitycraft:reinforced_crystal_quartz_block securitycraft:reinforced_iron_block securitycraft:reinforced_redstone_block
securitycraft:block_pocket_wall | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:block_pocket_wall securitycraft:reinforced_crystal_quartz_block
securitycraft:block_reinforcing | securitycraft:block_reinforcing_recipe | securitycraft:block_reinforcing_recipe
securitycraft:block_unreinforcing | securitycraft:block_unreinforcing_recipe | securitycraft:block_unreinforcing_recipe
securitycraft:blue_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_blue_stained_glass_pane
securitycraft:bouncing_betty | minecraft:crafting_shaped | c:gunpowders c:ingots/iron minecraft:crafting_shaped minecraft:heavy_weighted_pressure_plate securitycraft:bouncing_betty
securitycraft:briefcase | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped securitycraft:briefcase securitycraft:keypad_chest
securitycraft:brown_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_brown_stained_glass_pane
securitycraft:cage_trap | minecraft:crafting_shaped | c:dusts/redstone c:ingots/gold minecraft:crafting_shaped securitycraft:cage_trap securitycraft:reinforced_iron_bars securitycraft:reinforced_iron_block
securitycraft:camera_monitor | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped securitycraft:camera_monitor securitycraft:reinforced_glass_pane
securitycraft:cherry_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:cherry_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_cherry_planks securitycraft:security_sea_boats
securitycraft:chiseled_crystal_quartz | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:chiseled_crystal_quartz securitycraft:crystal_quartz_slab
securitycraft:chiseled_crystal_quartz_from_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:chiseled_crystal_quartz securitycraft:crystal_quartz
securitycraft:claymore | minecraft:crafting_shaped | c:dusts/redstone c:gunpowders c:strings minecraft:crafting_shaped minecraft:tripwire_hook securitycraft:bouncing_betty securitycraft:claymore
securitycraft:coal_mine | minecraft:crafting_shapeless | minecraft:coal_ore minecraft:crafting_shapeless securitycraft:block_mines securitycraft:coal_mine securitycraft:mine
securitycraft:cobbled_deepslate_mine | minecraft:crafting_shapeless | minecraft:cobbled_deepslate minecraft:crafting_shapeless securitycraft:block_mines securitycraft:cobbled_deepslate_mine securitycraft:mine
securitycraft:cobblestone_mine | minecraft:crafting_shapeless | minecraft:cobblestone minecraft:crafting_shapeless securitycraft:block_mines securitycraft:cobblestone_mine securitycraft:mine
securitycraft:codebreaker | minecraft:crafting_shaped | c:dusts/redstone c:gems/diamond c:gems/emerald c:ingots/gold c:nether_stars minecraft:crafting_shaped minecraft:redstone_torch securitycraft:codebreaker
securitycraft:copper_mine | minecraft:crafting_shapeless | minecraft:copper_ore minecraft:crafting_shapeless securitycraft:block_mines securitycraft:copper_mine securitycraft:mine
securitycraft:copy_camera_monitor | securitycraft:copy_camera_monitor_recipe | securitycraft:copy_camera_monitor_recipe
securitycraft:copy_mine_remote_access_tool | securitycraft:copy_mine_remote_access_tool_recipe | securitycraft:copy_mine_remote_access_tool_recipe
securitycraft:copy_sentry_remote_access_tool | securitycraft:copy_sentry_remote_access_tool_recipe | securitycraft:copy_sentry_remote_access_tool_recipe
securitycraft:copy_sonic_security_system | securitycraft:copy_sonic_security_system_recipe | securitycraft:copy_sonic_security_system_recipe
securitycraft:crystal_quartz | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:crystal_quartz securitycraft:crystal_quartz_item
securitycraft:crystal_quartz_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:crystal_quartz securitycraft:crystal_quartz_bricks
securitycraft:crystal_quartz_bricks_from_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:crystal_quartz securitycraft:crystal_quartz_bricks
securitycraft:crystal_quartz_item | minecraft:crafting_shaped | c:gems/prismarine c:gems/quartz minecraft:crafting_shaped securitycraft:crystal_quartz_item
