alexsmobs:animal_dictionary | minecraft:crafting_shapeless | alexsmobs:animal_dictionary alexsmobs:animal_dictionary_ingredient c:dyes/green minecraft:book minecraft:crafting_shapeless
alexsmobs:banana_slug_slime | minecraft:crafting_shapeless | alexsmobs:banana_slug_slime alexsmobs:banana_slug_slime_block minecraft:crafting_shapeless
alexsmobs:banana_slug_slime_block | minecraft:crafting_shaped | alexsmobs:banana_slug_slime alexsmobs:banana_slug_slime_block minecraft:crafting_shaped
alexsmobs:banner_pattern_australia_0 | minecraft:crafting_shapeless | alexsmobs:banner_pattern_australia_0 alexsmobs:kangaroo_hide minecraft:crafting_shapeless minecraft:paper
alexsmobs:banner_pattern_australia_1 | minecraft:crafting_shapeless | alexsmobs:banner_pattern_australia_1 alexsmobs:emu_feather minecraft:crafting_shapeless minecraft:paper
alexsmobs:banner_pattern_bear | minecraft:crafting_shapeless | alexsmobs:banner_pattern_bear alexsmobs:bear_fur minecraft:crafting_shapeless minecraft:paper
alexsmobs:banner_pattern_brazil | minecraft:crafting_shapeless | alexsmobs:banner_pattern_brazil alexsmobs:shed_snake_skin minecraft:crafting_shapeless minecraft:paper
alexsmobs:banner_pattern_new_mexico | minecraft:crafting_shapeless | alexsmobs:banner_pattern_new_mexico alexsmobs:tarantula_hawk_wing_fragment minecraft:crafting_shapeless minecraft:paper
alexsmobs:bison_carpet | minecraft:crafting_shaped | alexsmobs:bison_carpet alexsmobs:bison_fur_block minecraft:crafting_shaped
alexsmobs:bison_fur_block | minecraft:crafting_shaped | alexsmobs:bison_fur alexsmobs:bison_fur_block minecraft:crafting_shaped
alexsmobs:bison_fur_from_block | minecraft:crafting_shapeless | alexsmobs:bison_fur alexsmobs:bison_fur_block minecraft:crafting_shapeless
alexsmobs:bison_fur_to_wool | minecraft:crafting_shaped | alexsmobs:bison_fur minecraft:brown_wool minecraft:crafting_shaped
alexsmobs:bison_upgrade | alexsmobs:bison_upgrade | alexsmobs:bison_upgrade
