ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:air_essence_to_snow_bucket | minecraft:crafting_shapeless | ars_nouveau:air_essence minecraft:bucket minecraft:crafting_shapeless minecraft:powder_snow_bucket minecraft:snow_block
ars_nouveau:alakarkinos/desert_pyramid | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/desert_pyramid minecraft:sand
ars_nouveau:alakarkinos/desert_well | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/desert_well minecraft:sand
ars_nouveau:alakarkinos/ocean_ruins_cold | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/ocean_ruin_cold minecraft:gravel
ars_nouveau:alakarkinos/ocean_ruins_warm | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/ocean_ruin_warm minecraft:sand
ars_nouveau:alakarkinos/trail_ruins_common | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/trail_ruins_common minecraft:gravel
ars_nouveau:alakarkinos/trail_ruins_rare | ars_nouveau:alakarkinos_conversion | ars_nouveau:alakarkinos_conversion minecraft:archaeology/trail_ruins_rare minecraft:gravel
ars_nouveau:alakarkinos_charm | ars_nouveau:enchanting_apparatus | ars_nouveau:alakarkinos_charm ars_nouveau:alakarkinos_token ars_nouveau:enchanting_apparatus minecraft:brush minecraft:decorated_pot_sherds
ars_nouveau:alchemical_sourcelink | minecraft:crafting_shaped | ars_nouveau:alchemical_sourcelink c:gems/source c:ingots/gold minecraft:brewing_stand minecraft:crafting_shaped
ars_nouveau:alchemists_crown | ars_nouveau:enchanting_apparatus | ars_nouveau:alchemists_crown ars_nouveau:enchanting_apparatus minecraft:glass_bottle minecraft:golden_helmet
ars_nouveau:allow_scroll | minecraft:crafting_shapeless | ars_nouveau:allow_scroll ars_nouveau:blank_parchment c:chests minecraft:crafting_shapeless
ars_nouveau:alteration_table | minecraft:crafting_shaped | ars_nouveau:alteration_table ars_nouveau:magebloom_fiber ars_nouveau:scribes_table minecraft:crafting_shaped
ars_nouveau:amulet_of_mana_boost | ars_nouveau:enchanting_apparatus | ars_nouveau:amulet_of_mana_boost ars_nouveau:dull_trinket ars_nouveau:enchanting_apparatus c:gems/diamond c:gems/source
ars_nouveau:amulet_of_mana_regen | ars_nouveau:enchanting_apparatus | ars_nouveau:amulet_of_mana_regen ars_nouveau:dull_trinket ars_nouveau:enchanting_apparatus c:gems/diamond c:gems/source c:ingots/gold
ars_nouveau:annotated_codex | minecraft:crafting_shapeless | ars_nouveau:annotated_codex ars_nouveau:blank_parchment minecraft:crafting_shapeless minecraft:leather
ars_nouveau:apprentice_book_upgrade | ars_nouveau:book_upgrade | ars_nouveau:apprentice_spell_book ars_nouveau:book_upgrade ars_nouveau:novice_spell_book c:gems/diamond c:obsidians c:rods/blaze minecraft:quartz_block
ars_nouveau:aqua_affinity_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:aqua_affinity minecraft:fishes
ars_nouveau:arcane_core | minecraft:crafting_shaped | ars_nouveau:arcane_core ars_nouveau:sourcestone c:gems/source c:ingots/gold minecraft:crafting_shaped
ars_nouveau:arcane_pedestal | minecraft:crafting_shaped | ars_nouveau:arcane_pedestal ars_nouveau:sourcestone c:gems/source c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:arcane_platform | minecraft:crafting_shapeless | ars_nouveau:arcane_pedestal ars_nouveau:arcane_platform minecraft:crafting_shapeless
ars_nouveau:arcanist_boots | ars_nouveau:enchanting_apparatus | ars_nouveau:arcanist_boots ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:iron_boots
ars_nouveau:arcanist_hood | ars_nouveau:enchanting_apparatus | ars_nouveau:arcanist_hood ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:iron_helmet
ars_nouveau:arcanist_leggings | ars_nouveau:enchanting_apparatus | ars_nouveau:arcanist_leggings ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:iron_leggings
ars_nouveau:arcanist_robes | ars_nouveau:enchanting_apparatus | ars_nouveau:arcanist_robes ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:iron_chestplate
ars_nouveau:archmage_book_upgrade | ars_nouveau:book_upgrade | ars_nouveau:apprentice_spell_book ars_nouveau:archmage_spell_book ars_nouveau:book_upgrade ars_nouveau:wilden_tribute c:ender_pearls c:gems/emerald minecraft:nether_star minecraft:totem_of_undying
ars_nouveau:archwood_boat | minecraft:crafting_shaped | ars_nouveau:archwood_boat ars_nouveau:archwood_planks minecraft:crafting_shaped
ars_nouveau:archwood_button | minecraft:crafting_shapeless | ars_nouveau:archwood_button ars_nouveau:archwood_planks minecraft:crafting_shapeless
ars_nouveau:archwood_chest | minecraft:crafting_shaped | ars_nouveau:archwood_chest ars_nouveau:archwood_planks minecraft:crafting_shaped minecraft:gold_nugget
ars_nouveau:archwood_door | minecraft:crafting_shaped | ars_nouveau:archwood_door ars_nouveau:archwood_planks minecraft:crafting_shaped
ars_nouveau:archwood_fence | minecraft:crafting_shaped | ars_nouveau:archwood_fence ars_nouveau:archwood_planks minecraft:crafting_shaped minecraft:stick
ars_nouveau:archwood_fence_gate | minecraft:crafting_shaped | ars_nouveau:archwood_fence_gate ars_nouveau:archwood_planks minecraft:crafting_shaped minecraft:stick
ars_nouveau:archwood_grate | minecraft:crafting_shaped | ars_nouveau:archwood_grate c:logs/archwood minecraft:crafting_shaped minecraft:iron_bars
ars_nouveau:archwood_hanging_sign | minecraft:crafting_shaped | ars_nouveau:archwood_hanging_sign c:logs/archwood_stripped minecraft:chain minecraft:crafting_shaped
ars_nouveau:archwood_planks | minecraft:crafting_shapeless | ars_nouveau:archwood_planks c:logs/archwood minecraft:crafting_shapeless
ars_nouveau:archwood_pressure_plate | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:archwood_pressure_plate minecraft:crafting_shaped
ars_nouveau:archwood_sconce | minecraft:crafting_shapeless | ars_nouveau:archwood_planks ars_nouveau:archwood_sconce c:gems/source minecraft:crafting_shapeless
ars_nouveau:archwood_sign | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:archwood_sign minecraft:crafting_shaped minecraft:stick
ars_nouveau:archwood_slab | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:archwood_slab minecraft:crafting_shaped
ars_nouveau:archwood_stairs | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:archwood_stairs minecraft:crafting_shaped
ars_nouveau:archwood_to_chest | minecraft:crafting_shapeless | ars_nouveau:archwood_chest minecraft:chest minecraft:crafting_shapeless
ars_nouveau:archwood_trapdoor | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:archwood_trapdoor minecraft:crafting_shaped
ars_nouveau:ars_stencil | minecraft:crafting_shapeless | ars_nouveau:abjuration_essence ars_nouveau:ars_stencil minecraft:crafting_shapeless minecraft:paper
ars_nouveau:bane_of_arthropods_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bane_of_arthropods minecraft:spider_eye
ars_nouveau:bane_of_arthropods_2 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bane_of_arthropods minecraft:spider_eye
ars_nouveau:bane_of_arthropods_3 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bane_of_arthropods minecraft:fermented_spider_eye
ars_nouveau:bane_of_arthropods_4 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bane_of_arthropods minecraft:fermented_spider_eye
ars_nouveau:bane_of_arthropods_5 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:bane_of_arthropods minecraft:fermented_spider_eye
ars_nouveau:basic_spell_turret | minecraft:crafting_shaped | ars_nouveau:basic_spell_turret c:gems/source c:ingots/gold c:storage_blocks/redstone minecraft:crafting_shaped
ars_nouveau:bastion_to_purple | minecraft:crafting_shapeless | ars_nouveau:bastion_pod minecraft:crafting_shapeless minecraft:purple_dye
ars_nouveau:battlemage_boots | ars_nouveau:enchanting_apparatus | ars_nouveau:battlemage_boots ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:diamond_boots
ars_nouveau:battlemage_hood | ars_nouveau:enchanting_apparatus | ars_nouveau:battlemage_hood ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:diamond_helmet
ars_nouveau:battlemage_leggings | ars_nouveau:enchanting_apparatus | ars_nouveau:battlemage_leggings ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:diamond_leggings
ars_nouveau:battlemage_robes | ars_nouveau:enchanting_apparatus | ars_nouveau:battlemage_robes ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber minecraft:diamond_chestplate
ars_nouveau:belt_of_levitation | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:belt_of_levitation ars_nouveau:enchanting_apparatus ars_nouveau:mundane_belt c:ingots/gold minecraft:feather
ars_nouveau:belt_of_unstable_gifts | ars_nouveau:enchanting_apparatus | ars_nouveau:belt_of_unstable_gifts ars_nouveau:enchanting_apparatus ars_nouveau:mundane_belt c:crops/nether_wart c:dusts/glowstone c:dusts/redstone c:feathers c:rods/blaze minecraft:brewing_stand minecraft:fermented_spider_eye minecraft:sugar
ars_nouveau:blank_parchment | minecraft:crafting_shaped | ars_nouveau:blank_parchment ars_nouveau:magebloom_fiber minecraft:crafting_shaped minecraft:paper
ars_nouveau:blank_thread | minecraft:crafting_shaped | ars_nouveau:blank_thread ars_nouveau:magebloom_fiber c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:blast_protection_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/iron c:storage_blocks/source minecraft:blast_protection
ars_nouveau:blast_protection_2 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/iron c:storage_blocks/lapis c:storage_blocks/source minecraft:blast_protection
ars_nouveau:blast_protection_3 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:obsidians c:storage_blocks/source minecraft:blast_protection
ars_nouveau:blast_protection_4 | ars_nouveau:enchantment | ars_nouveau:enchantment c:gems/diamond c:storage_blocks/gold c:storage_blocks/source minecraft:blast_protection
ars_nouveau:blue_archwood_wood | minecraft:crafting_shaped | ars_nouveau:blue_archwood_log ars_nouveau:blue_archwood_wood minecraft:crafting_shaped
ars_nouveau:blue_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:blue_dye minecraft:cornflower
ars_nouveau:blue_sbed | minecraft:crafting_shapeless | ars_nouveau:blue_sbed ars_nouveau:summon_bed c:dyes/blue minecraft:crafting_shapeless
ars_nouveau:bombegranate_to_orange | minecraft:crafting_shapeless | ars_nouveau:bombegranate_pod minecraft:crafting_shapeless minecraft:orange_dye
ars_nouveau:brazier_relay | ars_nouveau:enchanting_apparatus | ars_nouveau:brazier_relay ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:ritual_brazier
ars_nouveau:brown_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:brown_dye minecraft:cocoa_beans
ars_nouveau:budding_conversion/budding_amethyst | ars_nouveau:budding_conversion | ars_nouveau:budding_conversion minecraft:amethyst_block minecraft:budding_amethyst
ars_nouveau:challenge_2 | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_challenge ars_nouveau:wilden_horn minecraft:crafting_shapeless minecraft:emerald
ars_nouveau:clear_alakarkinos_charm | minecraft:crafting_shapeless | ars_nouveau:alakarkinos_charm minecraft:crafting_shapeless
ars_nouveau:clear_allow | minecraft:crafting_shapeless | ars_nouveau:allow_scroll minecraft:crafting_shapeless
ars_nouveau:clear_amethyst_golem_charm | minecraft:crafting_shapeless | ars_nouveau:amethyst_golem_charm minecraft:crafting_shapeless
ars_nouveau:clear_bookwyrm_charm | minecraft:crafting_shapeless | ars_nouveau:bookwyrm_charm minecraft:crafting_shapeless
ars_nouveau:clear_deny | minecraft:crafting_shapeless | ars_nouveau:deny_scroll minecraft:crafting_shapeless
ars_nouveau:clear_drygmy_charm | minecraft:crafting_shapeless | ars_nouveau:drygmy_charm minecraft:crafting_shapeless
ars_nouveau:clear_starbuncle_charm | minecraft:crafting_shapeless | ars_nouveau:starbuncle_charm minecraft:crafting_shapeless
ars_nouveau:clear_starbuncle_shard | minecraft:crafting_shapeless | ars_nouveau:starbuncle_shards minecraft:crafting_shapeless
ars_nouveau:clear_whirlisprig_charm | minecraft:crafting_shapeless | ars_nouveau:whirlisprig_charm minecraft:crafting_shapeless
ars_nouveau:clear_wixie_charm | minecraft:crafting_shapeless | ars_nouveau:wixie_charm minecraft:crafting_shapeless
ars_nouveau:cobblestone | ars_nouveau:crush | ars_nouveau:crush c:cobblestones minecraft:gravel
ars_nouveau:conjuration_essence_to_end_stone | minecraft:crafting_shaped | ars_nouveau:conjuration_essence c:stones minecraft:crafting_shaped minecraft:end_stone
ars_nouveau:conjuration_essence_to_soul_sand | minecraft:crafting_shaped | ars_nouveau:conjuration_essence c:sands minecraft:crafting_shaped minecraft:soul_sand
ars_nouveau:decor_blossom | ars_nouveau:enchanting_apparatus | ars_nouveau:conjuration_essence ars_nouveau:decor_blossom ars_nouveau:enchanting_apparatus minecraft:spore_blossom
ars_nouveau:deny_scroll | minecraft:crafting_shapeless | ars_nouveau:blank_parchment ars_nouveau:deny_scroll c:cobblestones minecraft:crafting_shapeless
ars_nouveau:depth_strider_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:depth_strider
ars_nouveau:depth_strider_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:depth_strider minecraft:prismarine_shard
ars_nouveau:depth_strider_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:water_essence c:storage_blocks/source minecraft:depth_strider minecraft:nautilus_shell
ars_nouveau:dispel_entity/blaze_powder | ars_nouveau:dispel_entity | ars_nouveau:dispel_entity minecraft:blaze minecraft:entities/blaze minecraft:entity_properties
ars_nouveau:dispel_entity/wixie_shard | ars_nouveau:dispel_entity | ars_nouveau:dispel_entity ars_nouveau:dispel_witch ars_nouveau:percent_health_equal_or_lower minecraft:entity_properties minecraft:witch
ars_nouveau:dominion_wand | ars_nouveau:enchanting_apparatus | ars_nouveau:dominion_wand ars_nouveau:enchanting_apparatus c:gems/source c:ingots/gold minecraft:stick
ars_nouveau:dowsing_rod | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:dowsing_rod c:ingots/gold minecraft:crafting_shaped
ars_nouveau:drygmy_charm | ars_nouveau:enchanting_apparatus | ars_nouveau:drygmy_charm ars_nouveau:drygmy_shard ars_nouveau:enchanting_apparatus c:gems/source c:seeds minecraft:apple minecraft:carrot minecraft:fishes minecraft:wheat
ars_nouveau:dull_trinket | minecraft:crafting_shaped | ars_nouveau:dull_trinket c:gems/source c:nuggets/iron minecraft:crafting_shaped
ars_nouveau:dye_apprentice_spell_book | ars_nouveau:dye | ars_nouveau:apprentice_spell_book ars_nouveau:dye c:dyes
ars_nouveau:dye_arcanist_boots | ars_nouveau:dye | ars_nouveau:arcanist_boots ars_nouveau:dye c:dyes
ars_nouveau:dye_arcanist_hood | ars_nouveau:dye | ars_nouveau:arcanist_hood ars_nouveau:dye c:dyes
ars_nouveau:dye_arcanist_leggings | ars_nouveau:dye | ars_nouveau:arcanist_leggings ars_nouveau:dye c:dyes
ars_nouveau:dye_arcanist_robes | ars_nouveau:dye | ars_nouveau:arcanist_robes ars_nouveau:dye c:dyes
ars_nouveau:dye_archmage_spell_book | ars_nouveau:dye | ars_nouveau:archmage_spell_book ars_nouveau:dye c:dyes
ars_nouveau:dye_battlemage_boots | ars_nouveau:dye | ars_nouveau:battlemage_boots ars_nouveau:dye c:dyes
ars_nouveau:dye_battlemage_hood | ars_nouveau:dye | ars_nouveau:battlemage_hood ars_nouveau:dye c:dyes
ars_nouveau:dye_battlemage_leggings | ars_nouveau:dye | ars_nouveau:battlemage_leggings ars_nouveau:dye c:dyes
ars_nouveau:dye_battlemage_robes | ars_nouveau:dye | ars_nouveau:battlemage_robes ars_nouveau:dye c:dyes
ars_nouveau:dye_creative_spell_book | ars_nouveau:dye | ars_nouveau:creative_spell_book ars_nouveau:dye c:dyes
ars_nouveau:dye_enchanters_eye | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:enchanters_eye c:dyes
ars_nouveau:dye_enchanters_sword | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:enchanters_sword c:dyes
ars_nouveau:dye_novice_spell_book | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:novice_spell_book c:dyes
ars_nouveau:dye_sorcerer_boots | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:sorcerer_boots c:dyes
ars_nouveau:dye_sorcerer_hood | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:sorcerer_hood c:dyes
ars_nouveau:dye_sorcerer_leggings | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:sorcerer_leggings c:dyes
ars_nouveau:dye_sorcerer_robes | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:sorcerer_robes c:dyes
ars_nouveau:dye_spell_bow | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:spell_bow c:dyes
ars_nouveau:dye_spell_crossbow | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:spell_crossbow c:dyes
ars_nouveau:dye_spell_parchment | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:spell_parchment c:dyes
ars_nouveau:dye_wand | ars_nouveau:dye | ars_nouveau:dye ars_nouveau:wand c:dyes
ars_nouveau:efficiency_1 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/source minecraft:efficiency minecraft:iron_pickaxe minecraft:sugar
ars_nouveau:efficiency_2 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/redstone c:storage_blocks/source minecraft:efficiency minecraft:golden_pickaxe
ars_nouveau:efficiency_3 | ars_nouveau:enchantment | ars_nouveau:enchantment c:obsidians c:storage_blocks/redstone c:storage_blocks/source minecraft:efficiency minecraft:golden_pickaxe
ars_nouveau:efficiency_4 | ars_nouveau:enchantment | ars_nouveau:enchantment c:obsidians c:storage_blocks/redstone c:storage_blocks/source minecraft:diamond_pickaxe minecraft:efficiency minecraft:iron_shovel
ars_nouveau:efficiency_5 | ars_nouveau:enchantment | ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/redstone c:storage_blocks/source minecraft:diamond_pickaxe minecraft:diamond_shovel minecraft:efficiency
ars_nouveau:enchanters_eye | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_eye ars_nouveau:enchanting_apparatus ars_nouveau:scryers_crystal c:ender_pearls minecraft:blaze_powder
ars_nouveau:enchanters_fishing_rod | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_fishing_rod ars_nouveau:enchanting_apparatus c:storage_blocks/gold c:storage_blocks/source minecraft:fishing_rod
