bits_n_bobs:andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:stone_types/andesite minecraft:andesite minecraft:stonecutting
bits_n_bobs:andesite_tile_slab | minecraft:crafting_shaped | bits_n_bobs:andesite_tile_slab bits_n_bobs:andesite_tiles minecraft:crafting_shaped
bits_n_bobs:andesite_tile_slab_from_stone_types_andesite_stonecutting | minecraft:stonecutting | bits_n_bobs:andesite_tile_slab create:stone_types/andesite minecraft:stonecutting
bits_n_bobs:andesite_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:andesite_tile_stairs bits_n_bobs:andesite_tiles minecraft:crafting_shaped
bits_n_bobs:andesite_tile_stairs_from_stone_types_andesite_stonecutting | minecraft:stonecutting | bits_n_bobs:andesite_tile_stairs create:stone_types/andesite minecraft:stonecutting
bits_n_bobs:andesite_tile_wall | minecraft:crafting_shaped | bits_n_bobs:andesite_tile_wall bits_n_bobs:andesite_tiles minecraft:crafting_shaped
bits_n_bobs:andesite_tile_wall_from_stone_types_andesite_stonecutting | minecraft:stonecutting | bits_n_bobs:andesite_tile_wall create:stone_types/andesite minecraft:stonecutting
bits_n_bobs:andesite_tiles_from_stone_types_andesite_stonecutting | minecraft:stonecutting | bits_n_bobs:andesite_tiles create:stone_types/andesite minecraft:stonecutting
bits_n_bobs:asurine_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:asurine create:stone_types/asurine minecraft:stonecutting
bits_n_bobs:asurine_tile_slab | minecraft:crafting_shaped | bits_n_bobs:asurine_tile_slab bits_n_bobs:asurine_tiles minecraft:crafting_shaped
bits_n_bobs:asurine_tile_slab_from_stone_types_asurine_stonecutting | minecraft:stonecutting | bits_n_bobs:asurine_tile_slab create:stone_types/asurine minecraft:stonecutting
bits_n_bobs:asurine_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:asurine_tile_stairs bits_n_bobs:asurine_tiles minecraft:crafting_shaped
bits_n_bobs:asurine_tile_stairs_from_stone_types_asurine_stonecutting | minecraft:stonecutting | bits_n_bobs:asurine_tile_stairs create:stone_types/asurine minecraft:stonecutting
bits_n_bobs:asurine_tile_wall | minecraft:crafting_shaped | bits_n_bobs:asurine_tile_wall bits_n_bobs:asurine_tiles minecraft:crafting_shaped
bits_n_bobs:asurine_tile_wall_from_stone_types_asurine_stonecutting | minecraft:stonecutting | bits_n_bobs:asurine_tile_wall create:stone_types/asurine minecraft:stonecutting
bits_n_bobs:asurine_tiles_from_stone_types_asurine_stonecutting | minecraft:stonecutting | bits_n_bobs:asurine_tiles create:stone_types/asurine minecraft:stonecutting
bits_n_bobs:brass_lamp | minecraft:crafting_shaped | bits_n_bobs:brass_lamp bits_n_bobs:feature_item_enabled bits_n_bobs:lightbulb create:brass_sheet minecraft:crafting_shaped
bits_n_bobs:calcite_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:stone_types/calcite minecraft:calcite minecraft:stonecutting
bits_n_bobs:calcite_tile_slab | minecraft:crafting_shaped | bits_n_bobs:calcite_tile_slab bits_n_bobs:calcite_tiles minecraft:crafting_shaped
