born_in_chaos_v1:argillite_lamp_k | minecraft:crafting_shaped | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped minecraft:glass_pane minecraft:glowstone_dust
born_in_chaos_v1:armor_plate_from_dark_metal_k | minecraft:crafting_shaped | born_in_chaos_v1:armor_plate_from_dark_metal born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:monster_skin minecraft:crafting_shaped
born_in_chaos_v1:armor_plate_from_dark_metal_k_2 | minecraft:smithing_transform | born_in_chaos_v1:armor_plate_from_dark_metal born_in_chaos_v1:dark_metal_armor_helmet born_in_chaos_v1:dark_upgrade minecraft:netherite_helmet minecraft:smithing_transform
born_in_chaos_v1:armor_plate_from_dark_metal_k_3 | minecraft:smithing_transform | born_in_chaos_v1:armor_plate_from_dark_metal born_in_chaos_v1:dark_metal_armor_chestplate born_in_chaos_v1:dark_upgrade minecraft:netherite_chestplate minecraft:smithing_transform
born_in_chaos_v1:armor_plate_from_dark_metal_k_4 | minecraft:smithing_transform | born_in_chaos_v1:armor_plate_from_dark_metal born_in_chaos_v1:dark_metal_armor_leggings born_in_chaos_v1:dark_upgrade minecraft:netherite_leggings minecraft:smithing_transform
born_in_chaos_v1:armor_plate_from_dark_metal_k_5 | minecraft:smithing_transform | born_in_chaos_v1:armor_plate_from_dark_metal born_in_chaos_v1:dark_metal_armor_boots born_in_chaos_v1:dark_upgrade minecraft:netherite_boots minecraft:smithing_transform
born_in_chaos_v1:black_argilite_craft | minecraft:crafting_shapeless | born_in_chaos_v1:black_argillite minecraft:clay minecraft:cobbled_deepslate minecraft:crafting_shapeless minecraft:quartz
born_in_chaos_v1:black_argillite_brick_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_brick_st_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_stairs minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_brick_wall_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_wall minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_brick_wall_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_wall minecraft:stonecutting
born_in_chaos_v1:black_argillite_brick_wall_k_3 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick_wall born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:black_argillite_button_k | minecraft:crafting_shapeless | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_button minecraft:crafting_shapeless
born_in_chaos_v1:black_argillite_column_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_column born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_column_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_column born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
