cookingforblockheads:black_kitchen_floor | minecraft:crafting_shaped | c:dyes/black cookingforblockheads:black_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:blue_kitchen_floor | minecraft:crafting_shaped | c:dyes/blue cookingforblockheads:blue_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:brown_kitchen_floor | minecraft:crafting_shaped | c:dyes/brown cookingforblockheads:brown_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:cabinet | minecraft:crafting_shaped | c:chests/wooden cookingforblockheads:cabinet minecraft:crafting_shaped minecraft:terracotta
cookingforblockheads:connector | minecraft:crafting_shaped | c:stones cookingforblockheads:connector minecraft:crafting_shaped minecraft:terracotta
cookingforblockheads:cooking_table | minecraft:crafting_shaped | c:stones cookingforblockheads:cooking_table cookingforblockheads:crafting_book minecraft:crafting_shaped minecraft:terracotta
cookingforblockheads:counter | minecraft:crafting_shaped | c:chests/wooden c:stones cookingforblockheads:counter minecraft:crafting_shaped minecraft:terracotta
cookingforblockheads:crafting_book | minecraft:crafting_shaped | c:gems/diamond cookingforblockheads:crafting_book cookingforblockheads:recipe_book minecraft:crafting_shaped minecraft:crafting_table
cookingforblockheads:croptopia/toast | cookingforblockheads:toaster | cookingforblockheads:toaster croptopia:toast minecraft:bread
cookingforblockheads:cutting_board | minecraft:crafting_shaped | cookingforblockheads:cutting_board minecraft:crafting_shaped minecraft:iron_axe minecraft:wooden_slabs
cookingforblockheads:cyan_kitchen_floor | minecraft:crafting_shaped | c:dyes/cyan cookingforblockheads:cyan_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:dye_black_cabinet | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_cabinet cookingforblockheads:cabinets minecraft:crafting_shapeless
cookingforblockheads:dye_black_connector | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_connector cookingforblockheads:connectors minecraft:crafting_shapeless
cookingforblockheads:dye_black_cooking_table | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_cooking_table cookingforblockheads:cooking_tables minecraft:crafting_shapeless
cookingforblockheads:dye_black_counter | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_counter cookingforblockheads:counters minecraft:crafting_shapeless
