copperagebackport:copper_button | minecraft:crafting_shaped | copperagebackport:copper_button minecraft:crafting_shaped minecraft:cut_copper
copperagebackport:exposed_copper_button | minecraft:crafting_shaped | copperagebackport:exposed_copper_button minecraft:crafting_shaped minecraft:exposed_cut_copper
copperagebackport:exposed_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:exposed_lightning_rod minecraft:crafting_shapeless minecraft:exposed_lightning_rod neoforge:mod_loaded
copperagebackport:oxidized_copper_button | minecraft:crafting_shaped | copperagebackport:oxidized_copper_button minecraft:crafting_shaped minecraft:oxidized_cut_copper
copperagebackport:oxidized_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:oxidized_lightning_rod minecraft:crafting_shapeless minecraft:oxidized_lightning_rod neoforge:mod_loaded
copperagebackport:waxed_copper_button_from_honeycomb | minecraft:crafting_shapeless | copperagebackport:copper_button copperagebackport:waxed_copper_button minecraft:crafting_shapeless minecraft:honeycomb
copperagebackport:waxed_copper_button_from_waxed_cut_copper | minecraft:crafting_shaped | copperagebackport:waxed_copper_button minecraft:crafting_shaped minecraft:waxed_cut_copper
copperagebackport:waxed_exposed_copper_button_from_honeycomb | minecraft:crafting_shapeless | copperagebackport:exposed_copper_button copperagebackport:waxed_exposed_copper_button minecraft:crafting_shapeless minecraft:honeycomb
copperagebackport:waxed_exposed_copper_button_from_waxed_cut_copper | minecraft:crafting_shaped | copperagebackport:waxed_exposed_copper_button minecraft:crafting_shaped minecraft:waxed_exposed_cut_copper
copperagebackport:waxed_exposed_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:waxed_exposed_lightning_rod minecraft:crafting_shapeless minecraft:waxed_exposed_lightning_rod neoforge:mod_loaded
copperagebackport:waxed_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:waxed_lightning_rod minecraft:crafting_shapeless minecraft:waxed_lightning_rod neoforge:mod_loaded
copperagebackport:waxed_oxidized_copper_button_from_honeycomb | minecraft:crafting_shapeless | copperagebackport:oxidized_copper_button copperagebackport:waxed_oxidized_copper_button minecraft:crafting_shapeless minecraft:honeycomb
copperagebackport:waxed_oxidized_copper_button_from_waxed_cut_copper | minecraft:crafting_shaped | copperagebackport:waxed_oxidized_copper_button minecraft:crafting_shaped minecraft:waxed_oxidized_cut_copper
copperagebackport:waxed_oxidized_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:waxed_oxidized_lightning_rod minecraft:crafting_shapeless minecraft:waxed_oxidized_lightning_rod neoforge:mod_loaded
copperagebackport:waxed_weathered_copper_button_from_honeycomb | minecraft:crafting_shapeless | copperagebackport:waxed_weathered_copper_button copperagebackport:weathered_copper_button minecraft:crafting_shapeless minecraft:honeycomb
copperagebackport:waxed_weathered_copper_button_from_waxed_cut_copper | minecraft:crafting_shaped | copperagebackport:waxed_weathered_copper_button minecraft:crafting_shaped minecraft:waxed_weathered_cut_copper
copperagebackport:waxed_weathered_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:waxed_weathered_lightning_rod minecraft:crafting_shapeless minecraft:waxed_weathered_lightning_rod neoforge:mod_loaded
copperagebackport:weathered_copper_button | minecraft:crafting_shaped | copperagebackport:weathered_copper_button minecraft:crafting_shaped minecraft:weathered_cut_copper
copperagebackport:weathered_lightning_rod_from_friendsandfoes | minecraft:crafting_shapeless | fabric:all_mods_loaded friendsandfoes:weathered_lightning_rod minecraft:crafting_shapeless minecraft:weathered_lightning_rod neoforge:mod_loaded
minecraft:acacia_shelf | minecraft:crafting_shaped | minecraft:acacia_shelf minecraft:crafting_shaped minecraft:stripped_acacia_log
minecraft:bamboo_shelf | minecraft:crafting_shaped | minecraft:bamboo_shelf minecraft:crafting_shaped minecraft:stripped_bamboo_block
minecraft:birch_shelf | minecraft:crafting_shaped | minecraft:birch_shelf minecraft:crafting_shaped minecraft:stripped_birch_log
minecraft:cherry_shelf | minecraft:crafting_shaped | minecraft:cherry_shelf minecraft:crafting_shaped minecraft:stripped_cherry_log
