copycats:crafting/copycat_block_from_slabs | minecraft:crafting_shaped | copycats:copycat_block copycats:copycat_slab copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_box | minecraft:crafting_shaped | copycats:copycat_board copycats:copycat_box copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_catwalk | minecraft:crafting_shaped | copycats:copycat_board copycats:copycat_catwalk copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_cogwheel | minecraft:crafting_shapeless | copycats:copycat_cogwheel copycats:feature_enabled create:cogwheel create:zinc_ingot minecraft:crafting_shapeless
copycats:crafting/copycat_flat_pane_from_conversion | minecraft:crafting_shapeless | copycats:copycat_flat_pane copycats:copycat_pane copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_fluid_pipe | minecraft:crafting_shapeless | copycats:copycat_fluid_pipe copycats:feature_enabled create:fluid_pipe create:zinc_ingot minecraft:crafting_shapeless
copycats:crafting/copycat_folding_door_from_conversion | minecraft:crafting_shapeless | copycats:copycat_folding_door copycats:copycat_sliding_door copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_half_layer_from_conversion | minecraft:crafting_shapeless | copycats:copycat_half_layer copycats:copycat_stacked_half_layer copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_iron_door | minecraft:crafting_shapeless | copycats:copycat_iron_door copycats:feature_enabled create:zinc_ingot minecraft:crafting_shapeless minecraft:iron_door
copycats:crafting/copycat_large_cogwheel | minecraft:crafting_shapeless | copycats:copycat_large_cogwheel copycats:feature_enabled create:large_cogwheel create:zinc_ingot minecraft:crafting_shapeless
copycats:crafting/copycat_layer_from_half_layers | minecraft:crafting_shaped | copycats:copycat_half_layer copycats:copycat_layer copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_pane_from_conversion | minecraft:crafting_shapeless | copycats:copycat_flat_pane copycats:copycat_pane copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_panel_from_conversion | minecraft:crafting_shapeless | copycats:copycat_trapdoor copycats:feature_enabled create:copycat_panel minecraft:crafting_shapeless
copycats:crafting/copycat_panel_from_half_panels | minecraft:crafting_shaped | copycats:copycat_half_panel copycats:feature_enabled create:copycat_panel minecraft:crafting_shaped
