create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:acacia_window_pane | minecraft:crafting_shaped | create:acacia_window create:acacia_window_pane minecraft:crafting_shaped
create:andesite_bars_from_andesite_alloy_stonecutting | minecraft:stonecutting | create:andesite_alloy create:andesite_bars minecraft:stonecutting
create:andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:stone_types/andesite minecraft:andesite minecraft:stonecutting
create:andesite_ladder_from_andesite_alloy_stonecutting | minecraft:stonecutting | create:andesite_alloy create:andesite_ladder minecraft:stonecutting
create:andesite_pillar_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:andesite_pillar create:stone_types/andesite minecraft:stonecutting
create:andesite_scaffolding_from_andesite_alloy_stonecutting | minecraft:stonecutting | create:andesite_alloy create:andesite_scaffolding minecraft:stonecutting
create:andesite_table_cloth_from_andesite_alloy_stonecutting | minecraft:stonecutting | create:andesite_alloy create:andesite_table_cloth minecraft:stonecutting
create:asurine_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:asurine create:stone_types/asurine minecraft:stonecutting
create:asurine_pillar_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:asurine_pillar create:stone_types/asurine minecraft:stonecutting
create:bamboo_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:bamboo_window minecraft:bamboo_planks minecraft:crafting_shaped
create:bamboo_window_pane | minecraft:crafting_shaped | create:bamboo_window create:bamboo_window_pane minecraft:crafting_shaped
create:birch_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:birch_window minecraft:birch_planks minecraft:crafting_shaped
create:birch_window_pane | minecraft:crafting_shaped | create:birch_window create:birch_window_pane minecraft:crafting_shaped
create:blasting/copper_ingot_from_crushed | minecraft:blasting | create:crushed_raw_copper minecraft:blasting minecraft:copper_ingot
create:blasting/gold_ingot_from_crushed | minecraft:blasting | create:crushed_raw_gold minecraft:blasting minecraft:gold_ingot
create:blasting/ingot_aluminium_compat_ic2 | minecraft:blasting | create:crushed_raw_aluminum ic2:ingot_aluminium minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_aluminum_compat_immersiveengineering | minecraft:blasting | create:crushed_raw_aluminum immersiveengineering:ingot_aluminum minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_lead_compat_immersiveengineering | minecraft:blasting | create:crushed_raw_lead immersiveengineering:ingot_lead minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_lead_compat_mekanism | minecraft:blasting | create:crushed_raw_lead mekanism:ingot_lead minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_nickel_compat_immersiveengineering | minecraft:blasting | create:crushed_raw_nickel immersiveengineering:ingot_nickel minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_osmium_compat_mekanism | minecraft:blasting | create:crushed_raw_osmium mekanism:ingot_osmium minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_silver_compat_ic2 | minecraft:blasting | create:crushed_raw_silver ic2:ingot_silver minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_silver_compat_immersiveengineering | minecraft:blasting | create:crushed_raw_silver immersiveengineering:ingot_silver minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_tin_compat_ic2 | minecraft:blasting | create:crushed_raw_tin ic2:ingot_tin minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_tin_compat_mekanism | minecraft:blasting | create:crushed_raw_tin mekanism:ingot_tin minecraft:blasting neoforge:mod_loaded
