aeronautics:adjustable_burner | minecraft:crafting_shaped | aeronautics:adjustable_burner aeronautics:burner_fire create:andesite_alloy create:iron_sheet minecraft:crafting_shaped minecraft:redstone
aeronautics:andesite_propeller | minecraft:crafting_shaped | aeronautics:andesite_propeller create:propeller create:shaft minecraft:crafting_shaped minecraft:wooden_slabs
aeronautics:andesite_propeller_from_andesite | minecraft:crafting_shapeless | aeronautics:andesite_propeller aeronautics:wooden_propeller minecraft:crafting_shapeless
aeronautics:aviators_goggles | minecraft:crafting_shapeless | aeronautics:aviators_goggles c:leathers create:goggles minecraft:crafting_shapeless
aeronautics:black_envelope | minecraft:crafting_shaped | aeronautics:black_envelope minecraft:black_wool minecraft:crafting_shaped minecraft:stick
aeronautics:blue_envelope | minecraft:crafting_shaped | aeronautics:blue_envelope minecraft:blue_wool minecraft:crafting_shaped minecraft:stick
aeronautics:brown_envelope | minecraft:crafting_shaped | aeronautics:brown_envelope minecraft:brown_wool minecraft:crafting_shaped minecraft:stick
aeronautics:crushing/end_stone_powder | create:crushing | aeronautics:end_stone_powder create:crushing minecraft:end_stone
aeronautics:cyan_envelope | minecraft:crafting_shaped | aeronautics:cyan_envelope minecraft:crafting_shaped minecraft:cyan_wool minecraft:stick
aeronautics:deploying/deploying_envelope_black | create:deploying | aeronautics:black_envelope create:deploying minecraft:black_wool minecraft:stick
aeronautics:deploying/deploying_envelope_blue | create:deploying | aeronautics:blue_envelope create:deploying minecraft:blue_wool minecraft:stick
aeronautics:deploying/deploying_envelope_brown | create:deploying | aeronautics:brown_envelope create:deploying minecraft:brown_wool minecraft:stick
aeronautics:deploying/deploying_envelope_cyan | create:deploying | aeronautics:cyan_envelope create:deploying minecraft:cyan_wool minecraft:stick
aeronautics:deploying/deploying_envelope_gray | create:deploying | aeronautics:gray_envelope create:deploying minecraft:gray_wool minecraft:stick
aeronautics:deploying/deploying_envelope_green | create:deploying | aeronautics:green_envelope create:deploying minecraft:green_wool minecraft:stick
aeronautics:deploying/deploying_envelope_light_blue | create:deploying | aeronautics:light_blue_envelope create:deploying minecraft:light_blue_wool minecraft:stick
aeronautics:deploying/deploying_envelope_light_gray | create:deploying | aeronautics:light_gray_envelope create:deploying minecraft:light_gray_wool minecraft:stick
aeronautics:deploying/deploying_envelope_lime | create:deploying | aeronautics:lime_envelope create:deploying minecraft:lime_wool minecraft:stick
aeronautics:deploying/deploying_envelope_magenta | create:deploying | aeronautics:magenta_envelope create:deploying minecraft:magenta_wool minecraft:stick
aeronautics:deploying/deploying_envelope_orange | create:deploying | aeronautics:orange_envelope create:deploying minecraft:orange_wool minecraft:stick
aeronautics:deploying/deploying_envelope_pink | create:deploying | aeronautics:pink_envelope create:deploying minecraft:pink_wool minecraft:stick
aeronautics:deploying/deploying_envelope_purple | create:deploying | aeronautics:purple_envelope create:deploying minecraft:purple_wool minecraft:stick
aeronautics:deploying/deploying_envelope_red | create:deploying | aeronautics:red_envelope create:deploying minecraft:red_wool minecraft:stick
aeronautics:deploying/deploying_envelope_white | create:deploying | aeronautics:white_envelope create:deploying minecraft:stick minecraft:white_wool
aeronautics:deploying/deploying_envelope_yellow | create:deploying | aeronautics:yellow_envelope create:deploying minecraft:stick minecraft:yellow_wool
aeronautics:gray_envelope | minecraft:crafting_shaped | aeronautics:gray_envelope minecraft:crafting_shaped minecraft:gray_wool minecraft:stick
aeronautics:green_envelope | minecraft:crafting_shaped | aeronautics:green_envelope minecraft:crafting_shaped minecraft:green_wool minecraft:stick
aeronautics:gyroscopic_propeller_bearing | minecraft:crafting_shaped | aeronautics:gyroscopic_propeller_bearing create:brass_casing minecraft:crafting_shaped minecraft:wooden_slabs simulated:gyroscopic_mechanism
aeronautics:light_blue_envelope | minecraft:crafting_shaped | aeronautics:light_blue_envelope minecraft:crafting_shaped minecraft:light_blue_wool minecraft:stick
aeronautics:light_gray_envelope | minecraft:crafting_shaped | aeronautics:light_gray_envelope minecraft:crafting_shaped minecraft:light_gray_wool minecraft:stick
aeronautics:lime_envelope | minecraft:crafting_shaped | aeronautics:lime_envelope minecraft:crafting_shaped minecraft:lime_wool minecraft:stick
aeronautics:magenta_envelope | minecraft:crafting_shaped | aeronautics:magenta_envelope minecraft:crafting_shaped minecraft:magenta_wool minecraft:stick
aeronautics:mechanical_crafting/mounted_potato_cannon | create:mechanical_crafting | aeronautics:mounted_potato_cannon create:cogwheel create:copper_sheet create:fluid_pipe create:mechanical_crafting minecraft:dried_kelp_block minecraft:redstone
aeronautics:mixing/levitite_blend | create:mixing | aeronautics:end_stone_powder aeronautics:levitite_blend c:water create:mixing create:zinc_nugget neoforge:tag
aeronautics:orange_envelope | minecraft:crafting_shaped | aeronautics:orange_envelope minecraft:crafting_shaped minecraft:orange_wool minecraft:stick
aeronautics:pink_envelope | minecraft:crafting_shaped | aeronautics:pink_envelope minecraft:crafting_shaped minecraft:pink_wool minecraft:stick
aeronautics:propeller_bearing | minecraft:crafting_shaped | aeronautics:propeller_bearing create:brass_casing create:iron_sheet minecraft:crafting_shaped minecraft:wooden_slabs
aeronautics:purple_envelope | minecraft:crafting_shaped | aeronautics:purple_envelope minecraft:crafting_shaped minecraft:purple_wool minecraft:stick
aeronautics:red_envelope | minecraft:crafting_shaped | aeronautics:red_envelope minecraft:crafting_shaped minecraft:red_wool minecraft:stick
aeronautics:smart_propeller | minecraft:crafting_shaped | aeronautics:smart_propeller create:brass_casing create:propeller minecraft:crafting_shaped simulated:gyroscopic_mechanism
aeronautics:splashing/envelope_washing | create:splashing | aeronautics:shaftless_envelope aeronautics:white_envelope create:splashing
aeronautics:steam_vent | minecraft:crafting_shaped | aeronautics:steam_vent c:plates/gold minecraft:copper_block minecraft:crafting_shaped
aeronautics:white_envelope | minecraft:crafting_shaped | aeronautics:white_envelope minecraft:crafting_shaped minecraft:stick minecraft:white_wool
aeronautics:wooden_propeller_from_andesite | minecraft:crafting_shapeless | aeronautics:andesite_propeller aeronautics:wooden_propeller minecraft:crafting_shapeless
aeronautics:yellow_envelope | minecraft:crafting_shaped | aeronautics:yellow_envelope minecraft:crafting_shaped minecraft:stick minecraft:yellow_wool
create:white_sail | minecraft:crafting_shapeless | create:white_sail minecraft:crafting_shapeless simulated:white_symmetric_sail
offroad:borehead_bearing | minecraft:crafting_shaped | create:gearbox create:industrial_iron_block minecraft:crafting_shaped minecraft:wooden_slabs offroad:borehead_bearing
offroad:large_tire | minecraft:crafting_shaped | create:belt_connector create:shaft minecraft:crafting_shaped offroad:large_tire
offroad:monstrous_tire | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped minecraft:dried_kelp_block offroad:monstrous_tire
offroad:rockcutting_wheel | minecraft:crafting_shaped | create:crushing_wheel create:industrial_iron_block create:iron_sheet minecraft:crafting_shaped offroad:rockcutting_wheel
offroad:small_tire | minecraft:crafting_shapeless | create:shaft minecraft:crafting_shapeless minecraft:dried_kelp offroad:small_tire
offroad:tire | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped minecraft:dried_kelp offroad:tire
offroad:wheel_mount | minecraft:crafting_shaped | create:andesite_casing create:iron_sheet minecraft:crafting_shaped offroad:wheel_mount simulated:spring
simulated:altitude_sensor | minecraft:crafting_shaped | create:andesite_casing create:iron_sheet minecraft:crafting_shaped minecraft:paper simulated:altitude_sensor
simulated:analog_transmission | minecraft:crafting_shapeless | create:brass_casing create:cogwheel create:electron_tube create:shaft minecraft:crafting_shapeless simulated:analog_transmission
simulated:auger_cog_from_auger_shaft | minecraft:crafting_shapeless | minecraft:crafting_shapeless simulated:auger_cog simulated:auger_shaft
simulated:auger_shaft | minecraft:crafting_shapeless | create:chute create:iron_sheet create:shaft minecraft:crafting_shapeless simulated:auger_shaft
simulated:auger_shaft_from_auger_cogwheel | minecraft:crafting_shapeless | minecraft:crafting_shapeless simulated:auger_cog simulated:auger_shaft
simulated:black_handle | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless simulated:black_handle simulated:iron_handle
simulated:blue_handle | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless simulated:blue_handle simulated:iron_handle
simulated:brown_handle | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless simulated:brown_handle simulated:iron_handle
simulated:contraption_diagram | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:paper simulated:contraption_diagram simulated:physics_assembler
simulated:copper_handle | minecraft:crafting_shapeless | create:copper_nugget minecraft:crafting_shapeless simulated:copper_handle simulated:iron_handle
simulated:crafting/black_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless simulated:black_nameplate simulated:nameplate_items
simulated:crafting/blue_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/blue minecraft:crafting_shapeless simulated:blue_nameplate simulated:nameplate_items
simulated:crafting/brown_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless simulated:brown_nameplate simulated:nameplate_items
simulated:crafting/cyan_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless simulated:cyan_nameplate simulated:nameplate_items
simulated:crafting/gray_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless simulated:gray_nameplate simulated:nameplate_items
simulated:crafting/green_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless simulated:green_nameplate simulated:nameplate_items
simulated:crafting/light_blue_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless simulated:light_blue_nameplate simulated:nameplate_items
simulated:crafting/light_gray_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless simulated:light_gray_nameplate simulated:nameplate_items
simulated:crafting/lime_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless simulated:lime_nameplate simulated:nameplate_items
simulated:crafting/magenta_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/magenta minecraft:crafting_shapeless simulated:magenta_nameplate simulated:nameplate_items
simulated:crafting/orange_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/orange minecraft:crafting_shapeless simulated:nameplate_items simulated:orange_nameplate
simulated:crafting/pink_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless simulated:nameplate_items simulated:pink_nameplate
simulated:crafting/portable_engine_dyeing | simulated:portable_engine_dyeing | simulated:portable_engine_dyeing
simulated:crafting/purple_nameplate_from_other_nameplate | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless simulated:nameplate_items simulated:purple_nameplate
