create_confectionery:bar_of_black_chocolate_recipe | create:compacting | create:compacting create_confectionery:bar_of_black_chocolate create_confectionery:black_chocolate
create_confectionery:bar_of_caramel_recipe | create:compacting | create:compacting create_confectionery:bar_of_caramel create_confectionery:caramel
create_confectionery:bar_of_ruby_chocolate_recipe | create:compacting | create:compacting create_confectionery:bar_of_ruby_chocolate create_confectionery:ruby_chocolate
create_confectionery:bar_of_white_chocolate_recipe | create:compacting | create:compacting create_confectionery:bar_of_white_chocolate create_confectionery:white_chocolate
create_confectionery:black_chocolate_bricks_recipe | minecraft:crafting_shaped | create_confectionery:bar_of_black_chocolate create_confectionery:black_chocolate_bricks minecraft:crafting_shaped
create_confectionery:black_chocolate_bricks_slab_recipe_1 | minecraft:crafting_shaped | create_confectionery:black_chocolate_bricks create_confectionery:black_chocolate_bricks_slab minecraft:crafting_shaped
create_confectionery:black_chocolate_bricks_slab_recipe_2 | minecraft:stonecutting | create_confectionery:black_chocolate_bricks create_confectionery:black_chocolate_bricks_slab minecraft:stonecutting
create_confectionery:black_chocolate_bricks_stairs_recipe_1 | minecraft:crafting_shaped | create_confectionery:black_chocolate_bricks create_confectionery:black_chocolate_bricks_stairs minecraft:crafting_shaped
create_confectionery:black_chocolate_bricks_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:black_chocolate_bricks create_confectionery:black_chocolate_bricks_stairs minecraft:stonecutting
create_confectionery:black_chocolate_candy_1_recipe | create:filling | create:bar_of_chocolate create:filling create_confectionery:black_chocolate create_confectionery:black_chocolate_candy_1
create_confectionery:black_chocolate_candy_2_recipe | create:filling | create:filling create_confectionery:bar_of_white_chocolate create_confectionery:black_chocolate create_confectionery:black_chocolate_candy_2
create_confectionery:black_chocolate_candy_3_recipe | create:filling | create:filling create_confectionery:bar_of_ruby_chocolate create_confectionery:black_chocolate create_confectionery:black_chocolate_candy_3
create_confectionery:black_chocolate_candy_recipe | create:filling | create:filling create_confectionery:bar_of_caramel create_confectionery:black_chocolate create_confectionery:black_chocolate_candy
create_confectionery:black_chocolate_emptying | create:emptying | create:emptying create_confectionery:black_chocolate create_confectionery:black_chocolate_bucket minecraft:bucket
create_confectionery:black_chocolate_glazed_berries_recipe | create:filling | create:filling create_confectionery:black_chocolate create_confectionery:black_chocolate_glazed_berries minecraft:sweet_berries
create_confectionery:black_chocolate_glazed_marshmallow_recipe | create:filling | create:filling create_confectionery:black_chocolate create_confectionery:black_chocolate_glazed_marshmallow create_confectionery:marshmallow
create_confectionery:black_chocolate_recipe | create:mixing | c:milk create:mixing create_confectionery:black_chocolate create_confectionery:cocoa_butter minecraft:cocoa_beans minecraft:sugar
create_confectionery:black_chocolate_recipe_2 | create:mixing | create:mixing create_confectionery:bar_of_black_chocolate create_confectionery:black_chocolate
create_confectionery:black_chocolate_recipe_3 | create:mixing | create:mixing create_confectionery:black_chocolate create_confectionery:black_chocolate_bricks
create_confectionery:black_chocolate_recipe_4 | create:mixing | create:mixing create_confectionery:black_chocolate create_confectionery:black_chocolate_bricks_stairs
create_confectionery:black_chocolate_recipe_5 | create:mixing | create:mixing create_confectionery:black_chocolate create_confectionery:black_chocolate_bricks_slab
create_confectionery:candy_cane_axe_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_axe minecraft:crafting_shaped
create_confectionery:candy_cane_block_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_block minecraft:crafting_shaped
create_confectionery:candy_cane_hoe_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_hoe minecraft:crafting_shaped
create_confectionery:candy_cane_pickaxe_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_pickaxe minecraft:crafting_shaped
create_confectionery:candy_cane_recipe | create:mixing | create:mixing create:potion create_confectionery:candy_cane minecraft:mundane minecraft:slime_ball minecraft:sugar minecraft:water
create_confectionery:candy_cane_recipe_2 | minecraft:crafting_shapeless | create_confectionery:candy_cane create_confectionery:candy_cane_block minecraft:crafting_shapeless
create_confectionery:candy_cane_shovel_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_shovel minecraft:crafting_shaped
create_confectionery:candy_cane_sword_recipe | minecraft:crafting_shaped | create_confectionery:candy_cane create_confectionery:candy_cane_sword minecraft:crafting_shaped
create_confectionery:caramel_bricks_recipe | minecraft:crafting_shaped | create_confectionery:bar_of_caramel create_confectionery:caramel_bricks minecraft:crafting_shaped
create_confectionery:caramel_bricks_slab_recipe_1 | minecraft:crafting_shaped | create_confectionery:caramel_bricks create_confectionery:caramel_bricks_slab minecraft:crafting_shaped
create_confectionery:caramel_bricks_slab_recipe_2 | minecraft:stonecutting | create_confectionery:caramel_bricks create_confectionery:caramel_bricks_slab minecraft:stonecutting
create_confectionery:caramel_bricks_stairs_recipe | minecraft:crafting_shaped | create_confectionery:caramel_bricks create_confectionery:caramel_bricks_stairs minecraft:crafting_shaped
create_confectionery:caramel_bricks_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:caramel_bricks create_confectionery:caramel_bricks_stairs minecraft:stonecutting
create_confectionery:caramel_emptying | create:emptying | create:emptying create_confectionery:caramel create_confectionery:caramel_bucket minecraft:bucket
create_confectionery:caramel_glazed_berries_recipe | create:filling | create:filling create_confectionery:caramel create_confectionery:caramel_glazed_berries minecraft:sweet_berries
create_confectionery:caramel_recipe | create:mixing | create:mixing create_confectionery:caramel minecraft:sugar minecraft:water
create_confectionery:caramel_recipe_2 | create:mixing | create:mixing create_confectionery:bar_of_caramel create_confectionery:caramel
create_confectionery:caramelized_marshmellow_recipe | minecraft:campfire_cooking | create_confectionery:caramelized_marshmellow_on_a_stick create_confectionery:marshmallow_on_a_stick minecraft:campfire_cooking
create_confectionery:caramelized_marshmellow_recipe_2 | minecraft:smoking | create_confectionery:caramelized_marshmellow_on_a_stick create_confectionery:marshmallow_on_a_stick minecraft:smoking
create_confectionery:chocolate_bricks_recipe | minecraft:crafting_shaped | create:bar_of_chocolate create_confectionery:chocolate_bricks minecraft:crafting_shaped
create_confectionery:chocolate_bricks_slab_recipe_1 | minecraft:crafting_shaped | create_confectionery:chocolate_bricks create_confectionery:chocolate_bricks_slab minecraft:crafting_shaped
create_confectionery:chocolate_bricks_slab_recipe_2 | minecraft:stonecutting | create_confectionery:chocolate_bricks create_confectionery:chocolate_bricks_slab minecraft:stonecutting
create_confectionery:chocolate_bricks_stairs_recipe_1 | minecraft:crafting_shaped | create_confectionery:chocolate_bricks create_confectionery:chocolate_bricks_stairs minecraft:crafting_shaped
create_confectionery:chocolate_bricks_stairs_recipe_2 | minecraft:stonecutting | create_confectionery:chocolate_bricks create_confectionery:chocolate_bricks_stairs minecraft:stonecutting
create_confectionery:chocolate_candy_1_recipe | create:filling | create:chocolate create:filling create_confectionery:bar_of_white_chocolate create_confectionery:chocolate_candy_1
create_confectionery:chocolate_candy_2_recipe | create:filling | create:chocolate create:filling create_confectionery:bar_of_black_chocolate create_confectionery:chocolate_candy_2
create_confectionery:chocolate_candy_3_recipe | create:filling | create:chocolate create:filling create_confectionery:bar_of_ruby_chocolate create_confectionery:chocolate_candy_3
create_confectionery:chocolate_candy_recipe | create:filling | create:chocolate create:filling create_confectionery:bar_of_caramel create_confectionery:chocolate_candy
create_confectionery:chocolate_glazed_marshmallow_recipe | create:filling | create:filling create_confectionery:black_chocolate create_confectionery:black_chocolate_glazed_marshmallow create_confectionery:marshmallow
