create_enchantment_industry:compacting/experience_block | create:compacting | create:compacting create:experience_block create_enchantment_industry:experience
create_enchantment_industry:compacting/experience_cake_base | create:compacting | c:eggs create:compacting create_enchantment_industry:experience_cake_base minecraft:lapis_lazuli minecraft:sugar
create_enchantment_industry:compacting/infested_stone | create:compacting | create:compacting create:experience_nugget minecraft:infested_stone minecraft:stone_bricks
create_enchantment_industry:crafting/experience_lantern | minecraft:crafting_shaped | create:copper_casing create:experience_block create_enchantment_industry:experience_lantern minecraft:crafting_shaped minecraft:sponge
create_enchantment_industry:crafting/mechanical_grindstone | minecraft:crafting_shaped | create:andesite_alloy create:shaft create_enchantment_industry:mechanical_grindstone minecraft:crafting_shaped
create_enchantment_industry:crafting/printer | minecraft:crafting_shaped | c:plates/brass c:storage_blocks/iron create:spout create_enchantment_industry:printer minecraft:crafting_shaped
create_enchantment_industry:crafting/super_experience_block | minecraft:crafting_shaped | create_enchantment_industry:super_experience_block create_enchantment_industry:super_experience_nugget minecraft:crafting_shaped
create_enchantment_industry:crafting/super_experience_nugget | minecraft:crafting_shapeless | create_enchantment_industry:super_experience_block create_enchantment_industry:super_experience_nugget minecraft:crafting_shapeless
create_enchantment_industry:crushing/infested_cobblestone | create:crushing | create:crushing create:experience_nugget minecraft:gravel minecraft:infested_cobblestone
create_enchantment_industry:cutting/experience_cake_slice | create:cutting | create:cutting create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_slice
create_enchantment_industry:cutting/farmersdelight/experience_cake_slice | farmersdelight:cutting | c:tools/knife create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_slice farmersdelight:cutting neoforge:mod_loaded
create_enchantment_industry:emptying/experience_bottle | create:emptying | create:emptying create_enchantment_industry:experience minecraft:experience_bottle minecraft:glass_bottle
create_enchantment_industry:emptying/mysticalagriculture/experience_droplet | create:emptying | create:emptying create_enchantment_industry:experience mysticalagriculture:experience_droplet neoforge:mod_loaded
create_enchantment_industry:filling/experience_bottle | create:filling | create:filling create_enchantment_industry:experience minecraft:experience_bottle minecraft:glass_bottle
create_enchantment_industry:filling/experience_cake | create:filling | create:filling create_enchantment_industry:experience create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_base
create_enchantment_industry:grinding/ars_nouveau/experience_gem | create_enchantment_industry:grinding | ars_nouveau:experience_gem create_enchantment_industry:experience create_enchantment_industry:grinding neoforge:mod_loaded
create_enchantment_industry:grinding/ars_nouveau/greater_experience_gem | create_enchantment_industry:grinding | ars_nouveau:greater_experience_gem create_enchantment_industry:experience create_enchantment_industry:grinding neoforge:mod_loaded
create_enchantment_industry:grinding/create_sa/heap_of_experience | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_sa:heap_of_experience neoforge:mod_loaded
create_enchantment_industry:grinding/experience_block | create_enchantment_industry:grinding | create:experience_block create_enchantment_industry:experience create_enchantment_industry:grinding minecraft:book_page_turn
create_enchantment_industry:grinding/experience_nugget | create_enchantment_industry:grinding | create:experience_nugget create_enchantment_industry:experience create_enchantment_industry:grinding
create_enchantment_industry:grinding/super_experience_block | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_enchantment_industry:super_experience_block
create_enchantment_industry:grinding/super_experience_nugget | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_enchantment_industry:super_experience_nugget
create_enchantment_industry:item_application/experience_hatch | create:item_application | create:experience_block create:item_application create_dragons_plus:fluid_hatch create_enchantment_industry:experience_hatch
create_enchantment_industry:pressing/enchanting_template | create:pressing | create:experience_block create:pressing create_enchantment_industry:enchanting_template
create_enchantment_industry:pressing/super_enchanting_template | create:pressing | create:pressing create_enchantment_industry:super_enchanting_template create_enchantment_industry:super_experience_block
create_enchantment_industry:smithing/blaze_enchanter | minecraft:smithing_transform | create:blaze_burner create_dragons_plus:blaze_upgrade_smithing_template create_enchantment_industry:blaze_enchanter minecraft:enchanting_table minecraft:smithing_transform
create_enchantment_industry:smithing/blaze_forger | minecraft:smithing_transform | create:blaze_burner create_dragons_plus:blaze_upgrade_smithing_template create_enchantment_industry:blaze_forger minecraft:anvil minecraft:smithing_transform
