create_enchantment_industry:compacting/experience_block | create:compacting | create:compacting create:experience_block create_enchantment_industry:experience neoforge:single
create_enchantment_industry:compacting/experience_cake_base | create:compacting | c:eggs create:compacting create_enchantment_industry:experience_cake_base minecraft:lapis_lazuli minecraft:sugar
create_enchantment_industry:compacting/infested_stone | create:compacting | create:compacting create:experience_nugget minecraft:infested_stone minecraft:stone_bricks
create_enchantment_industry:crafting/affix_augmentor | minecraft:crafting_shaped | apotheosis:mythic_material create:brass_sheet create:nixie_tube create_enchantment_industry:affix_augmentor minecraft:amethyst_shard minecraft:crafting_shaped minecraft:nether_star neoforge:mod_loaded
create_enchantment_industry:crafting/blazes_enchanting_handbook | minecraft:crafting_shapeless | create:sturdy_sheet create_dragons_plus:blaze_upgrade_smithing_template create_dragons_plus:config_feature create_enchantment_industry:blazes_enchanting_handbook create_enchantment_industry:processing/classic_blaze_enchanter minecraft:crafting_shapeless minecraft:experience_bottle minecraft:magma_block
create_enchantment_industry:crafting/ender_woven_bag | minecraft:crafting_shaped | apothic_enchanting:ender_lead create:brass_casing create:precision_mechanism create:rose_quartz_lamp create_enchantment_industry:ender_woven_bag minecraft:crafting_shaped neoforge:mod_loaded
create_enchantment_industry:crafting/experience_lantern | minecraft:crafting_shaped | create:copper_casing create:experience_block create_enchantment_industry:experience_lantern minecraft:crafting_shaped minecraft:sponge
create_enchantment_industry:crafting/gem_cutter | minecraft:crafting_shaped | apotheosis:gem_dust create:brass_ingot create_enchantment_industry:gem_cutter minecraft:amethyst_shard minecraft:crafting_shaped neoforge:mod_loaded
create_enchantment_industry:crafting/infuser | minecraft:crafting_shaped | create:brass_sheet create:nixie_tube create:spout create_enchantment_industry:infuser minecraft:crafting_shaped neoforge:mod_loaded
create_enchantment_industry:crafting/mechanical_grindstone | minecraft:crafting_shaped | create:andesite_alloy create:shaft create_enchantment_industry:mechanical_grindstone minecraft:crafting_shaped
create_enchantment_industry:crafting/printer | minecraft:crafting_shaped | c:plates/brass c:storage_blocks/iron create:spout create_enchantment_industry:printer minecraft:crafting_shaped
