create_new_age:compacting/blank_circuit | create:compacting | c:dusts/redstone c:ingots/iron c:stones create:compacting create_new_age:blank_circuit minecraft:quartz
create_new_age:crushing/radioactive_thorium | create:crushing | create:crushing create:experience_nugget create_new_age:radioactive_thorium create_new_age:thorium minecraft:iron_nugget
create_new_age:cutting/copper_wire | create:cutting | c:plates/copper create:cutting create_new_age:copper_wire
create_new_age:cutting/overcharged_golden_wire | create:cutting | create:cutting create_new_age:overcharged_golden_sheet create_new_age:overcharged_golden_wire
create_new_age:cutting/overcharged_iron_wire | create:cutting | create:cutting create_new_age:overcharged_iron_sheet create_new_age:overcharged_iron_wire
create_new_age:deploying/copper_circuit | create:deploying | create:deploying create_new_age:blank_circuit create_new_age:copper_circuit create_new_age:copper_wire
create_new_age:energising/experience_bottle | create_new_age:energising | create_new_age:energising minecraft:experience_bottle minecraft:glass_bottle
create_new_age:energising/overcharged_diamond | create_new_age:energising | c:gems/diamond create_new_age:energising create_new_age:overcharged_diamond
create_new_age:energising/overcharged_gold | create_new_age:energising | c:ingots/gold create_new_age:energising create_new_age:overcharged_gold
create_new_age:energising/overcharged_golden_sheet | create_new_age:energising | c:plates/gold create_new_age:energising create_new_age:overcharged_golden_sheet
create_new_age:energising/overcharged_iron | create_new_age:energising | c:ingots/iron create_new_age:energising create_new_age:overcharged_iron
create_new_age:energising/overcharged_iron_sheet | create_new_age:energising | c:plates/iron create_new_age:energising create_new_age:overcharged_iron_sheet
create_new_age:mechanical_crafting/advanced_motor_extension | create:mechanical_crafting | create:mechanical_crafting create_new_age:advanced_motor_extension create_new_age:copper_circuit create_new_age:overcharged_diamond create_new_age:overcharged_iron_sheet create_new_age:reinforced_motor
create_new_age:mechanical_crafting/reactor_rod | create:mechanical_crafting | c:plates/gold create:mechanical_crafting create_new_age:nuclear_fuel create_new_age:reactor_casing create_new_age:reactor_glass create_new_age:reactor_rod
create_new_age:mechanical_crafting/reinforced_motor | create:mechanical_crafting | c:gems/diamond c:plates/iron c:storage_blocks/redstone create:brass_casing create:mechanical_crafting create:shaft create_new_age:overcharged_diamond create_new_age:reinforced_motor
create_new_age:mixing/thorium | create:mixing | c:stones create:mixing create_new_age:thorium minecraft:clay minecraft:water neoforge:single
create_new_age:pressing/overcharged_golden_sheet | create:pressing | create:pressing create_new_age:overcharged_gold create_new_age:overcharged_golden_sheet
create_new_age:pressing/overcharged_iron_sheet | create:pressing | create:pressing create_new_age:overcharged_iron create_new_age:overcharged_iron_sheet
create_new_age:sequenced_assembly/enchanted_golden_apple | create:sequenced_assembly | c:storage_blocks/gold create:deploying create:sequenced_assembly create_new_age:energising create_new_age:incomplete_enchanted_golden_apple minecraft:apple minecraft:enchanted_golden_apple
create_new_age:sequenced_assembly/nuclear_fuel | create:sequenced_assembly | c:plates/iron create:deploying create:pressing create:sequenced_assembly create_new_age:incomplete_fuel create_new_age:nuclear_fuel create_new_age:radioactive_thorium
create_new_age:sequenced_assembly/overcharged_diamond_wire | create:sequenced_assembly | create:cutting create:sequenced_assembly create_new_age:energising create_new_age:incomplete_wire create_new_age:overcharged_diamond create_new_age:overcharged_diamond_wire
create_new_age:sequenced_assembly/reactor_casing | create:sequenced_assembly | c:plates/iron create:deploying create:pressing create:sequenced_assembly create_new_age:energising create_new_age:incomplete_reactor_casing create_new_age:reactor_casing minecraft:bricks
create_new_age:shaped/advanced_energiser | minecraft:crafting_shaped | create_new_age:advanced_energiser create_new_age:basic_energiser create_new_age:overcharged_gold minecraft:crafting_shaped minecraft:lightning_rod
create_new_age:shaped/advanced_motor | minecraft:crafting_shaped | c:nuggets/gold create:brass_casing create:shaft create_new_age:advanced_motor create_new_age:overcharged_iron minecraft:crafting_shaped
