create_sa:andesite_exoskeleton_recipe | create:mechanical_crafting | c:ingots/zinc c:stones create:andesite_alloy create:belt_connector create:mechanical_crafting create:shaft create_sa:andesite_exoskeleton_chestplate create_sa:heat_engine
create_sa:andesite_jetpack_recipe | create:mechanical_crafting | c:ingots/zinc create:andesite_alloy create:belt_connector create:cogwheel create:encased_fan create:mechanical_crafting create_sa:andesite_jetpack_chestplate create_sa:heat_engine
create_sa:blazing_axe_recipe | create:mixing | create:mixing create:powdered_obsidian create_sa:blazing_axe minecraft:golden_axe
create_sa:blazing_pickaxe_recipe | create:mixing | create:mixing create:powdered_obsidian create_sa:blazing_pickaxe minecraft:golden_pickaxe
create_sa:blazing_shovel_recipe | create:mixing | create:mixing create:powdered_obsidian create_sa:blazing_shovel minecraft:golden_shovel
create_sa:blazing_sword_recipe | create:mixing | create:mixing create:powdered_obsidian create_sa:blazing_cleaver minecraft:golden_sword
create_sa:block_picker_recipe | minecraft:crafting_shaped | c:ingots/copper create:cogwheel create_sa:block_picker create_sa:copper_magnet create_sa:hydraulic_engine minecraft:crafting_shaped
create_sa:book_and_quill_haunting | create:haunting | create:haunting minecraft:name_tag minecraft:writable_book
create_sa:brain_tube_coral_revive | create:filling | create:filling create:potion minecraft:brain_coral_block minecraft:dead_brain_coral_block minecraft:healing
create_sa:brass_axe_recipe | minecraft:crafting_shaped | c:ingots/brass c:rods/wooden create_sa:brass_axe minecraft:crafting_shaped
create_sa:brass_boots_recipe | minecraft:crafting_shaped | c:ingots/brass create_sa:brass_boots minecraft:crafting_shaped
create_sa:brass_chestplate_recipe | minecraft:crafting_shaped | c:ingots/brass create_sa:brass_chestplate minecraft:crafting_shaped
create_sa:brass_cube_recipe | minecraft:crafting_shaped | c:ingots/brass create_sa:brass_cube minecraft:crafting_shaped minecraft:netherite_ingot
create_sa:brass_drill_head_recipe | minecraft:crafting_shaped | c:ingots/brass create:andesite_alloy create_sa:brass_drill_head create_sa:brass_pickaxe minecraft:crafting_shaped
create_sa:brass_drone_recipe | create:mechanical_crafting | create:andesite_alloy create:mechanical_crafting create:precision_mechanism create:propeller create:redstone_link create_sa:brass_drone_item
