create_compressed:belt | minecraft:crafting_shapeless | create:belt_connector create_compressed:belt_block minecraft:crafting_shapeless
create_compressed:belt_block | minecraft:crafting_shaped | create:belt_connector create_compressed:belt_block minecraft:crafting_shaped
create_compressed:brass_sheet | minecraft:crafting_shapeless | create:brass_sheet create_compressed:brass_sheet_block minecraft:crafting_shapeless
create_compressed:brass_sheet_block | minecraft:crafting_shaped | create:brass_sheet create_compressed:brass_sheet_block minecraft:crafting_shaped
create_compressed:cinder_flour | minecraft:crafting_shapeless | create:cinder_flour create_compressed:cinder_flour_pile minecraft:crafting_shapeless
create_compressed:cinder_flour_pile | minecraft:crafting_shaped | create:cinder_flour create_compressed:cinder_flour_pile minecraft:crafting_shaped
create_compressed:cogwheel | minecraft:crafting_shapeless | create:cogwheel create_compressed:cogwheel_block minecraft:crafting_shapeless
create_compressed:cogwheel_block | minecraft:crafting_shaped | create:cogwheel create_compressed:cogwheel_block minecraft:crafting_shaped
create_compressed:copper_sheet | minecraft:crafting_shapeless | create:copper_sheet create_compressed:copper_sheet_block minecraft:crafting_shapeless
create_compressed:copper_sheet_block | minecraft:crafting_shaped | create:copper_sheet create_compressed:copper_sheet_block minecraft:crafting_shaped
create_compressed:crushed_raw_aluminum | minecraft:crafting_shapeless | create:crushed_raw_aluminum create_compressed:crushed_aluminum_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_aluminum_pile | minecraft:crafting_shaped | create:crushed_raw_aluminum create_compressed:crushed_aluminum_pile minecraft:crafting_shaped
create_compressed:crushed_raw_copper | minecraft:crafting_shapeless | create:crushed_raw_copper create_compressed:crushed_copper_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_copper_pile | minecraft:crafting_shaped | create:crushed_raw_copper create_compressed:crushed_copper_pile minecraft:crafting_shaped
create_compressed:crushed_raw_gold | minecraft:crafting_shapeless | create:crushed_raw_gold create_compressed:crushed_gold_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_gold_pile | minecraft:crafting_shaped | create:crushed_raw_gold create_compressed:crushed_gold_pile minecraft:crafting_shaped
create_compressed:crushed_raw_iron | minecraft:crafting_shapeless | create:crushed_raw_iron create_compressed:crushed_iron_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_iron_pile | minecraft:crafting_shaped | create:crushed_raw_iron create_compressed:crushed_iron_pile minecraft:crafting_shaped
create_compressed:crushed_raw_lead | minecraft:crafting_shapeless | create:crushed_raw_lead create_compressed:crushed_lead_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_lead_pile | minecraft:crafting_shaped | create:crushed_raw_lead create_compressed:crushed_lead_pile minecraft:crafting_shaped
create_compressed:crushed_raw_nickel | minecraft:crafting_shapeless | create:crushed_raw_nickel create_compressed:crushed_nickel_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_nickel_pile | minecraft:crafting_shaped | create:crushed_raw_nickel create_compressed:crushed_nickel_pile minecraft:crafting_shaped
create_compressed:crushed_raw_osmium | minecraft:crafting_shapeless | create:crushed_raw_osmium create_compressed:crushed_osmium_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_osmium_pile | minecraft:crafting_shaped | create:crushed_raw_osmium create_compressed:crushed_osmium_pile minecraft:crafting_shaped
create_compressed:crushed_raw_platinum | minecraft:crafting_shapeless | create:crushed_raw_platinum create_compressed:crushed_platinum_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_platinum_pile | minecraft:crafting_shaped | create:crushed_raw_platinum create_compressed:crushed_platinum_pile minecraft:crafting_shaped
create_compressed:crushed_raw_quicksilver | minecraft:crafting_shapeless | create:crushed_raw_quicksilver create_compressed:crushed_quicksilver_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_quicksilver_pile | minecraft:crafting_shaped | create:crushed_raw_quicksilver create_compressed:crushed_quicksilver_pile minecraft:crafting_shaped
create_compressed:crushed_raw_silver | minecraft:crafting_shapeless | create:crushed_raw_silver create_compressed:crushed_silver_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_silver_pile | minecraft:crafting_shaped | create:crushed_raw_silver create_compressed:crushed_silver_pile minecraft:crafting_shaped
create_compressed:crushed_raw_tin | minecraft:crafting_shapeless | create:crushed_raw_tin create_compressed:crushed_tin_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_tin_pile | minecraft:crafting_shaped | create:crushed_raw_tin create_compressed:crushed_tin_pile minecraft:crafting_shaped
create_compressed:crushed_raw_uranium | minecraft:crafting_shapeless | create:crushed_raw_uranium create_compressed:crushed_uranium_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_uranium_pile | minecraft:crafting_shaped | create:crushed_raw_uranium create_compressed:crushed_uranium_pile minecraft:crafting_shaped
create_compressed:crushed_raw_zinc | minecraft:crafting_shapeless | create:crushed_raw_zinc create_compressed:crushed_zinc_pile minecraft:crafting_shapeless
create_compressed:crushed_raw_zinc_pile | minecraft:crafting_shaped | create:crushed_raw_zinc create_compressed:crushed_zinc_pile minecraft:crafting_shaped
create_compressed:dough | minecraft:crafting_shapeless | create:dough create_compressed:dough_block minecraft:crafting_shapeless
create_compressed:dough_block | minecraft:crafting_shaped | create:dough create_compressed:dough_block minecraft:crafting_shaped
create_compressed:dough_block_from_flour | minecraft:crafting_shapeless | create_compressed:dough_block create_compressed:water create_compressed:wheat_flour_pile minecraft:crafting_shapeless
create_compressed:gold_sheet | minecraft:crafting_shapeless | create:golden_sheet create_compressed:gold_sheet_block minecraft:crafting_shapeless
create_compressed:gold_sheet_block | minecraft:crafting_shaped | create:golden_sheet create_compressed:gold_sheet_block minecraft:crafting_shaped
create_compressed:iron_sheet | minecraft:crafting_shapeless | create:iron_sheet create_compressed:iron_sheet_block minecraft:crafting_shapeless
create_compressed:iron_sheet_block | minecraft:crafting_shaped | create:iron_sheet create_compressed:iron_sheet_block minecraft:crafting_shaped
create_compressed:large_cogwheel | minecraft:crafting_shapeless | create:large_cogwheel create_compressed:large_cogwheel_block minecraft:crafting_shapeless
create_compressed:large_cogwheel_block | minecraft:crafting_shaped | create:large_cogwheel create_compressed:large_cogwheel_block minecraft:crafting_shaped
create_compressed:mechanism | minecraft:crafting_shapeless | create:precision_mechanism create_compressed:mechanism_block minecraft:crafting_shapeless
create_compressed:mechanism_block | minecraft:crafting_shaped | create:precision_mechanism create_compressed:mechanism_block minecraft:crafting_shaped
create_compressed:mixing/dough_block | create:mixing | create:mixing create_compressed:dough_block create_compressed:wheat_flour_pile minecraft:water
create_compressed:polished_rose_quartz | minecraft:crafting_shapeless | create:polished_rose_quartz create_compressed:rose_quartz_polished_block minecraft:crafting_shapeless
create_compressed:polished_rose_quartz_block | minecraft:crafting_shaped | create:polished_rose_quartz create_compressed:rose_quartz_polished_block minecraft:crafting_shaped
create_compressed:powdered_obsidian | minecraft:crafting_shapeless | create:powdered_obsidian create_compressed:powdered_obsidian_pile minecraft:crafting_shapeless
create_compressed:powdered_obsidian_pile | minecraft:crafting_shaped | create:powdered_obsidian create_compressed:powdered_obsidian_pile minecraft:crafting_shaped
create_compressed:pulp | minecraft:crafting_shapeless | create:pulp create_compressed:pulp_block minecraft:crafting_shapeless
create_compressed:pulp_block | minecraft:crafting_shaped | create:pulp create_compressed:pulp_block minecraft:crafting_shaped
create_compressed:rose_quartz | minecraft:crafting_shapeless | create:rose_quartz create_compressed:rose_quartz_crystal_block minecraft:crafting_shapeless
create_compressed:rose_quartz_crystal_block | minecraft:crafting_shaped | create:rose_quartz create_compressed:rose_quartz_crystal_block minecraft:crafting_shaped
create_compressed:sandpaper_polishing/polished_rose_quartz_block | create:sandpaper_polishing | create:sandpaper_polishing create_compressed:rose_quartz_crystal_block create_compressed:rose_quartz_polished_block
create_compressed:shaft | minecraft:crafting_shapeless | create:shaft create_compressed:shaft_bundle minecraft:crafting_shapeless
create_compressed:shaft_bundle | minecraft:crafting_shaped | create:shaft create_compressed:shaft_bundle minecraft:crafting_shaped
