create:cutting/shaft | create:cutting | create:cutting create:shaft create_connected:feature_enabled create_connected:shear_pin
create_connected:crafting/kinetics/brake | minecraft:crafting_shapeless | create:andesite_casing create:shaft create_connected:brake create_connected:feature_enabled minecraft:crafting_shapeless minecraft:obsidian minecraft:redstone
create_connected:crafting/kinetics/brass_gearbox | minecraft:crafting_shaped | create:cogwheel create:rotation_speed_controller create_connected:brass_gearbox create_connected:feature_enabled minecraft:crafting_shaped
create_connected:crafting/kinetics/brass_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:brass_gearbox create_connected:feature_enabled create_connected:vertical_brass_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/centrifugal_clutch | minecraft:crafting_shapeless | create:andesite_casing create:iron_sheet create:shaft create:speedometer create_connected:centrifugal_clutch create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/clutch_from_conversion | minecraft:crafting_shapeless | create:clutch create_connected:feature_enabled create_connected:inverted_clutch minecraft:crafting_shapeless
create_connected:crafting/kinetics/crank_wheel | minecraft:crafting_shapeless | create:cogwheel create:hand_crank create_connected:crank_wheel create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/cross_connector | minecraft:crafting_shaped | create:gearbox create:shaft create_connected:cross_connector create_connected:feature_enabled minecraft:crafting_shaped
create_connected:crafting/kinetics/empty_fan_catalyst | minecraft:crafting_shaped | create:brass_ingot create_connected:empty_fan_catalyst create_connected:feature_enabled minecraft:crafting_shaped minecraft:iron_bars
create_connected:crafting/kinetics/empty_fan_catalyst_from_blasting | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_blasting_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_ending_dragon_head | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_ending_catalyst_dragon_head create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_ending_dragons_breath | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_ending_catalyst_dragons_breath create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_enriched | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_enriched_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_freezing | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_freezing_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_haunting | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_haunting_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_sanding | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_sanding_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_seething | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_seething_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_smoking | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_smoking_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/empty_fan_catalyst_from_splashing | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_splashing_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
