create:crushing/deepslate_tin_ore | create:crushing | create:crushing create:experience_nugget create_ironworks:crushed_raw_tin create_ironworks:deepslate_tin_ore minecraft:cobbled_deepslate
create:crushing/raw_tin | create:crushing | create:crushing create:experience_nugget create_ironworks:crushed_raw_tin create_ironworks:raw_tin
create:crushing/raw_tin_block | create:crushing | create:crushing create:experience_nugget create_ironworks:crushed_raw_tin create_ironworks:raw_tin_block
create:crushing/tin_ore | create:crushing | create:crushing create:experience_nugget create_ironworks:crushed_raw_tin create_ironworks:tin_ore minecraft:cobblestone
create:mixing/brass_ingot | create:mixing | c:ingots/copper c:ingots/zinc create:brass_ingot create:copper_nugget create:experience_nugget create:mixing create:zinc_nugget
create_ironworks:armor/boots/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_armor_boots minecraft:crafting_shaped
create_ironworks:armor/boots/bronze | minecraft:crafting_shaped | create_ironworks:bronze_armor_boots create_ironworks:bronze_ingot minecraft:crafting_shaped
create_ironworks:armor/boots/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_armor_boots minecraft:crafting_shaped
create_ironworks:armor/boots/copper | minecraft:crafting_shaped | create_ironworks:copper_armor_boots minecraft:copper_ingot minecraft:crafting_shaped
create_ironworks:armor/boots/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_armor_boots minecraft:netherite_boots minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:armor/boots/rose_quartz | minecraft:crafting_shaped | create:polished_rose_quartz create_ironworks:rose_quartz_armor_boots minecraft:crafting_shaped
create_ironworks:armor/boots/steel | minecraft:crafting_shaped | create_ironworks:steel_armor_boots create_ironworks:steel_ingot minecraft:crafting_shaped
create_ironworks:armor/boots/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_armor_boots minecraft:crafting_shaped
create_ironworks:armor/boots/sturdy | minecraft:crafting_shaped | create:sturdy_sheet create_ironworks:sturdy_armor_boots minecraft:crafting_shaped
create_ironworks:armor/chestplate/brass | minecraft:crafting_shaped | create:brass_ingot create_ironworks:brass_armor_chestplate minecraft:crafting_shaped
create_ironworks:armor/chestplate/bronze | minecraft:crafting_shaped | create_ironworks:bronze_armor_chestplate create_ironworks:bronze_ingot minecraft:crafting_shaped
create_ironworks:armor/chestplate/bronze_tag | minecraft:crafting_shaped | c:ingots/bronze create_ironworks:bronze_armor_chestplate minecraft:crafting_shaped
create_ironworks:armor/chestplate/copper | minecraft:crafting_shaped | create_ironworks:copper_armor_chestplate minecraft:copper_ingot minecraft:crafting_shaped
create_ironworks:armor/chestplate/netherite_steel | minecraft:smithing_transform | create_ironworks:steel_armor_chestplate minecraft:netherite_chestplate minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create_ironworks:armor/chestplate/rose_quartz | minecraft:crafting_shaped | create:polished_rose_quartz create_ironworks:rose_quartz_armor_chestplate minecraft:crafting_shaped
create_ironworks:armor/chestplate/steel | minecraft:crafting_shaped | create_ironworks:steel_armor_chestplate create_ironworks:steel_ingot minecraft:crafting_shaped
create_ironworks:armor/chestplate/steel_tag | minecraft:crafting_shaped | c:ingots/steel create_ironworks:steel_armor_chestplate minecraft:crafting_shaped
