create_train_parts:andesite_sliding_window | minecraft:crafting_shapeless | create:andesite_casing create:framed_glass_trapdoor create_train_parts:andesite_sliding_window minecraft:crafting_shapeless
create_train_parts:arm_extender | minecraft:crafting_shaped | create_train_parts:arm_extender minecraft:crafting_shaped minecraft:fences
create_train_parts:brass_sliding_window | minecraft:crafting_shapeless | create:brass_casing create:framed_glass_trapdoor create_train_parts:brass_sliding_window minecraft:crafting_shapeless
create_train_parts:copper_sliding_window | minecraft:crafting_shapeless | create:copper_casing create:framed_glass_trapdoor create_train_parts:copper_sliding_window minecraft:crafting_shapeless
create_train_parts:crossing | minecraft:crafting_shaped | create:andesite_casing create:electron_tube create:iron_sheet create_train_parts:crossing minecraft:crafting_shaped minecraft:fences
create_train_parts:glass_sliding_window | minecraft:crafting_shapeless | create:framed_glass create:framed_glass_trapdoor create_train_parts:glass_sliding_window minecraft:crafting_shapeless
create_train_parts:train_slide_andesite | minecraft:crafting_shaped | create:andesite_casing create_train_parts:train_slide_andesite create_train_parts:train_step_andesite minecraft:crafting_shaped
create_train_parts:train_slide_brass | minecraft:crafting_shaped | create:brass_casing create_train_parts:train_slide_brass create_train_parts:train_step_brass minecraft:crafting_shaped
create_train_parts:train_slide_copper | minecraft:crafting_shaped | create:copper_casing create_train_parts:train_slide_copper create_train_parts:train_step_copper minecraft:crafting_shaped
create_train_parts:train_slide_train | minecraft:crafting_shaped | create:railway_casing create_train_parts:train_slide_train create_train_parts:train_step_train minecraft:crafting_shaped
create_train_parts:train_sliding_window | minecraft:crafting_shapeless | create:framed_glass_trapdoor create:railway_casing create_train_parts:train_sliding_window minecraft:crafting_shapeless
create_train_parts:train_step_andesite | minecraft:crafting_shaped | create:andesite_casing create_train_parts:train_step_andesite minecraft:crafting_shaped
create_train_parts:train_step_brass | minecraft:crafting_shaped | create:brass_casing create_train_parts:train_step_brass minecraft:crafting_shaped
create_train_parts:train_step_copper | minecraft:crafting_shaped | create:copper_casing create_train_parts:train_step_copper minecraft:crafting_shaped
create_train_parts:train_step_train | minecraft:crafting_shaped | create:railway_casing create_train_parts:train_step_train minecraft:crafting_shaped
