create:crushing/ochrum | create:crushing | create:crushed_raw_gold create:crushing create:ochrum createaddition:electrum_nugget minecraft:gold_nugget
create:crushing/tuff | create:crushing | create:copper_nugget create:crushing create:zinc_nugget createaddition:electrum_nugget minecraft:flint minecraft:gold_nugget minecraft:iron_nugget minecraft:tuff
create:rolling/bamboo | createaddition:rolling | createaddition:rolling createaddition:straw minecraft:bamboo
create:rolling/paper | createaddition:rolling | createaddition:rolling createaddition:straw minecraft:paper
createaddition:charging/channeling | createaddition:charging | createaddition:charging minecraft:book minecraft:enchanted_book
createaddition:charging/deoxidize_create_exposed_copper_shingle_slab | createaddition:charging | create:copper_shingle_slab create:exposed_copper_shingle_slab createaddition:charging
createaddition:charging/deoxidize_create_exposed_copper_shingle_stairs | createaddition:charging | create:copper_shingle_stairs create:exposed_copper_shingle_stairs createaddition:charging
createaddition:charging/deoxidize_create_exposed_copper_shingles | createaddition:charging | create:copper_shingles create:exposed_copper_shingles createaddition:charging
createaddition:charging/deoxidize_create_exposed_copper_tile_slab | createaddition:charging | create:copper_tile_slab create:exposed_copper_tile_slab createaddition:charging
createaddition:charging/deoxidize_create_exposed_copper_tile_stairs | createaddition:charging | create:copper_tile_stairs create:exposed_copper_tile_stairs createaddition:charging
createaddition:charging/deoxidize_create_exposed_copper_tiles | createaddition:charging | create:copper_tiles create:exposed_copper_tiles createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_shingle_slab | createaddition:charging | create:oxidized_copper_shingle_slab create:weathered_copper_shingle_slab createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_shingle_stairs | createaddition:charging | create:oxidized_copper_shingle_stairs create:weathered_copper_shingle_stairs createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_shingles | createaddition:charging | create:oxidized_copper_shingles create:weathered_copper_shingles createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_tile_slab | createaddition:charging | create:oxidized_copper_tile_slab create:weathered_copper_tile_slab createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_tile_stairs | createaddition:charging | create:oxidized_copper_tile_stairs create:weathered_copper_tile_stairs createaddition:charging
createaddition:charging/deoxidize_create_oxidized_copper_tiles | createaddition:charging | create:oxidized_copper_tiles create:weathered_copper_tiles createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_shingle_slab | createaddition:charging | create:exposed_copper_shingle_slab create:weathered_copper_shingle_slab createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_shingle_stairs | createaddition:charging | create:exposed_copper_shingle_stairs create:weathered_copper_shingle_stairs createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_shingles | createaddition:charging | create:exposed_copper_shingles create:weathered_copper_shingles createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_tile_slab | createaddition:charging | create:exposed_copper_tile_slab create:weathered_copper_tile_slab createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_tile_stairs | createaddition:charging | create:exposed_copper_tile_stairs create:weathered_copper_tile_stairs createaddition:charging
createaddition:charging/deoxidize_create_weathered_copper_tiles | createaddition:charging | create:exposed_copper_tiles create:weathered_copper_tiles createaddition:charging
createaddition:charging/deoxidize_minecraft_exposed_chiseled_copper | createaddition:charging | createaddition:charging minecraft:chiseled_copper minecraft:exposed_chiseled_copper
createaddition:charging/deoxidize_minecraft_exposed_copper | createaddition:charging | createaddition:charging minecraft:copper_block minecraft:exposed_copper
createaddition:charging/deoxidize_minecraft_exposed_copper_bulb | createaddition:charging | createaddition:charging minecraft:copper_bulb minecraft:exposed_copper_bulb
createaddition:charging/deoxidize_minecraft_exposed_copper_door | createaddition:charging | createaddition:charging minecraft:copper_door minecraft:exposed_copper_door
createaddition:charging/deoxidize_minecraft_exposed_copper_grate | createaddition:charging | createaddition:charging minecraft:copper_grate minecraft:exposed_copper_grate
createaddition:charging/deoxidize_minecraft_exposed_copper_trapdoor | createaddition:charging | createaddition:charging minecraft:copper_trapdoor minecraft:exposed_copper_trapdoor
createaddition:charging/deoxidize_minecraft_exposed_cut_copper | createaddition:charging | createaddition:charging minecraft:cut_copper minecraft:exposed_cut_copper
createaddition:charging/deoxidize_minecraft_exposed_cut_copper_slab | createaddition:charging | createaddition:charging minecraft:cut_copper_slab minecraft:exposed_cut_copper_slab
createaddition:charging/deoxidize_minecraft_exposed_cut_copper_stairs | createaddition:charging | createaddition:charging minecraft:cut_copper_stairs minecraft:exposed_cut_copper_stairs
createaddition:charging/deoxidize_minecraft_oxidized_chiseled_copper | createaddition:charging | createaddition:charging minecraft:oxidized_chiseled_copper minecraft:weathered_chiseled_copper
createaddition:charging/deoxidize_minecraft_oxidized_copper | createaddition:charging | createaddition:charging minecraft:oxidized_copper minecraft:weathered_copper
createaddition:charging/deoxidize_minecraft_oxidized_copper_bulb | createaddition:charging | createaddition:charging minecraft:oxidized_copper_bulb minecraft:weathered_copper_bulb
createaddition:charging/deoxidize_minecraft_oxidized_copper_door | createaddition:charging | createaddition:charging minecraft:oxidized_copper_door minecraft:weathered_copper_door
createaddition:charging/deoxidize_minecraft_oxidized_copper_grate | createaddition:charging | createaddition:charging minecraft:oxidized_copper_grate minecraft:weathered_copper_grate
createaddition:charging/deoxidize_minecraft_oxidized_copper_trapdoor | createaddition:charging | createaddition:charging minecraft:oxidized_copper_trapdoor minecraft:weathered_copper_trapdoor
createaddition:charging/deoxidize_minecraft_oxidized_cut_copper | createaddition:charging | createaddition:charging minecraft:oxidized_cut_copper minecraft:weathered_cut_copper
createaddition:charging/deoxidize_minecraft_oxidized_cut_copper_slab | createaddition:charging | createaddition:charging minecraft:oxidized_cut_copper_slab minecraft:weathered_cut_copper_slab
createaddition:charging/deoxidize_minecraft_oxidized_cut_copper_stairs | createaddition:charging | createaddition:charging minecraft:oxidized_cut_copper_stairs minecraft:weathered_cut_copper_stairs
createaddition:charging/deoxidize_minecraft_weathered_chiseled_copper | createaddition:charging | createaddition:charging minecraft:exposed_chiseled_copper minecraft:weathered_chiseled_copper
createaddition:charging/deoxidize_minecraft_weathered_copper | createaddition:charging | createaddition:charging minecraft:exposed_copper minecraft:weathered_copper
createaddition:charging/deoxidize_minecraft_weathered_copper_bulb | createaddition:charging | createaddition:charging minecraft:exposed_copper_bulb minecraft:weathered_copper_bulb
createaddition:charging/deoxidize_minecraft_weathered_copper_door | createaddition:charging | createaddition:charging minecraft:exposed_copper_door minecraft:weathered_copper_door
createaddition:charging/deoxidize_minecraft_weathered_copper_grate | createaddition:charging | createaddition:charging minecraft:exposed_copper_grate minecraft:weathered_copper_grate
createaddition:charging/deoxidize_minecraft_weathered_copper_trapdoor | createaddition:charging | createaddition:charging minecraft:exposed_copper_trapdoor minecraft:weathered_copper_trapdoor
createaddition:charging/deoxidize_minecraft_weathered_cut_copper | createaddition:charging | createaddition:charging minecraft:exposed_cut_copper minecraft:weathered_cut_copper
