createadditionallogistics:crafting/kinetics/black_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/black createadditionallogistics:black_flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/black_short_seat | minecraft:crafting_shapeless | createadditionallogistics:black_short_seat minecraft:black_wool minecraft:crafting_shapeless minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/black_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/black createadditionallogistics:black_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/black_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:black_tall_seat minecraft:black_wool minecraft:crafting_shapeless minecraft:planks
createadditionallogistics:crafting/kinetics/black_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/black createadditionallogistics:black_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/blue_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/blue createadditionallogistics:blue_flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/blue_short_seat | minecraft:crafting_shapeless | createadditionallogistics:blue_short_seat minecraft:blue_wool minecraft:crafting_shapeless minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/blue_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/blue createadditionallogistics:blue_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/blue_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:blue_tall_seat minecraft:blue_wool minecraft:crafting_shapeless minecraft:planks
createadditionallogistics:crafting/kinetics/blue_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/blue createadditionallogistics:blue_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/brown_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/brown createadditionallogistics:brown_flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/brown_short_seat | minecraft:crafting_shapeless | createadditionallogistics:brown_short_seat minecraft:brown_wool minecraft:crafting_shapeless minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/brown_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/brown createadditionallogistics:brown_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/brown_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:brown_tall_seat minecraft:brown_wool minecraft:crafting_shapeless minecraft:planks
createadditionallogistics:crafting/kinetics/brown_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/brown createadditionallogistics:brown_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/cogwheel_from_lazy | minecraft:crafting_shapeless | create:cogwheel createadditionallogistics:lazy_cogwheel minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/cyan_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/cyan createadditionallogistics:cyan_flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/cyan_short_seat | minecraft:crafting_shapeless | createadditionallogistics:cyan_short_seat minecraft:crafting_shapeless minecraft:cyan_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/cyan_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/cyan createadditionallogistics:cyan_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/cyan_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:cyan_tall_seat minecraft:crafting_shapeless minecraft:cyan_wool minecraft:planks
createadditionallogistics:crafting/kinetics/cyan_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/cyan createadditionallogistics:cyan_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/flexible_shaft | minecraft:crafting_shaped | create:brass_casing create:cogwheel createadditionallogistics:basic_shafts createadditionallogistics:flexible_shaft minecraft:crafting_shaped
createadditionallogistics:crafting/kinetics/flexible_shaft_remove_dye | minecraft:crafting_shapeless | createadditionallogistics:flexible_shaft createadditionallogistics:flexible_shafts minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/gray_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/gray createadditionallogistics:flexible_shafts createadditionallogistics:gray_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/gray_short_seat | minecraft:crafting_shapeless | createadditionallogistics:gray_short_seat minecraft:crafting_shapeless minecraft:gray_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/gray_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/gray createadditionallogistics:gray_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/gray_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:gray_tall_seat minecraft:crafting_shapeless minecraft:gray_wool minecraft:planks
createadditionallogistics:crafting/kinetics/gray_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/gray createadditionallogistics:gray_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/green_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/green createadditionallogistics:flexible_shafts createadditionallogistics:green_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/green_short_seat | minecraft:crafting_shapeless | createadditionallogistics:green_short_seat minecraft:crafting_shapeless minecraft:green_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/green_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/green createadditionallogistics:green_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/green_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:green_tall_seat minecraft:crafting_shapeless minecraft:green_wool minecraft:planks
createadditionallogistics:crafting/kinetics/green_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/green createadditionallogistics:green_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/large_cogwheel_from_lazy | minecraft:crafting_shapeless | create:large_cogwheel createadditionallogistics:lazy_large_cogwheel minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lazy_cogwheel_from_cogwheel | minecraft:crafting_shapeless | create:cogwheel createadditionallogistics:lazy_cogwheel minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lazy_large_cogwheel_from_large_cogwheel | minecraft:crafting_shapeless | create:large_cogwheel createadditionallogistics:lazy_large_cogwheel minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lazy_shaft_from_shaft | minecraft:crafting_shapeless | create:shaft createadditionallogistics:lazy_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_blue_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/light_blue createadditionallogistics:flexible_shafts createadditionallogistics:light_blue_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_blue_short_seat | minecraft:crafting_shapeless | createadditionallogistics:light_blue_short_seat minecraft:crafting_shapeless minecraft:light_blue_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/light_blue_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_blue createadditionallogistics:light_blue_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_blue_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:light_blue_tall_seat minecraft:crafting_shapeless minecraft:light_blue_wool minecraft:planks
createadditionallogistics:crafting/kinetics/light_blue_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_blue createadditionallogistics:light_blue_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_gray_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/light_gray createadditionallogistics:flexible_shafts createadditionallogistics:light_gray_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_gray_short_seat | minecraft:crafting_shapeless | createadditionallogistics:light_gray_short_seat minecraft:crafting_shapeless minecraft:light_gray_wool minecraft:wooden_pressure_plates
createadditionallogistics:crafting/kinetics/light_gray_short_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_gray createadditionallogistics:light_gray_short_seat createadditionallogistics:short_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/light_gray_tall_seat | minecraft:crafting_shapeless | createadditionallogistics:light_gray_tall_seat minecraft:crafting_shapeless minecraft:light_gray_wool minecraft:planks
createadditionallogistics:crafting/kinetics/light_gray_tall_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_gray createadditionallogistics:light_gray_tall_seat createadditionallogistics:tall_seats minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lime_flexible_shaft_from_other_flexible_shaft | minecraft:crafting_shapeless | c:dyes/lime createadditionallogistics:flexible_shafts createadditionallogistics:lime_flexible_shaft minecraft:crafting_shapeless
createadditionallogistics:crafting/kinetics/lime_short_seat | minecraft:crafting_shapeless | createadditionallogistics:lime_short_seat minecraft:crafting_shapeless minecraft:lime_wool minecraft:wooden_pressure_plates
