createfisheryindustry:bait_trap | minecraft:crafting_shapeless | createfisheryindustry:bait_trap createfisheryindustry:mesh_trap minecraft:crafting_shapeless minecraft:lantern
createfisheryindustry:blasting/zinc_nuggets_from_harpoon | minecraft:blasting | create:zinc_nugget createfisheryindustry:harpoon minecraft:blasting
createfisheryindustry:blasting/zinc_nuggets_from_worn_harpoon | minecraft:blasting | create:zinc_nugget createfisheryindustry:worn_harpoon minecraft:blasting
createfisheryindustry:campfire_cooking/cook_cod_steak | minecraft:campfire_cooking | createfisheryindustry:cod_steak createfisheryindustry:cooked_cod_steak minecraft:campfire_cooking
createfisheryindustry:campfire_cooking/cook_salmon_steak | minecraft:campfire_cooking | createfisheryindustry:cooked_salmon_steak createfisheryindustry:salmon_steak minecraft:campfire_cooking
createfisheryindustry:campfire_cooking/cooked_blue_mussel | minecraft:campfire_cooking | createfisheryindustry:cooked_blue_mussel createfisheryindustry:raw_blue_mussel minecraft:campfire_cooking
createfisheryindustry:campfire_cooking/cooked_lobster | minecraft:campfire_cooking | createfisheryindustry:cooked_lobster createfisheryindustry:raw_lobster minecraft:campfire_cooking
createfisheryindustry:campfire_cooking/cooked_mediterranean_mussel | minecraft:campfire_cooking | createfisheryindustry:cooked_mediterranean_mussel createfisheryindustry:raw_mediterranean_mussel minecraft:campfire_cooking
createfisheryindustry:campfire_cooking/roast_fish_skin | minecraft:campfire_cooking | createfisheryindustry:fish_skin createfisheryindustry:roasted_fish_skin minecraft:campfire_cooking
createfisheryindustry:copper_diving_leggings | minecraft:crafting_shaped | c:ingots/copper c:plates/zinc createfisheryindustry:copper_diving_leggings minecraft:crafting_shaped
createfisheryindustry:crushing/harpoon | create:crushing | create:crushing create:zinc_ingot create:zinc_nugget createfisheryindustry:harpoon
createfisheryindustry:crushing/worn_harpoon | create:crushing | create:crushing create:zinc_ingot create:zinc_nugget createfisheryindustry:worn_harpoon
createfisheryindustry:deploying/waxed_cardboard_dewax | create:deploying | create:cardboard create:deploying createfisheryindustry:waxed_cardboard minecraft:brush
createfisheryindustry:deploying/waxed_cardboard_from_adding_wax | create:deploying | create:cardboard create:deploying createfisheryindustry:waxed_cardboard minecraft:honeycomb_block
createfisheryindustry:deploying/waxed_leather_dewax | create:deploying | create:deploying createfisheryindustry:waxed_leather minecraft:brush minecraft:leather
createfisheryindustry:deploying/waxed_leather_from_adding_wax | create:deploying | create:deploying createfisheryindustry:waxed_leather minecraft:honeycomb_block minecraft:leather
createfisheryindustry:farmerdelight/cod_steak_cutting | farmersdelight:cutting | c:tools/knife createfisheryindustry:cod_steak farmersdelight:cod_slice farmersdelight:cutting minecraft:bone_meal neoforge:mod_loaded
createfisheryindustry:farmerdelight/lobster_soup_cooking | farmersdelight:cooking | createfisheryindustry:lobster_soup createfisheryindustry:raw_lobster farmersdelight:cooking farmersdelight:milk_bottle minecraft:kelp neoforge:mod_loaded
createfisheryindustry:farmerdelight/mussel_soup_cooking | farmersdelight:cooking | c:mussels createfisheryindustry:mussel_soup farmersdelight:cooking farmersdelight:milk_bottle neoforge:mod_loaded
createfisheryindustry:farmerdelight/salmon_steak_cutting | farmersdelight:cutting | c:tools/knife createfisheryindustry:salmon_steak farmersdelight:cutting farmersdelight:salmon_slice minecraft:bone_meal neoforge:mod_loaded
createfisheryindustry:farmerdelight/seafood_chowder_cooking | farmersdelight:cooking | c:mussels c:raw_fish_steaks createfisheryindustry:raw_lobster createfisheryindustry:seafood_chowder farmersdelight:cooking farmersdelight:milk_bottle minecraft:kelp neoforge:mod_loaded
createfisheryindustry:filling/lobster_soup | create:filling | create:filling createfisheryindustry:lobster_soup minecraft:bowl neoforge:single
createfisheryindustry:filling/mussel_soup | create:filling | create:filling createfisheryindustry:mussel_soup minecraft:bowl neoforge:single
createfisheryindustry:filling/seafood_chowder | create:filling | create:filling createfisheryindustry:seafood_chowder minecraft:bowl neoforge:single
