createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_chocolate_cupcake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:chocolate_cupcake_base createfood:apple_cream_chocolate_cupcake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_chocolate_donut_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:chocolate_donut_base createfood:apple_cream_chocolate_donut createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_chocolate_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:hollow_chocolate createfood:apple_cream_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:chocolate_pastry_base createfood:apple_cream_chocolate_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_chocolate_sweet_roll_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:chocolate_sweet_roll_base createfood:apple_cream_chocolate_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_cupcake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:cupcake_base createfood:apple_cream_cupcake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_dark_chocolate_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:hollow_dark_chocolate createfood:apple_cream_dark_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_donut_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:donut_base createfood:apple_cream_donut createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_mini_waffle_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:mini_waffle createfood:apple_cream_mini_waffle createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_pastry_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:pastry_base createfood:apple_cream_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_sweet_roll_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:sweet_roll_base createfood:apple_cream_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_cream_white_chocolate_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting c:hollow_white_chocolate createfood:apple_cream_white_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:apple_ice_cream_stick c:waffle_cone createfood:apple_ice_cream_cone createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_ice_cream_sandwich_from_shaped | minecraft:crafting_shaped | c:chocolate_graham_cracker c:chocolate_graham_cracker_apple_ice_cream createfood:apple_ice_cream_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/apple_jam_sandwich_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_apple_jam createfood:apple_jam_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bacon_sandwich_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_bacon createfood:bacon_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bacon_sandwich_lettuce_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_bacon_lettuce createfood:bacon_sandwich_lettuce createfood:enabled minecraft:crafting_shaped
