createimmersivetacz:ammo/40mmhe_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:40mmhe_casing
createimmersivetacz:ammo/40mmhe_casing_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly create_armorer:40mmhe createimmersivetacz:40mmhe_casing createimmersivetacz:gunpowder_fluid createimmersivetacz:primer neoforge:single tacz:ammo
createimmersivetacz:ammo/grenade_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:grenade_casing
createimmersivetacz:ammo/grenade_casing_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly create_armorer:gernade createimmersivetacz:grenade_casing createimmersivetacz:gunpowder_fluid createimmersivetacz:primer neoforge:single tacz:ammo
createimmersivetacz:ammo/pneumatic_pistol_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:pneumatic_pistol_casing
createimmersivetacz:ammo/pneumatic_pistol_casing_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly create_armorer:gas_pistol_ammo createimmersivetacz:gunpowder_fluid createimmersivetacz:pneumatic_pistol_casing createimmersivetacz:primer tacz:ammo
createimmersivetacz:ammo/rimmed_blunt_ap_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:rimmed_blunt_ap_casing
createimmersivetacz:ammo/rimmed_blunt_ap_casing_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly create_armorer:rbapb createimmersivetacz:gunpowder_fluid createimmersivetacz:primer createimmersivetacz:rimmed_blunt_ap_casing tacz:ammo
createimmersivetacz:ammo/slap_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:slap_casing
createimmersivetacz:ammo/slap_casing_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly create_armorer:slap createimmersivetacz:gunpowder_fluid createimmersivetacz:primer createimmersivetacz:slap_casing tacz:ammo
createimmersivetacz:ammo/twelve_gauge_shell | create:cutting | create:brass_sheet create:cutting createimmersivetacz:twelve_gauge_shell
createimmersivetacz:ammo/twelve_gauge_shell_fill | create:sequenced_assembly | create:deploying create:filling create:sequenced_assembly createimmersivetacz:gunpowder_fluid createimmersivetacz:primer createimmersivetacz:twelve_gauge_shell tacz:12g tacz:ammo
createimmersivetacz:attachments/ap_projectile | create:mechanical_crafting | create:fluid_tank create:mechanical_crafting create_armorer:muzzle_refit_ap_grenade createimmersivetacz:gun_barrel tacz:attachment
createimmersivetacz:attachments/bigger_cylinder | create:mechanical_crafting | create:andesite_alloy create:fluid_pipe create:mechanical_crafting create_armorer:muzzle_refit_bigger_cylinder tacz:attachment
createimmersivetacz:attachments/blasting_protocol | create:mechanical_crafting | create:mechanical_crafting create:shaft create_armorer:refit_blasting_protocol minecraft:tnt tacz:attachment
createimmersivetacz:attachments/brass_retractor | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting create_armorer:muzzle_refit_brass_retractor tacz:attachment
createimmersivetacz:attachments/extended_mag_1 | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:extended_mag_ca_1 tacz:attachment
createimmersivetacz:attachments/extended_mag_2 | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:extended_mag_ca_2 minecraft:diamond tacz:attachment
createimmersivetacz:attachments/extended_mag_3 | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:extended_mag_ca_3 minecraft:netherite_ingot tacz:attachment
createimmersivetacz:attachments/fluid_pipe_grip | create:mechanical_crafting | create:fluid_pipe create:mechanical_crafting create_armorer:grip_pipe tacz:attachment
createimmersivetacz:attachments/fluid_pipe_muzzle | create:mechanical_crafting | create:fluid_pipe create:mechanical_crafting create_armorer:muzzle_pipe tacz:attachment
createimmersivetacz:attachments/fluid_pipe_scope | create:mechanical_crafting | create:fluid_pipe create:mechanical_crafting create_armorer:scope_pipe minecraft:glass_pane tacz:attachment
createimmersivetacz:attachments/gantry_shaft_grip | create:mechanical_crafting | create:gantry_shaft create:mechanical_crafting create_armorer:grip_gantry_shaft tacz:attachment
createimmersivetacz:attachments/lava_perfusion_bottle | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting create_armorer:muzzle_refit_lava_perfusion_bottle minecraft:lava_bucket tacz:attachment
createimmersivetacz:attachments/medium_distance_scope | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:sight_medium_distance minecraft:glass_pane tacz:attachment
