createlowheated:basic_burner | minecraft:crafting_shaped | create:andesite_alloy createlowheated:basic_burner minecraft:crafting_shaped
createlowheated:mixing/builders_tea | create:mixing | c:milk create:mixing create:tea minecraft:leaves minecraft:water neoforge:single neoforge:tag
createlowheated:mixing/chocolate | create:mixing | c:milk create:chocolate create:mixing minecraft:cocoa_beans minecraft:sugar neoforge:tag
createlowheated:mixing/chocolate_melting | create:mixing | create:bar_of_chocolate create:chocolate create:mixing
createlowheated:mixing/farmersdelight/apple_cider | create:mixing | create:mixing farmersdelight:apple_cider minecraft:apple minecraft:glass_bottle minecraft:sugar neoforge:mod_loaded
createlowheated:mixing/farmersdelight/apple_pie | create:mixing | c:foods/dough create:mixing farmersdelight:apple_pie farmersdelight:pie_crust minecraft:apple minecraft:sugar neoforge:mod_loaded
createlowheated:mixing/farmersdelight/baked_cod_stew | create:mixing | c:crops/tomato c:eggs c:foods/raw_cod create:mixing farmersdelight:baked_cod_stew minecraft:bowl minecraft:potato minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/beef_stew | create:mixing | c:foods/raw_beef create:mixing farmersdelight:beef_stew minecraft:bowl minecraft:carrot minecraft:potato minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/bone_broth | create:mixing | c:bones c:mushrooms create:mixing farmersdelight:bone_broth minecraft:bowl minecraft:glow_berries minecraft:glow_lichen minecraft:hanging_roots minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/cabbage_rolls | create:mixing | c:crops/cabbage create:mixing farmersdelight:cabbage_roll_ingredients farmersdelight:cabbage_rolls neoforge:mod_loaded
createlowheated:mixing/farmersdelight/chicken_soup | create:mixing | c:foods/leafy_green c:foods/raw_chicken c:foods/vegetable create:mixing farmersdelight:chicken_soup minecraft:bowl minecraft:carrot minecraft:melon_slice minecraft:water neoforge:difference neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/chocolate_pie | create:mixing | c:foods/dough c:milk create:mixing farmersdelight:chocolate_pie farmersdelight:pie_crust minecraft:cocoa_beans minecraft:sugar neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/cooked_rice | create:mixing | c:crops/rice create:mixing farmersdelight:cooked_rice minecraft:bowl minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/dog_food | create:mixing | c:crops/rice c:foods/raw_meat create:mixing farmersdelight:dog_food minecraft:bone_meal minecraft:bowl minecraft:rotten_flesh neoforge:mod_loaded
createlowheated:mixing/farmersdelight/dumplings | create:mixing | c:crops/cabbage c:crops/onion c:foods/dough c:foods/raw_beef c:foods/raw_chicken c:foods/raw_pork create:mixing farmersdelight:dumplings minecraft:brown_mushroom neoforge:mod_loaded
createlowheated:mixing/farmersdelight/fish_stew | create:mixing | c:crops/onion c:foods/safe_raw_fish create:mixing farmersdelight:fish_stew farmersdelight:tomato_sauce minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/fried_rice | create:mixing | c:crops/onion c:crops/rice c:eggs create:mixing farmersdelight:fried_rice minecraft:bowl minecraft:carrot minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/glow_berry_custard | create:mixing | c:eggs c:milk create:mixing farmersdelight:glow_berry_custard minecraft:glass_bottle minecraft:glow_berries minecraft:sugar neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/honey_cookie | create:mixing | c:foods/dough c:honey create:mixing farmersdelight:honey_cookie neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/hot_cocoa | create:mixing | c:milk create:mixing farmersdelight:hot_cocoa minecraft:cocoa_beans minecraft:glass_bottle minecraft:sugar neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/mushrrom_rice | create:mixing | c:crops/rice create:mixing farmersdelight:mushroom_rice minecraft:bowl minecraft:brown_mushroom minecraft:carrot minecraft:potato minecraft:red_mushroom minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/noodle_soup | create:mixing | c:foods/cooked_egg c:foods/pasta c:foods/raw_pork create:mixing farmersdelight:noodle_soup minecraft:bowl minecraft:dried_kelp minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/pasta_with_meatballs | create:mixing | c:foods/pasta create:mixing farmersdelight:minced_beef farmersdelight:pasta_with_meatballs farmersdelight:tomato_sauce neoforge:mod_loaded
createlowheated:mixing/farmersdelight/pasta_with_mutton_chop | create:mixing | c:foods/pasta c:foods/raw_mutton create:mixing farmersdelight:pasta_with_mutton_chop farmersdelight:tomato_sauce neoforge:mod_loaded
createlowheated:mixing/farmersdelight/pie_crust | create:mixing | c:milk create:mixing create:wheat_flour farmersdelight:pie_crust neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/pumpkin_soup | create:mixing | c:foods/leafy_green c:foods/raw_pork c:milk create:mixing farmersdelight:pumpkin_slice farmersdelight:pumpkin_soup minecraft:bowl neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/ratatouille | create:mixing | c:crops/onion c:crops/tomato c:foods/vegetable create:mixing farmersdelight:ratatouille minecraft:beetroot minecraft:bowl minecraft:melon_slice neoforge:difference neoforge:mod_loaded
createlowheated:mixing/farmersdelight/squid_ink_pasta | create:mixing | c:crops/tomato c:foods/pasta c:foods/safe_raw_fish create:mixing farmersdelight:squid_ink_pasta minecraft:bowl minecraft:ink_sac neoforge:mod_loaded
createlowheated:mixing/farmersdelight/stuffed_potato | create:mixing | c:milk create:mixing farmersdelight:beef_patty farmersdelight:stuffed_potato minecraft:baked_potato neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/stuffed_pumpkin_block | create:mixing | c:crops/onion c:crops/rice c:foods/berry c:foods/vegetable create:mixing farmersdelight:stuffed_pumpkin_block minecraft:brown_mushroom minecraft:melon_slice minecraft:potato minecraft:pumpkin minecraft:water neoforge:difference neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/sweet_berry_cheesecake | create:mixing | c:milk create:mixing farmersdelight:pie_crust farmersdelight:sweet_berry_cheesecake minecraft:sweet_berries neoforge:mod_loaded neoforge:tag
createlowheated:mixing/farmersdelight/sweet_berry_cookie | create:mixing | c:foods/dough create:mixing farmersdelight:sweet_berry_cookie minecraft:sweet_berries neoforge:mod_loaded
createlowheated:mixing/farmersdelight/tomato_sauce | create:mixing | c:crops/tomato create:mixing farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
createlowheated:mixing/farmersdelight/vegetable_noodles | create:mixing | c:foods/leafy_green c:foods/pasta c:foods/vegetable create:mixing farmersdelight:vegetable_noodles minecraft:bowl minecraft:brown_mushroom minecraft:carrot minecraft:melon_slice minecraft:water neoforge:difference neoforge:mod_loaded neoforge:single
createlowheated:mixing/farmersdelight/vegetable_soup | create:mixing | c:foods/leafy_green create:mixing farmersdelight:vegetable_soup minecraft:beetroot minecraft:bowl minecraft:carrot minecraft:potato minecraft:water neoforge:mod_loaded neoforge:single
createlowheated:mixing/honey | create:mixing | create:honey create:mixing minecraft:honey_block
createlowheated:mixing/minecraft/beetroot_soup | create:mixing | create:mixing minecraft:beetroot minecraft:beetroot_soup minecraft:bowl minecraft:water neoforge:single
createlowheated:mixing/minecraft/mushroom_stew | create:mixing | c:mushrooms create:mixing minecraft:bowl minecraft:mushroom_stew minecraft:water neoforge:single
createlowheated:mixing/minecraft/rabbit_stew | create:mixing | c:mushrooms create:mixing minecraft:bowl minecraft:carrot minecraft:potato minecraft:rabbit minecraft:rabbit_stew minecraft:water neoforge:single
