createmechanicalcompanion:blueprint_painting | minecraft:crafting_shaped | create:empty_schematic createmechanicalcompanion:blueprint_painting minecraft:crafting_shaped minecraft:stick
createmechanicalcompanion:booster_rocket | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting createmechanicalcompanion:booster_rocket minecraft:firework_rocket
createmechanicalcompanion:mechanical_wolf_link | create:mechanical_crafting | create:andesite_alloy create:brass_sheet create:mechanical_crafting create:precision_mechanism create:redstone_link createmechanicalcompanion:mechanical_wolf_link createmechanicalcompanion:mechanical_wolf_processor
createmechanicalcompanion:mechanical_wolf_motherboard | create:sequenced_assembly | c:plates/copper create:deploying create:electron_tube create:pressing create:sequenced_assembly createmechanicalcompanion:incomplete_mechanical_wolf_motherboard createmechanicalcompanion:mechanical_wolf_motherboard minecraft:comparator minecraft:green_dye
createmechanicalcompanion:mechanical_wolf_processor | create:deploying | create:deploying createmechanicalcompanion:mechanical_wolf_motherboard createmechanicalcompanion:mechanical_wolf_processor createmechanicalcompanion:optical_sensor
createmechanicalcompanion:mob_radar | create:mechanical_crafting | create:andesite_alloy create:brass_ingot create:mechanical_crafting createmechanicalcompanion:mob_radar minecraft:amethyst_shard
createmechanicalcompanion:mounted_crossbow | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting create:precision_mechanism createmechanicalcompanion:mounted_crossbow minecraft:crossbow
createmechanicalcompanion:mounted_light | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting createmechanicalcompanion:mounted_light minecraft:torch
createmechanicalcompanion:netherite_plates | create:deploying | create:deploying createmechanicalcompanion:netherite_plates createmechanicalcompanion:reinforced_plates minecraft:netherite_ingot
createmechanicalcompanion:optical_sensor | create:sequenced_assembly | create:andesite_casing create:deploying create:pressing create:sequenced_assembly createmechanicalcompanion:incomplete_optical_sensor createmechanicalcompanion:optical_sensor createmechanicalcompanion:rose_quartz_lens
createmechanicalcompanion:quantum_drive | create:mechanical_crafting | create:brass_sheet create:electron_tube create:mechanical_crafting create:precision_mechanism createmechanicalcompanion:quantum_drive minecraft:ender_eye
createmechanicalcompanion:regenerative_casing | create:deploying | create:deploying create:precision_mechanism createmechanicalcompanion:regenerative_casing createmechanicalcompanion:reinforced_plates
createmechanicalcompanion:reinforced_plates | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting createmechanicalcompanion:reinforced_plates minecraft:shield
createmechanicalcompanion:rose_quartz_lens | create:sandpaper_polishing | create:electron_tube create:sandpaper_polishing createmechanicalcompanion:rose_quartz_lens
createmechanicalcompanion:smelting_fangs | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting createmechanicalcompanion:smelting_fangs minecraft:blaze_rod
createmechanicalcompanion:tesla_tail | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting createmechanicalcompanion:tesla_tail minecraft:copper_block minecraft:lightning_rod
