createmetalwork:create/compacting/andesite_alloy_from_compacting_heated | create:compacting | c:andesite_alloy_nuggets c:crushed_raw_materials/andesite create:andesite_alloy create:compacting
createmetalwork:create/compacting/andesite_alloy_from_compacting_molten | create:compacting | c:molten_andesite_alloy create:andesite_alloy create:compacting
createmetalwork:create/compacting/brass_ingot_from_compacting_molten | create:compacting | c:molten_brass create:brass_ingot create:compacting
createmetalwork:create/compacting/copper_ingot_from_compacting_heated | create:compacting | c:crushed_raw_materials/copper create:compacting minecraft:copper_ingot
createmetalwork:create/compacting/copper_ingot_from_compacting_molten | create:compacting | c:molten_copper create:compacting minecraft:copper_ingot
createmetalwork:create/compacting/gold_ingot_from_compacting_heated | create:compacting | c:crushed_raw_materials/gold create:compacting minecraft:gold_ingot
createmetalwork:create/compacting/gold_ingot_from_compacting_molten | create:compacting | c:molten_gold create:compacting minecraft:gold_ingot
createmetalwork:create/compacting/iron_ingot_from_compacting_heated | create:compacting | c:crushed_raw_materials/iron create:compacting minecraft:iron_ingot
createmetalwork:create/compacting/iron_ingot_from_compacting_molten | create:compacting | c:molten_iron create:compacting minecraft:iron_ingot
createmetalwork:create/compacting/netherite_ingot_from_compacting_molten | create:compacting | c:molten_netherite create:compacting minecraft:netherite_ingot
createmetalwork:create/compacting/zinc_ingot_from_compacting_heated | create:compacting | c:crushed_raw_materials/zinc create:compacting create:zinc_ingot
createmetalwork:create/compacting/zinc_ingot_from_compacting_molten | create:compacting | c:molten_zinc create:compacting create:zinc_ingot
createmetalwork:create/compat/create_ironworks/compacting/bronze_ingot_from_compacting_molten_bronze_ironworks | create:compacting | c:molten_bronze create:compacting create_ironworks:bronze_ingot neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/compacting/steel_ingot_from_compacting_molten_steel_ironworks | create:compacting | c:molten_steel create:compacting create_ironworks:steel_ingot neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/compacting/tin_ingot_from_compacting_heated_ironworks | create:compacting | c:crushed_raw_materials/tin create:compacting create_ironworks:tin_ingot neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/compacting/tin_ingot_from_compacting_molten_tin_ironworks | create:compacting | c:molten_tin create:compacting create_ironworks:tin_ingot neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/mixing/ingot_melting/molten_bronze_from_melting | create:mixing | c:ingots/bronze create:mixing createmetalwork:molten_bronze neoforge:not neoforge:tag_empty
createmetalwork:create/compat/create_ironworks/mixing/ingot_melting/molten_steel_from_melting | create:mixing | c:ingots/steel create:mixing createmetalwork:molten_steel neoforge:not neoforge:tag_empty
createmetalwork:create/compat/create_ironworks/mixing/ingot_melting/molten_tin_from_melting | create:mixing | c:ingots/tin create:mixing createmetalwork:molten_tin neoforge:not neoforge:tag_empty
createmetalwork:create/compat/create_ironworks/mixing/molten_bronze_from_mixing_heated | create:mixing | c:crushed_raw_materials/copper c:crushed_raw_materials/tin create:mixing createmetalwork:molten_bronze neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/mixing/molten_steel_from_mixing_heated_molten | create:mixing | c:molten_iron create:mixing createmetalwork:molten_steel minecraft:coal neoforge:mod_loaded
createmetalwork:create/compat/create_ironworks/mixing/molten_tin_from_mixing_heated | create:mixing | c:crushed_raw_materials/tin create:mixing createmetalwork:molten_tin neoforge:mod_loaded
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_andesite_from_compacting | create:compacting | c:mod_loaded create:compacting create_simple_ore_doubling:slag createmetalwork:crushed_andesite minecraft:andesite minecraft:lava neoforge:mod_loaded
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_andesite_from_compacting_heated | create:compacting | c:mod_loaded create:compacting create_simple_ore_doubling:slag createmetalwork:crushed_andesite minecraft:andesite neoforge:mod_loaded
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_netherite_scrap_from_compacting | create:compacting | c:mod_loaded create:compacting create_simple_ore_doubling:slag createmetalwork:crushed_netherite_scrap minecraft:lava minecraft:netherite_scrap neoforge:mod_loaded
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_netherite_scrap_from_compacting_heated | create:compacting | c:mod_loaded create:compacting create_simple_ore_doubling:slag createmetalwork:crushed_netherite_scrap minecraft:netherite_scrap neoforge:mod_loaded
