create:crushing/granite | create:crushing | create:crushing createnuclear:uranium_powder minecraft:granite minecraft:red_sand
create:crushing/raw_copper | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget createnuclear:lead_nugget minecraft:raw_copper
create:crushing/raw_uranium_block | create:crushing | create:crushing createnuclear:raw_uranium_block createnuclear:uranium_powder
create:crushing/raw_zinc | create:crushing | create:crushed_raw_zinc create:crushing create:experience_nugget create:raw_zinc createnuclear:lead_nugget
create:splashing/crushed_raw_lead | create:splashing | create:crushed_raw_lead create:experience_nugget create:splashing createnuclear:lead_nugget
createnuclear:autunite_from_stone_types_autunite_stonecutting | minecraft:stonecutting | createnuclear:autunite createnuclear:stone_types/autunite minecraft:stonecutting
createnuclear:autunite_pillar_from_stone_types_autunite_stonecutting | minecraft:stonecutting | createnuclear:autunite_pillar createnuclear:stone_types/autunite minecraft:stonecutting
createnuclear:blasting/lead_ingot_for_lead | minecraft:blasting | create:crushed_raw_lead createnuclear:lead_ingot minecraft:blasting
createnuclear:blasting/lead_ingot_for_lead_ore | minecraft:blasting | createnuclear:lead_ingot createnuclear:lead_ores minecraft:blasting
createnuclear:blasting/lead_ingot_for_raw_lead | minecraft:blasting | c:raw_materials/lead createnuclear:lead_ingot minecraft:blasting
createnuclear:blasting/raw_uranium_for_uranium_ore | minecraft:blasting | createnuclear:raw_uranium createnuclear:uranium_ores minecraft:blasting
createnuclear:compacting/uranium_fluid_to_yellowcake | create:compacting | create:compacting createnuclear:uranium createnuclear:yellowcake neoforge:single
createnuclear:crafting/crafting/lead_block_from_compacting | minecraft:crafting_shaped | c:ingots/lead createnuclear:lead_block minecraft:crafting_shaped
createnuclear:crafting/crafting/lead_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/lead createnuclear:lead_ingot minecraft:crafting_shaped
createnuclear:crafting/crafting/lead_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/lead createnuclear:lead_ingot minecraft:crafting_shapeless
createnuclear:crafting/crafting/lead_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/lead createnuclear:lead_nugget minecraft:crafting_shapeless
createnuclear:crafting/crafting/steel_block_from_compacting | minecraft:crafting_shaped | c:ingots/steel createnuclear:steel_block minecraft:crafting_shaped
