deeperdarker:ancient_compass | minecraft:crafting_shaped | deeperdarker:ancient_compass deeperdarker:warden_carapace minecraft:compass minecraft:crafting_shaped
deeperdarker:bloom_boat | minecraft:crafting_shaped | deeperdarker:bloom_boat deeperdarker:bloom_planks minecraft:crafting_shaped
deeperdarker:bloom_button | minecraft:crafting_shapeless | deeperdarker:bloom_button deeperdarker:bloom_planks minecraft:crafting_shapeless
deeperdarker:bloom_chest_boat | minecraft:crafting_shapeless | deeperdarker:bloom_boat deeperdarker:bloom_chest_boat minecraft:chest minecraft:crafting_shapeless
deeperdarker:bloom_door | minecraft:crafting_shaped | deeperdarker:bloom_door deeperdarker:bloom_planks minecraft:crafting_shaped
deeperdarker:bloom_fence | minecraft:crafting_shaped | deeperdarker:bloom_fence deeperdarker:bloom_planks minecraft:crafting_shaped minecraft:stick
deeperdarker:bloom_fence_gate | minecraft:crafting_shaped | deeperdarker:bloom_fence_gate deeperdarker:bloom_planks minecraft:crafting_shaped minecraft:stick
deeperdarker:bloom_hanging_sign | minecraft:crafting_shaped | deeperdarker:bloom_hanging_sign deeperdarker:stripped_blooming_stem minecraft:chain minecraft:crafting_shaped
deeperdarker:bloom_planks | minecraft:crafting_shapeless | deeperdarker:bloom_planks deeperdarker:bloom_stems minecraft:crafting_shapeless
deeperdarker:bloom_pressure_plate | minecraft:crafting_shaped | deeperdarker:bloom_planks deeperdarker:bloom_pressure_plate minecraft:crafting_shaped
deeperdarker:bloom_sign | minecraft:crafting_shaped | deeperdarker:bloom_planks deeperdarker:bloom_sign minecraft:crafting_shaped minecraft:stick
deeperdarker:bloom_slab | minecraft:crafting_shaped | deeperdarker:bloom_planks deeperdarker:bloom_slab minecraft:crafting_shaped
deeperdarker:bloom_stairs | minecraft:crafting_shaped | deeperdarker:bloom_planks deeperdarker:bloom_stairs minecraft:crafting_shaped
deeperdarker:bloom_trapdoor | minecraft:crafting_shaped | deeperdarker:bloom_planks deeperdarker:bloom_trapdoor minecraft:crafting_shaped
