domum_ornamentum:architectscutter | minecraft:crafting_shaped | domum_ornamentum:architectscutter minecraft:crafting_shaped minecraft:iron_ingot minecraft:logs minecraft:stone_slab
domum_ornamentum:beige_bricks | minecraft:crafting_shapeless | domum_ornamentum:beige_bricks minecraft:brick minecraft:crafting_shapeless minecraft:gravel
domum_ornamentum:beige_stone_bricks | minecraft:crafting_shapeless | domum_ornamentum:beige_stone_bricks minecraft:crafting_shapeless minecraft:gravel minecraft:stone_bricks
domum_ornamentum:black_brick_extra | minecraft:crafting_shaped | domum_ornamentum:black_brick_extra minecraft:black_dye minecraft:brick minecraft:crafting_shaped
domum_ornamentum:black_floating_carpet | minecraft:crafting_shapeless | c:strings domum_ornamentum:black_floating_carpet minecraft:black_wool minecraft:crafting_shapeless
domum_ornamentum:blockbarreldeco_onside | minecraft:crafting_shaped | domum_ornamentum:blockbarreldeco_onside minecraft:crafting_shaped minecraft:planks minecraft:stick
domum_ornamentum:blockbarreldeco_standing | minecraft:crafting_shaped | domum_ornamentum:blockbarreldeco_standing minecraft:crafting_shaped minecraft:planks minecraft:stick
domum_ornamentum:blockpaperwall | domum_ornamentum:architects_cutter | domum_ornamentum:architects_cutter domum_ornamentum:blockpaperwall
domum_ornamentum:blockpillar | domum_ornamentum:architects_cutter | domum_ornamentum:architects_cutter domum_ornamentum:blockpillar
domum_ornamentum:blocktiledpaperwall | domum_ornamentum:architects_cutter | domum_ornamentum:architects_cutter domum_ornamentum:blocktiledpaperwall
domum_ornamentum:blockypillar | domum_ornamentum:architects_cutter | domum_ornamentum:architects_cutter domum_ornamentum:blockypillar
domum_ornamentum:blue_brick_extra | minecraft:crafting_shaped | domum_ornamentum:blue_brick_extra minecraft:blue_dye minecraft:brick minecraft:crafting_shaped
domum_ornamentum:blue_cobblestone_extra | minecraft:crafting_shaped | domum_ornamentum:blue_cobblestone_extra minecraft:blue_dye minecraft:cobblestone minecraft:crafting_shaped
domum_ornamentum:blue_floating_carpet | minecraft:crafting_shapeless | c:strings domum_ornamentum:blue_floating_carpet minecraft:blue_wool minecraft:crafting_shapeless
domum_ornamentum:brick_extra | minecraft:crafting_shaped | domum_ornamentum:brick_extra minecraft:brick minecraft:crafting_shaped
domum_ornamentum:brown_brick_extra | minecraft:crafting_shaped | domum_ornamentum:brown_brick_extra minecraft:brick minecraft:brown_dye minecraft:crafting_shaped
domum_ornamentum:brown_bricks | minecraft:crafting_shapeless | domum_ornamentum:brown_bricks minecraft:brick minecraft:crafting_shapeless minecraft:terracotta
domum_ornamentum:brown_floating_carpet | minecraft:crafting_shapeless | c:strings domum_ornamentum:brown_floating_carpet minecraft:brown_wool minecraft:crafting_shapeless
domum_ornamentum:brown_stone_bricks | minecraft:crafting_shapeless | domum_ornamentum:brown_stone_bricks minecraft:crafting_shapeless minecraft:stone_bricks minecraft:terracotta
domum_ornamentum:cactus_extra | minecraft:crafting_shaped | domum_ornamentum:cactus_extra minecraft:cactus minecraft:crafting_shaped
domum_ornamentum:center_light | domum_ornamentum:architects_cutter | domum_ornamentum:architects_cutter domum_ornamentum:center_light
