aeronautics_dyeable_components:black_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:black_large_tire aeronautics_dyeable_components:large_tires minecraft:black_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:black_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:black_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:black_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:black_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:black_small_tire aeronautics_dyeable_components:small_tires minecraft:black_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:black_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:black_tire aeronautics_dyeable_components:normal_tires minecraft:black_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:blue_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:blue_large_tire aeronautics_dyeable_components:large_tires minecraft:blue_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:blue_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:blue_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:blue_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:blue_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:blue_small_tire aeronautics_dyeable_components:small_tires minecraft:blue_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:blue_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:blue_tire aeronautics_dyeable_components:normal_tires minecraft:blue_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:brown_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:brown_large_tire aeronautics_dyeable_components:large_tires minecraft:brown_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:brown_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:brown_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:brown_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:brown_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:brown_small_tire aeronautics_dyeable_components:small_tires minecraft:brown_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:brown_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:brown_tire aeronautics_dyeable_components:normal_tires minecraft:brown_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:cyan_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:cyan_large_tire aeronautics_dyeable_components:large_tires minecraft:crafting_shapeless minecraft:cyan_dye
aeronautics_dyeable_components:cyan_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:cyan_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:cyan_dye
aeronautics_dyeable_components:cyan_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:cyan_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:cyan_dye
