ecologics:azalea_boat | minecraft:crafting_shaped | ecologics:azalea_boat ecologics:azalea_planks minecraft:crafting_shaped
ecologics:azalea_button | minecraft:crafting_shapeless | ecologics:azalea_button ecologics:azalea_planks minecraft:crafting_shapeless
ecologics:azalea_chest_boat | minecraft:crafting_shapeless | ecologics:azalea_boat ecologics:azalea_chest_boat minecraft:chest minecraft:crafting_shapeless
ecologics:azalea_door | minecraft:crafting_shaped | ecologics:azalea_door ecologics:azalea_planks minecraft:crafting_shaped
ecologics:azalea_fence | minecraft:crafting_shaped | ecologics:azalea_fence ecologics:azalea_planks minecraft:crafting_shaped minecraft:stick
ecologics:azalea_fence_gate | minecraft:crafting_shaped | ecologics:azalea_fence_gate ecologics:azalea_planks minecraft:crafting_shaped minecraft:stick
ecologics:azalea_hanging_sign | minecraft:crafting_shaped | ecologics:azalea_hanging_sign ecologics:stripped_azalea_log minecraft:chain minecraft:crafting_shaped
ecologics:azalea_planks | minecraft:crafting_shapeless | ecologics:azalea_logs ecologics:azalea_planks minecraft:crafting_shapeless
ecologics:azalea_pressure_plate | minecraft:crafting_shaped | ecologics:azalea_planks ecologics:azalea_pressure_plate minecraft:crafting_shaped
ecologics:azalea_sign | minecraft:crafting_shaped | ecologics:azalea_planks ecologics:azalea_sign minecraft:crafting_shaped minecraft:stick
ecologics:azalea_slab | minecraft:crafting_shaped | ecologics:azalea_planks ecologics:azalea_slab minecraft:crafting_shaped
ecologics:azalea_stairs | minecraft:crafting_shaped | ecologics:azalea_planks ecologics:azalea_stairs minecraft:crafting_shaped
ecologics:azalea_trapdoor | minecraft:crafting_shaped | ecologics:azalea_planks ecologics:azalea_trapdoor minecraft:crafting_shaped
ecologics:azalea_wood | minecraft:crafting_shaped | ecologics:azalea_log ecologics:azalea_wood minecraft:crafting_shaped
ecologics:beetroot_soup_from_coconut_husk | minecraft:crafting_shapeless | ecologics:coconut_husk minecraft:beetroot minecraft:beetroot_soup minecraft:crafting_shapeless
ecologics:coconut_boat | minecraft:crafting_shaped | ecologics:coconut_boat ecologics:coconut_planks minecraft:crafting_shaped
ecologics:coconut_button | minecraft:crafting_shapeless | ecologics:coconut_button ecologics:coconut_planks minecraft:crafting_shapeless
ecologics:coconut_chest_boat | minecraft:crafting_shapeless | ecologics:coconut_boat ecologics:coconut_chest_boat minecraft:chest minecraft:crafting_shapeless
ecologics:coconut_door | minecraft:crafting_shaped | ecologics:coconut_door ecologics:coconut_planks minecraft:crafting_shaped
ecologics:coconut_fence | minecraft:crafting_shaped | ecologics:coconut_fence ecologics:coconut_planks minecraft:crafting_shaped minecraft:stick
ecologics:coconut_fence_gate | minecraft:crafting_shaped | ecologics:coconut_fence_gate ecologics:coconut_planks minecraft:crafting_shaped minecraft:stick
ecologics:coconut_hanging_sign | minecraft:crafting_shaped | ecologics:coconut_hanging_sign ecologics:stripped_coconut_log minecraft:chain minecraft:crafting_shaped
ecologics:coconut_planks | minecraft:crafting_shapeless | ecologics:coconut_logs ecologics:coconut_planks minecraft:crafting_shapeless
ecologics:coconut_pressure_plate | minecraft:crafting_shaped | ecologics:coconut_planks ecologics:coconut_pressure_plate minecraft:crafting_shaped
ecologics:coconut_sign | minecraft:crafting_shaped | ecologics:coconut_planks ecologics:coconut_sign minecraft:crafting_shaped minecraft:stick
ecologics:coconut_slab | minecraft:crafting_shaped | ecologics:coconut_planks ecologics:coconut_slab minecraft:crafting_shaped
ecologics:coconut_stairs | minecraft:crafting_shaped | ecologics:coconut_planks ecologics:coconut_stairs minecraft:crafting_shaped
ecologics:coconut_trapdoor | minecraft:crafting_shaped | ecologics:coconut_planks ecologics:coconut_trapdoor minecraft:crafting_shaped
ecologics:coconut_wood | minecraft:crafting_shaped | ecologics:coconut_log ecologics:coconut_wood minecraft:crafting_shaped
ecologics:cooked_prickly_pear | minecraft:smelting | ecologics:cooked_prickly_pear ecologics:prickly_pear minecraft:smelting
ecologics:cooked_prickly_pear_from_campfire_cooking | minecraft:campfire_cooking | ecologics:cooked_prickly_pear ecologics:prickly_pear minecraft:campfire_cooking
ecologics:cooked_prickly_pear_from_smoking | minecraft:smoking | ecologics:cooked_prickly_pear ecologics:prickly_pear minecraft:smoking
ecologics:crab_meat | minecraft:smelting | ecologics:crab_claw ecologics:crab_meat minecraft:smelting
ecologics:crab_meat_from_campfire_cooking | minecraft:campfire_cooking | ecologics:crab_claw ecologics:crab_meat minecraft:campfire_cooking
ecologics:crab_meat_from_smoking | minecraft:smoking | ecologics:crab_claw ecologics:crab_meat minecraft:smoking
