expandeddelight:asparagus | minecraft:crafting_shapeless | expandeddelight:asparagus expandeddelight:asparagus_crate minecraft:crafting_shapeless
expandeddelight:asparagus_crate | minecraft:crafting_shapeless | expandeddelight:asparagus expandeddelight:asparagus_crate minecraft:crafting_shapeless
expandeddelight:asparagus_seeds | minecraft:crafting_shapeless | expandeddelight:asparagus expandeddelight:asparagus_seeds minecraft:crafting_shapeless
expandeddelight:baked_sweet_potato | minecraft:smelting | expandeddelight:baked_sweet_potato expandeddelight:sweet_potato minecraft:smelting
expandeddelight:baked_sweet_potato_from_campfire_cooking | minecraft:campfire_cooking | expandeddelight:baked_sweet_potato expandeddelight:sweet_potato minecraft:campfire_cooking
expandeddelight:baked_sweet_potato_from_smoking | minecraft:smoking | expandeddelight:baked_sweet_potato expandeddelight:sweet_potato minecraft:smoking
expandeddelight:berry_sweet_roll | minecraft:crafting_shapeless | c:dusts/cinnamon c:foods/dough c:foods/milk expandeddelight:berry_sweet_roll minecraft:crafting_shapeless minecraft:sugar minecraft:sweet_berries
expandeddelight:cask | minecraft:crafting_shaped | c:ingots/iron expandeddelight:cask minecraft:barrel minecraft:bucket minecraft:crafting_shaped minecraft:planks
expandeddelight:cheese_sandwich | minecraft:crafting_shapeless | c:foods/cheese expandeddelight:cheese_sandwich minecraft:bread minecraft:crafting_shapeless
expandeddelight:chili_pepper | minecraft:crafting_shapeless | expandeddelight:chili_pepper expandeddelight:chili_pepper_crate minecraft:crafting_shapeless
expandeddelight:chili_pepper_crate | minecraft:crafting_shapeless | expandeddelight:chili_pepper expandeddelight:chili_pepper_crate minecraft:crafting_shapeless
expandeddelight:chili_pepper_seeds | minecraft:crafting_shapeless | expandeddelight:chili_pepper expandeddelight:chili_pepper_seeds minecraft:crafting_shapeless
expandeddelight:chocolate_cookie | minecraft:crafting_shaped | c:crops/grain expandeddelight:chocolate_cookie minecraft:cocoa_beans minecraft:crafting_shaped
expandeddelight:cinnamon_boat | minecraft:crafting_shaped | expandeddelight:cinnamon_boat expandeddelight:cinnamon_planks minecraft:crafting_shaped
expandeddelight:cinnamon_button | minecraft:crafting_shapeless | expandeddelight:cinnamon_button expandeddelight:cinnamon_planks minecraft:crafting_shapeless
expandeddelight:cinnamon_cabinet | minecraft:crafting_shaped | expandeddelight:cinnamon_cabinet expandeddelight:cinnamon_planks expandeddelight:cinnamon_trapdoor minecraft:crafting_shaped
expandeddelight:cinnamon_chest_boat | minecraft:crafting_shapeless | c:chests/wooden expandeddelight:cinnamon_boat expandeddelight:cinnamon_chest_boat minecraft:crafting_shapeless
expandeddelight:cinnamon_door | minecraft:crafting_shaped | expandeddelight:cinnamon_door expandeddelight:cinnamon_planks minecraft:crafting_shaped
expandeddelight:cinnamon_fence | minecraft:crafting_shaped | c:rods/wooden expandeddelight:cinnamon_fence expandeddelight:cinnamon_planks minecraft:crafting_shaped
expandeddelight:cinnamon_fence_gate | minecraft:crafting_shaped | c:rods/wooden expandeddelight:cinnamon_fence_gate expandeddelight:cinnamon_planks minecraft:crafting_shaped
expandeddelight:cinnamon_hanging_sign | minecraft:crafting_shaped | c:chains expandeddelight:cinnamon_hanging_sign expandeddelight:stripped_cinnamon_log minecraft:crafting_shaped
expandeddelight:cinnamon_planks | minecraft:crafting_shapeless | expandeddelight:cinnamon_logs expandeddelight:cinnamon_planks minecraft:crafting_shapeless
expandeddelight:cinnamon_pressure_plate | minecraft:crafting_shaped | expandeddelight:cinnamon_planks expandeddelight:cinnamon_pressure_plate minecraft:crafting_shaped
expandeddelight:cinnamon_sign | minecraft:crafting_shaped | c:rods/wooden expandeddelight:cinnamon_planks expandeddelight:cinnamon_sign minecraft:crafting_shaped
expandeddelight:cinnamon_slab | minecraft:crafting_shaped | expandeddelight:cinnamon_planks expandeddelight:cinnamon_slab minecraft:crafting_shaped
expandeddelight:cinnamon_stairs | minecraft:crafting_shaped | expandeddelight:cinnamon_planks expandeddelight:cinnamon_stairs minecraft:crafting_shaped
expandeddelight:cinnamon_trapdoor | minecraft:crafting_shaped | expandeddelight:cinnamon_planks expandeddelight:cinnamon_trapdoor minecraft:crafting_shaped
expandeddelight:cinnamon_wood | minecraft:crafting_shaped | expandeddelight:cinnamon_log expandeddelight:cinnamon_wood minecraft:crafting_shaped
expandeddelight:cooking/asparagus_and_bacon_cheesy | farmersdelight:cooking | c:crops/asparagus c:crops/onion c:foods/cheese c:foods/raw_bacon expandeddelight:asparagus_and_bacon_cheesy farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/asparagus_frittata | farmersdelight:cooking | c:crops/asparagus c:dusts/salt c:eggs c:foods/cheese expandeddelight:asparagus_frittata farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/asparagus_mushroom_pasta | farmersdelight:cooking | c:crops/asparagus c:crops/onion c:foods/pasta expandeddelight:asparagus_mushroom_pasta farmersdelight:cooking minecraft:bowl minecraft:brown_mushroom
expandeddelight:cooking/asparagus_soup | farmersdelight:cooking | c:crops/asparagus c:foods/leafy_green expandeddelight:asparagus_soup farmersdelight:cooking minecraft:bowl minecraft:water_bucket
expandeddelight:cooking/asparagus_soup_creamy | farmersdelight:cooking | c:crops/asparagus c:foods/leafy_green c:foods/milk expandeddelight:asparagus_soup_creamy farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/chili_pepper_salmon | farmersdelight:cooking | c:crops/chili_pepper c:crops/onion c:crops/rice c:foods/cooked_salmon expandeddelight:chili_pepper_salmon farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/cinnamon_apples | farmersdelight:cooking | expandeddelight:cinnamon expandeddelight:cinnamon_apples farmersdelight:cooking minecraft:apple minecraft:bowl minecraft:sugar minecraft:water_bucket
expandeddelight:cooking/cinnamon_rice | farmersdelight:cooking | c:crops/rice expandeddelight:cinnamon expandeddelight:cinnamon_rice farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/cranberry_chicken | farmersdelight:cooking | c:crops/onion c:foods/cooked_chicken expandeddelight:cranberries expandeddelight:cranberry_chicken farmersdelight:cooking minecraft:bowl
expandeddelight:cooking/cranberry_jelly | farmersdelight:cooking | expandeddelight:cranberries expandeddelight:cranberry_jelly expandeddelight:glass_jar farmersdelight:cooking minecraft:sugar
