butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
corn_delight:cutting/corn | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:stick neoforge:false
create:mixing/aebleflaesk | create:mixing | c:apple/sliced create:mixing extradelight:aebleflaesk extradelight:processed/onion extradelight:toast farmersdelight:bacon minecraft:sugar neoforge:mod_loaded
create:mixing/aglio_e_olio | create:mixing | c:cheese c:cooking_oil create:mixing extradelight:aglio_e_olio extradelight:processed/chili extradelight:processed/garlic farmersdelight:raw_pasta minecraft:bowl neoforge:mod_loaded
create:mixing/aglio_e_olio_mixing | create:mixing | c:cheese create:mixing extradelight:aglio_e_olio extradelight:cooked_pasta extradelight:oil_fluid extradelight:processed/chili extradelight:roasted_garlic minecraft:bowl neoforge:mod_loaded
create:mixing/aioli_cheaty | create:mixing | create:mixing extradelight:aioli_jar_item extradelight:mayo_fluid extradelight:processed/garlic minecraft:glass_bottle neoforge:mod_loaded
create:mixing/aioli_from_scratch | create:mixing | c:eggs create:mixing extradelight:aioli_jar_item extradelight:oil_fluid extradelight:processed/garlic extradelight:vinegar_fluid minecraft:glass_bottle neoforge:mod_loaded
create:mixing/alfredo_sauce | create:mixing | c:butter c:cheese c:foods/milk create:mixing extradelight:alfredo_sauce minecraft:bowl neoforge:mod_loaded
create:mixing/apple_cookie_dough | create:mixing | c:butter c:cinnamon/ground c:eggs c:flour create:mixing extradelight:apple_cookie_dough extradelight:processed/apple extradelight:sweetener neoforge:mod_loaded
create:mixing/apple_cookie_dough_sugar | create:mixing | c:cinnamon/ground c:cookie_dough/sugar create:mixing extradelight:apple_cookie_dough extradelight:processed/apple neoforge:mod_loaded
create:mixing/apple_custard | create:mixing | c:eggs c:foods/milk create:mixing extradelight:apple_custard extradelight:processed/apple extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/apple_fritters | create:mixing | c:flour create:mixing extradelight:apple_fritters extradelight:egg_mix extradelight:frying_oil extradelight:processed/apple extradelight:sweetener minecraft:bowl neoforge:mod_loaded
create:mixing/apple_milkshake | create:mixing | create:mixing extradelight:apple_milkshake extradelight:ice_cream extradelight:processed/apple minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/apple_milkshake_ice_cream | create:mixing | create:mixing extradelight:apple_ice_cream extradelight:apple_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/apple_sauce | create:mixing | create:mixing extradelight:apple_sauce extradelight:sweetener minecraft:apple minecraft:bowl neoforge:mod_loaded
create:mixing/apple_slaw | create:mixing | c:apple/sliced create:mixing extradelight:apple_slaw extradelight:mayo_fluid extradelight:processed/cabbage extradelight:vinegar_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/bbq_sugar | create:mixing | c:foods/onion c:foods/tomato c:vinegar create:mixing extradelight:bbq_jar_item extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/beef_stew | create:mixing | c:crops/onion c:flour create:mixing extradelight:beef_stew_feast extradelight:broth minecraft:beef minecraft:carrot minecraft:potato neoforge:mod_loaded
create:mixing/beet_mint_salad | create:mixing | c:mint create:mixing extradelight:beet_mint_salad extradelight:oil_fluid extradelight:processed/beetroot extradelight:sweetener extradelight:vinegar_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/blood_chocolate | create:mixing | c:blood c:cocoa/solids create:mixing extradelight:blood_chocolate_syrup_bottle extradelight:cocoa_butter_fluid extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/boiled_egg | create:mixing | c:eggs create:mixing extradelight:boiled_egg neoforge:mod_loaded
create:mixing/borscht | create:mixing | create:mixing extradelight:borscht extradelight:broth extradelight:processed/beetroot extradelight:processed/cabbage extradelight:processed/carrot extradelight:processed/potato extradelight:sliced_tomato farmersdelight:tomato farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
create:mixing/butter | create:mixing | create:mixing extradelight:butter extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/buttered_pasta | create:mixing | c:butter create:mixing extradelight:buttered_pasta extradelight:cooked_pasta minecraft:bowl neoforge:mod_loaded
