friendsandfoes:acacia_beehive | minecraft:crafting_shaped | friendsandfoes:acacia_beehive minecraft:acacia_planks minecraft:crafting_shaped minecraft:honeycomb
friendsandfoes:bamboo_beehive | minecraft:crafting_shaped | friendsandfoes:bamboo_beehive minecraft:bamboo_planks minecraft:crafting_shaped minecraft:honeycomb
friendsandfoes:birch_beehive | minecraft:crafting_shaped | friendsandfoes:birch_beehive minecraft:birch_planks minecraft:crafting_shaped minecraft:honeycomb
friendsandfoes:cherry_beehive | minecraft:crafting_shaped | friendsandfoes:cherry_beehive minecraft:cherry_planks minecraft:crafting_shaped minecraft:honeycomb
friendsandfoes:copper_button | minecraft:crafting_shaped | friendsandfoes:copper_button minecraft:copper_ingot minecraft:crafting_shaped
friendsandfoes:crimson_beehive | minecraft:crafting_shaped | friendsandfoes:crimson_beehive minecraft:crafting_shaped minecraft:crimson_planks minecraft:honeycomb
friendsandfoes:dark_oak_beehive | minecraft:crafting_shaped | friendsandfoes:dark_oak_beehive minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:honeycomb
friendsandfoes:jungle_beehive | minecraft:crafting_shaped | friendsandfoes:jungle_beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:jungle_planks
friendsandfoes:mangrove_beehive | minecraft:crafting_shaped | friendsandfoes:mangrove_beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:mangrove_planks
friendsandfoes:spruce_beehive | minecraft:crafting_shaped | friendsandfoes:spruce_beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:spruce_planks
friendsandfoes:warped_beehive | minecraft:crafting_shaped | friendsandfoes:warped_beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:warped_planks
friendsandfoes:waxed_copper_button_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:copper_button friendsandfoes:waxed_copper_button minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_exposed_copper_button_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:exposed_copper_button friendsandfoes:waxed_exposed_copper_button minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_exposed_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:exposed_lightning_rod friendsandfoes:waxed_exposed_lightning_rod minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:waxed_lightning_rod minecraft:crafting_shapeless minecraft:honeycomb minecraft:lightning_rod
friendsandfoes:waxed_oxidized_copper_button_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:oxidized_copper_button friendsandfoes:waxed_oxidized_copper_button minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_oxidized_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:oxidized_lightning_rod friendsandfoes:waxed_oxidized_lightning_rod minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_weathered_copper_button_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:waxed_weathered_copper_button friendsandfoes:weathered_copper_button minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:waxed_weathered_lightning_rod_from_honeycomb | minecraft:crafting_shapeless | friendsandfoes:waxed_weathered_lightning_rod friendsandfoes:weathered_lightning_rod minecraft:crafting_shapeless minecraft:honeycomb
friendsandfoes:wildfire_crown | minecraft:crafting_shaped | friendsandfoes:wildfire_crown friendsandfoes:wildfire_crown_fragment minecraft:crafting_shaped
friendsandfoes:yellow_dye_from_buttercup | minecraft:crafting_shapeless | friendsandfoes:buttercup minecraft:crafting_shapeless minecraft:yellow_dye
minecraft:beehive | minecraft:crafting_shaped | minecraft:beehive minecraft:crafting_shaped minecraft:honeycomb minecraft:oak_planks
