fxntstorage:backpack_crafting/andesite_backpack_from_backpack | fxntstorage:backpack_crafting | create:andesite_casing fxntstorage:andesite_backpack fxntstorage:backpack fxntstorage:backpack_crafting
fxntstorage:backpack_crafting/brass_backpack_from_copper_backpack | fxntstorage:backpack_crafting | create:brass_casing fxntstorage:backpack_crafting fxntstorage:brass_backpack fxntstorage:copper_backpack
fxntstorage:backpack_crafting/copper_backpack_from_andesite_backpack | fxntstorage:backpack_crafting | create:copper_casing fxntstorage:andesite_backpack fxntstorage:backpack_crafting fxntstorage:copper_backpack
fxntstorage:backpack_crafting/hardened_backpack_from_brass_backpack | fxntstorage:backpack_crafting | create:railway_casing fxntstorage:backpack_crafting fxntstorage:brass_backpack fxntstorage:hardened_backpack
fxntstorage:crafting_shaped/backpack | minecraft:crafting_shaped | create:industrial_iron_block create:item_vault fxntstorage:backpack minecraft:crafting_shaped minecraft:leather minecraft:string
fxntstorage:crafting_shaped/backpack_upgrade/backpack_blank_upgrade | minecraft:crafting_shaped | create:andesite_alloy create:empty_schematic create:iron_sheet fxntstorage:backpack_blank_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_falldamage_upgrade | minecraft:crafting_shaped | create:copper_diving_boots create:iron_sheet create:propeller create:white_sail fxntstorage:backpack_blank_upgrade fxntstorage:backpack_falldamage_upgrade minecraft:cobweb minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_feeder_upgrade | minecraft:crafting_shaped | create:chocolate_glazed_berries create:honeyed_apple create:iron_sheet create:redstone_link create:sweet_roll fxntstorage:backpack_blank_upgrade fxntstorage:backpack_feeder_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_itempickup_upgrade | minecraft:crafting_shaped | create:iron_sheet create:redstone_link create:smart_chute fxntstorage:backpack_blank_upgrade fxntstorage:backpack_itempickup_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_jukebox_upgrade | minecraft:crafting_shaped | create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_jukebox_upgrade minecraft:crafting_shaped minecraft:jukebox minecraft:redstone
fxntstorage:crafting_shaped/backpack_upgrade/backpack_magnet_upgrade | minecraft:crafting_shaped | create:extendo_grip create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_magnet_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_oremining_upgrade | minecraft:crafting_shaped | create:iron_sheet create:mechanical_drill create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_oremining_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_pickblock_upgrade | minecraft:crafting_shaped | create:deployer create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_pickblock_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_refill_upgrade | minecraft:crafting_shaped | create:brass_hand create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_refill_upgrade minecraft:crafting_shaped
fxntstorage:crafting_shaped/backpack_upgrade/backpack_toolswap_upgrade | minecraft:crafting_shaped | create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_toolswap_upgrade minecraft:crafting_shaped minecraft:iron_hoe minecraft:iron_pickaxe minecraft:iron_sword
fxntstorage:crafting_shaped/backpack_upgrade/backpack_torchdeployer_upgrade | minecraft:crafting_shaped | create:cogwheel create:iron_sheet create:redstone_link fxntstorage:backpack_blank_upgrade fxntstorage:backpack_torchdeployer_upgrade minecraft:crafting_shaped minecraft:torch
fxntstorage:crafting_shaped/passer_block | minecraft:crafting_shaped | create:chute fxntstorage:passer_block minecraft:crafting_shaped minecraft:hopper minecraft:redstone
fxntstorage:crafting_shaped/simple_storage_box/acacia_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:acacia_simple_storage_box minecraft:acacia_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/simple_storage_box/bamboo_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:bamboo_simple_storage_box minecraft:bamboo_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/simple_storage_box/birch_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:birch_simple_storage_box minecraft:birch_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/simple_storage_box/cherry_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:cherry_simple_storage_box minecraft:cherry_planks minecraft:crafting_shaped
fxntstorage:crafting_shaped/simple_storage_box/crimson_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:crimson_simple_storage_box minecraft:crafting_shaped minecraft:crimson_planks
fxntstorage:crafting_shaped/simple_storage_box/dark_oak_simple_storage_box | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:item_vault fxntstorage:dark_oak_simple_storage_box minecraft:crafting_shaped minecraft:dark_oak_planks
